n-gram,count,,691043,
fix,26103,3.78%,,
add,8092,1.17%,,
use,6601,0.96%,,
test,4514,0.65%,,
support,4203,0.61%,,
update,3973,0.57%,,
error,3639,0.53%,,
change,3489,0.50%,,
check,3345,0.48%,,
release,3307,0.48%,9.73%,67266
set,3101,,90.27%,623777
remove,3037,,,
net,2925,,,
version,2685,,,
build,2538,,,
drm,2452,,,
issue,2277,,,
arm,2241,,,
c,2205,,,
handle,2150,,,
memory,2015,,,
file,2002,,,
new,1999,,,
data,1974,,,
leak,1934,,,
device,1881,,,
bug,1876,,,
return,1852,,,
enable,1791,,,
miss,1762,,,
usb,1701,,,
value,1688,,,
make,1620,,,
fail,1598,,,
disable,1559,,,
code,1526,,,
free,1516,,,
linux,1414,,,
function,1401,,,
work,1390,,,
size,1390,,,
call,1379,,,
read,1345,,,
type,1336,,,
probe,1324,,,
init,1320,,,
null,1319,,,
block,1297,,,
warn,1281,,,
dts,1254,,,
mode,1240,,,
allow,1240,,,
td,1203,,,
avoid,1198,,,
path,1189,,,
m,1169,,,
config,1167,,,
api,1167,,,
time,1156,,,
request,1143,,,
command,1133,,,
bump,1125,,,
default,1115,,,
core,1108,,,
run,1090,,,
node,1072,,,
windows,1068,,,
write,1050,,,
race,1049,,,
package,1036,,,
buffer,1032,,,
list,1030,,,
table,1030,,,
lock,1022,,,
target,1016,,,
page,1014,,,
pci,1011,,,
correct,1001,,,
log,991,,,
crash,989,,,
feature,989,,,
report,967,,,
create,965,,,
will,947,,,
access,947,,,
state,943,,,
reset,943,,,
driver,943,,,
register,926,,,
os,920,,,
case,906,,,
move,892,,,
media,891,,,
flag,890,,,
stm,886,,,
dma,879,,,
h,878,,,
serial,875,,,
option,854,,,
asoc,847,,,
amd,840,,,
address,836,,,
port,836,,,
improve,827,,,
map,826,,,
tcp,826,,,
message,825,,,
l,818,,,
kernel,817,,,
pm,814,,,
qcom,814,,,
mt,804,,,
key,801,,,
display,796,,,
query,795,,,
revert,791,,,
scsi,790,,,
platform,785,,,
dev,784,,,
ci,778,,,
bluetooth,777,,,
possible,755,,,
instead,747,,,
pointer,744,,,
link,739,,,
max,739,,,
fs,732,,,
source,730,,,
base,725,,,
irq,721,,,
include,720,,,
user,717,,,
bpf,717,,,
prevent,710,,,
intel,708,,,
module,699,,,
process,698,,,
mm,683,,,
n,681,,,
control,678,,,
potential,676,,,
cache,676,,,
drivers,670,,,
alsa,668,,,
action,665,,,
id,665,,,
kvm,665,,,
wifi,664,,,
clock,661,,,
start,660,,,
perf,660,,,
break,655,,,
bite,651,,,
number,650,,,
event,650,,,
power,649,,,
queue,647,,,
drop,644,,,
spi,644,,,
pr,641,,,
output,639,,,
quirk,639,,,
pull,636,,,
changelog,634,,,
count,626,,,
cpu,625,,,
bind,623,,,
interrupt,620,,,
system,617,,,
non,617,,,
send,615,,,
debug,613,,,
failure,608,,,
selftests,605,,,
script,597,,,
imx,595,,,
incorrect,592,,,
macos,590,,,
limit,589,,,
overflow,587,,,
configuration,583,,,
info,580,,,
format,579,,,
ext,578,,,
cause,576,,,
tx,576,,,
phy,569,,,
one,568,,,
xx,568,,,
load,567,,,
gpio,567,,,
put,567,,,
powerpc,567,,,
clk,566,,,
full,561,,,
stream,561,,,
io,558,,,
invalid,553,,,
timeout,546,,,
first,545,,,
require,545,,,
clear,545,,,
input,541,,,
crypto,537,,,
setup,532,,,
channel,527,,,
wrong,525,,,
stack,524,,,
esp,521,,,
sync,520,,,
pass,519,,,
switch,517,,,
msm,517,,,
reference,515,,,
filter,513,,,
tasmota,511,,,
xanmod,508,,,
mlx,508,,,
audio,507,,,
open,507,,,
stop,505,,,
status,502,,,
rx,502,,,
tool,501,,,
available,496,,,
skb,494,,,
zero,493,,,
flash,493,,,
iio,493,,,
need,492,,,
field,492,,,
errors,489,,,
devices,487,,,
refcount,486,,,
always,483,,,
controller,482,,,
g,477,,,
save,477,,,
install,476,,,
btrfs,475,,,
refactor,473,,,
replace,472,,,
find,471,,,
copy,468,,,
select,468,,,
without,464,,,
p,463,,,
trace,462,,,
parse,460,,,
sign,458,,,
string,458,,,
random,458,,,
ip,457,,,
hda,457,,,
rdma,457,,,
runtime,456,,,
thread,455,,,
show,454,,,
provide,445,,,
cleanup,441,,,
order,441,,,
branch,438,,,
python,435,,,
double,434,,,
around,433,,,
acpi,433,,,
upgrade,431,,,
md,431,,,
due,431,,,
entry,431,,,
index,431,,,
host,428,,,
skip,428,,,
d,427,,,
result,425,,,
properly,424,,,
documentation,423,,,
generate,423,,,
delete,421,,,
bound,421,,,
group,421,,,
bin,419,,,
sched,419,,,
hide,416,,,
firmware,415,,,
tls,413,,,
settings,410,,,
initialize,410,,,
json,409,,,
wait,408,,,
ipv,408,,,
correctly,405,,,
compile,401,,,
usage,400,,,
dereference,400,,,
client,399,,,
ensure,399,,,
network,397,,,
library,397,,,
soc,395,,,
condition,394,,,
u,394,,,
level,393,,,
events,389,,,
internal,389,,,
rename,389,,,
download,387,,,
line,386,,,
feat,384,,,
vast,384,,,
mask,383,,,
loop,382,,,
bridge,382,,,
close,381,,,
alloc,380,,,
amdgpu,380,,,
define,379,,,
range,379,,,
match,378,,,
multiple,378,,,
gcc,378,,,
header,375,,,
introduce,374,,,
via,374,,,
follow,374,,,
please,373,,,
xxx,373,,,
summary,372,,,
interface,371,,,
pin,371,,,
performance,370,,,
improvements,369,,,
try,367,,,
timer,367,,,
implement,366,,,
array,365,,,
ignore,365,,,
