Base,Head,Filename,Base Tag,Base Date,Head Tag,Head Date
4634dc5b0af855ad20efebe8b49b63fc5945f9ac,6dcd8cdd36d0f0fbc70d6b96141610994e5261de,appscope_diff1.json,v1.4.2,2023-11-03T19:16:13Z,v1.4.3,2023-11-29T18:47:35Z
e44c3676627c088089310b2fe5e4e6537aa7773c,4634dc5b0af855ad20efebe8b49b63fc5945f9ac,appscope_diff2.json,v1.4.1,2023-07-14T18:09:06Z,v1.4.2,2023-11-03T19:16:13Z
e31af1d195bf05d73ba57af04e31edf368341a52,15d740ae1bcf23e06a664030db91ca1913d85bcd,appscope_diff9.json,v1.4.0-tc9,2023-06-16T16:12:40Z,v1.4.0-tc10,2023-06-23T19:11:23Z
28e5e9e168dfd7e3c11f4050a4417e646bdf713d,b8b60aacf5c585cf1334f43b68ab142b5e814af5,appscope_diff12.json,v1.3.4,2023-06-06T19:14:53Z,v1.4.0-tc7,2023-06-12T16:04:14Z
2ab208fe0a07ce9cb85883627c2fb7a97709b1b7,28e5e9e168dfd7e3c11f4050a4417e646bdf713d,appscope_diff14.json,v1.4.0-tc6,2023-05-24T21:05:47Z,v1.3.4-tc1,2023-06-06T18:51:56Z
bdd4b0aee55ddfed6f49f41ad2d2c819f55210e5,8706aa07b2b87d6854f16b5ef9da0b3e9f43aa51,appscope_diff16.json,v1.4.0-tc5,2023-05-12T19:39:50Z,v1.3.4-tc0,2023-05-24T14:55:22Z
feb24e2c3b8682c04f78e1beb001b0ff3939a1d0,76cbfeb725a74151c727b72c28e25c8bd8a6dfaa,appscope_diff23.json,v1.3.2,2023-04-12T14:24:02Z,v1.4.0-tc0,2023-04-18T16:53:11Z
0cf201128feaae7b25d29e33ac57fcc5e0efc24d,2d7890e6ec4e67e5b4269557c3bd65bf1c9d30bd,appscope_diff26.json,v1.3.0,2023-03-07T17:31:38Z,v1.3.1,2023-03-16T23:39:43Z
4e796471286186c383674893fa7463f796385c11,0cf201128feaae7b25d29e33ac57fcc5e0efc24d,appscope_diff27.json,v1.3.0-rc2,2023-03-03T20:38:20Z,v1.3.0,2023-03-07T17:31:38Z
1d8e16307a32cf9f2e39d7b594cc956c59fc5fe9,b83d58b82e267bcce1e745f32bc63322b6b7108e,appscope_diff30.json,v1.2.2,2023-01-11T15:17:31Z,v1.3.0-rc0,2023-02-28T16:50:50Z
