Base,Head,Filename,Base Tag,Base Date,Head Tag,Head Date
702ff3e1f671fe9c939305d759fe5134ff5abc92,da252a91d63559c6ddfbca27d037c8db1e01db27,ark-4_diff895.json,r42052,2023-06-05T11:07:25Z,v1686010334,2023-06-06T00:14:04Z
bc6c374f6b9f7f2da558599c642cab5bf4a30c20,ee1da63a50d9a09c80213fbe71d63ce093ab37b1,ark-4_diff914.json,v1685976533,2023-06-05T14:50:47Z,v1685976791,2023-06-05T14:55:15Z
9bc70f8594facd69633a367753c92a4cf7bb549f,34a42afc565576b5ab3c11c61f6e1147195a1ca0,ark-4_diff979.json,r42040,2023-05-24T16:55:16Z,v1684980467,2023-05-25T02:09:41Z
a770bfa26745d0a97afa179470deada4d06d3988,b9706fe986f13eae5eba7451ba0b785a2806d6c6,ark-4_diff982.json,v1684949518,2023-05-24T17:33:47Z,v1684949682,2023-05-24T17:36:34Z
1fc61c0d6f8876e335e50b5a20bf63bda895b4f8,f2c2e10ab3b0f801960e615b551892d9c8f30ced,ark-4_diff1322.json,v1682431006,2023-04-25T13:58:28Z,v1682431768,2023-04-25T14:10:49Z
067b777c31fbe6af70a48e7bb41682bc29d0f781,ace0b3d8bcc883419ca9b108fc33673d911b5eba,ark-4_diff1440.json,r41912,2023-02-20T00:03:26Z,v1676987534,2023-02-21T13:53:43Z
a08335a1f4a7055c1299c955cc8d3c8ebe75465a,6862f5b0bd22d051a7c5c29bd25c5c15e715ad04,ark-4_diff1450.json,v1676910415,2023-02-20T16:28:58Z,v1676910563,2023-02-20T16:30:44Z
2fd2e77a18f09c0247c299852d2c58b4d86df529,a08335a1f4a7055c1299c955cc8d3c8ebe75465a,ark-4_diff1451.json,v1676910181,2023-02-20T16:24:09Z,v1676910415,2023-02-20T16:28:58Z
0cd3aadab690eccb86b7bfb2eac10daf0aa786a0,f6c9d4b7bd349036cf4f5958cdacb2a100c7b0a5,ark-4_diff1470.json,v1676733150,2023-02-18T15:13:42Z,v1676743100,2023-02-18T17:59:44Z
c72b74057db05d9d3b8a890be3f954ceb70dd399,5f7eaf5d7ddb6a32a322a0d261ad04102b210a44,ark-4_diff1472.json,r41911,2023-02-17T12:23:17Z,v1676730066,2023-02-18T14:22:33Z
3b41249fe1f8d2cf078da09ec0026df36f585e4f,c0391026d0c2d228555e8143b832be4a81f1f60c,ark-4_diff1934.json,v1648071465,2022-03-23T21:37:46Z,v1648074676,2022-03-23T22:31:17Z
80bb3d5860537dccc12cd2739121567d157c1323,3b41249fe1f8d2cf078da09ec0026df36f585e4f,ark-4_diff1935.json,v1648045508,2022-03-23T14:25:08Z,v1648071465,2022-03-23T21:37:46Z
2584d90174827561a8cbfdea5640592240b7598f,c14e78fc07846b9c4c0d38946836584259efceee,ark-4_diff1984.json,r97-5,2022-02-04T16:33:23Z,v1646668654,2022-03-07T15:57:34Z
eb4af36d24144d6dd9680fcf485e3123273f9973,a58c6b1ec40090111b341a72c9c2298f5c81d3b4,ark-4_diff1989.json,r96,2022-01-07T19:41:23Z,r97,2022-01-08T21:19:41Z
