Base,Head,Filename,Base Tag,Base Date,Head Tag,Head Date
1dd48a346dd3178104cde0de046592b358710cc1,efe8ef5e68dff49f904a3ae662e4d144e5940462,asset-tracker-cloud-firmware-aws_diff1.json,v4.1.25,2023-03-07T01:03:34Z,v5.0.0,2023-12-05T14:25:12Z
681ec5cd451bce833bb77d0222e4974a0220eda2,1dd48a346dd3178104cde0de046592b358710cc1,asset-tracker-cloud-firmware-aws_diff2.json,v4.1.24,2023-02-28T00:59:16Z,v4.1.25,2023-03-07T01:03:34Z
ec79237c27b0a0860ef6887a6bc82859309eb701,681ec5cd451bce833bb77d0222e4974a0220eda2,asset-tracker-cloud-firmware-aws_diff3.json,v4.1.23,2023-02-22T00:56:13Z,v4.1.24,2023-02-28T00:59:16Z
5116d046fe5eda16bf6af5c9e1b45e3f9c8dabac,ec79237c27b0a0860ef6887a6bc82859309eb701,asset-tracker-cloud-firmware-aws_diff4.json,v4.1.22,2023-02-17T01:00:38Z,v4.1.23,2023-02-22T00:56:13Z
6b3d636d1cdd73f4fb2c4bddbc9f7d67820221cb,2976dc339a78c585bd6c7580531ba6cbc8a890b3,asset-tracker-cloud-firmware-aws_diff6.json,v4.1.20,2023-02-09T00:55:54Z,v4.1.21,2023-02-14T00:59:18Z
f9f32173b60c40c9e6c99077adcf569be9b23ea8,356d35f8c3bf9390aaff49f6a0018517a53f7c76,asset-tracker-cloud-firmware-aws_diff9.json,v4.1.17,2023-01-31T00:58:39Z,v4.1.18,2023-02-02T00:57:25Z
7d25678aed143e4ce6a2367e689e5981c64c4e39,48817bca4a04e6c81b1ee071a3873dccf182ca38,asset-tracker-cloud-firmware-aws_diff12.json,v4.1.14,2023-01-06T00:59:53Z,v4.1.15,2023-01-17T13:30:46Z
08c17b139fb6674736358a71727d9a328a7cd85f,1803f5dbc18f19f2c805bd5c0c4fdd31777ddf02,asset-tracker-cloud-firmware-aws_diff14.json,v4.1.12,2023-01-04T00:57:27Z,v4.1.13,2023-01-05T00:59:51Z
0b2c69c2ee938fa775c46ff015dfff686ba05b17,08c17b139fb6674736358a71727d9a328a7cd85f,asset-tracker-cloud-firmware-aws_diff15.json,v4.1.11,2022-12-28T00:55:27Z,v4.1.12,2023-01-04T00:57:27Z
6277ec62910602189c2249fc40e6a7f1c1211a6f,c44481484bfb79c0d0c1821d2cc8f850612b6437,asset-tracker-cloud-firmware-aws_diff17.json,v4.1.9,2022-12-21T14:57:41Z,v4.1.10,2022-12-22T00:55:29Z
e559e91c4b51f0beeb2db16d39d8ccfbf813718f,6277ec62910602189c2249fc40e6a7f1c1211a6f,asset-tracker-cloud-firmware-aws_diff18.json,v4.1.8,2022-11-15T10:38:10Z,v4.1.9,2022-12-21T14:57:41Z
96a2afcffbee4016ce6be48e6dd3c0a99778247b,e559e91c4b51f0beeb2db16d39d8ccfbf813718f,asset-tracker-cloud-firmware-aws_diff19.json,v4.1.7,2022-10-27T01:10:20Z,v4.1.8,2022-11-15T10:38:10Z
dc1dabf02aaac223f3c68d6f47f6488776b551c2,9a435c3ee29f58148a11ad4eb094509f977d96bc,asset-tracker-cloud-firmware-aws_diff21.json,v4.1.5,2022-10-07T01:26:57Z,v4.1.6,2022-10-25T01:23:15Z
1130d9389fa7cf11f158171317ea6f93693b616b,dc1dabf02aaac223f3c68d6f47f6488776b551c2,asset-tracker-cloud-firmware-aws_diff22.json,v4.1.4,2022-09-29T01:21:49Z,v4.1.5,2022-10-07T01:26:57Z
2c40182808e238aa5e8d683141b238bc794295c6,0e6fbe6b7717dcd89cc1afbfb7ad56f3a4cc4065,asset-tracker-cloud-firmware-aws_diff24.json,v4.1.2,2022-09-23T01:15:26Z,v4.1.3,2022-09-28T01:17:26Z
9ef0027893ad83eaa7bca536135229761ce92164,2c40182808e238aa5e8d683141b238bc794295c6,asset-tracker-cloud-firmware-aws_diff25.json,v4.1.1,2022-09-20T10:36:38Z,v4.1.2,2022-09-23T01:15:26Z
1c394d5a930d6924e963443c0953af440bdd679d,9ef0027893ad83eaa7bca536135229761ce92164,asset-tracker-cloud-firmware-aws_diff26.json,v4.1.0,2022-09-07T09:23:19Z,v4.1.1,2022-09-20T10:36:38Z
a5f2f57d12e0b0612a80cccc7dbe56534293cdc7,9aa95665f5c6ca4d1045e7cf5b1d9486f9cb41ae,asset-tracker-cloud-firmware-aws_diff29.json,v3.3.7,2022-06-24T00:57:23Z,v4.0.0,2022-09-05T12:57:24Z
