Base,Head,Filename,Base Tag,Base Date,Head Tag,Head Date
a4002ae55887edaceee60610371b7582040956f3,880e1cd55b4ce65f9d8155c09218a57b341c1565,babylonreactnative_diff0.json,1.8.1,2023-11-28T17:14:27Z,v0.1.0,2020-05-31T16:38:37Z
ca1663ffda25c47d731a313705ced28308b09245,c549ead5c3b4d39d88229e89f5a23730a280cd83,babylonreactnative_diff4.json,1.6.3,2023-07-21T09:15:27Z,1.7.8,2023-11-23T14:41:22Z
86484b740860cd437abc7f9857c116114247b963,be6a80b23a2a5ca96483afc6184073a91446cd9d,babylonreactnative_diff7.json,1.5.1,2023-02-08T20:27:53Z,1.6.0,2023-05-22T16:10:04Z
945232163076f40a539620f7a3b8eb76c43fd86c,06c1a6c92d53fe875589990ede69e74b9207309a,babylonreactnative_diff9.json,1.4.4,2023-01-21T02:42:19Z,1.5.0,2023-01-31T13:03:58Z
0d04ccb162ce41c7217f5231c20354efeb7ed3c0,eeabb3b893de197152dc3f084e9a5a61f9c70bd3,babylonreactnative_diff11.json,1.4.2,2022-12-08T23:22:43Z,1.4.3,2023-01-19T11:49:59Z
2a0fb01601f9ee96cae5d8e8f7111946b987f3a2,0d04ccb162ce41c7217f5231c20354efeb7ed3c0,babylonreactnative_diff12.json,1.4.1,2022-11-23T00:57:56Z,1.4.2,2022-12-08T23:22:43Z
522e4a934b95d3bab39e93027a1ca6c4f6842f91,cd91d2efd991c5796cfc0a1ab39507b134f1e5aa,babylonreactnative_diff14.json,1.3.5,2022-09-19T23:21:30Z,1.4.0,2022-11-08T13:34:18Z
29297e1f74be93575add66afdd9a0517e637e37d,522e4a934b95d3bab39e93027a1ca6c4f6842f91,babylonreactnative_diff15.json,1.3.4,2022-09-08T20:14:48Z,1.3.5,2022-09-19T23:21:30Z
fb054db8f457a369d4f073ecc062e5d2158a92bc,29297e1f74be93575add66afdd9a0517e637e37d,babylonreactnative_diff16.json,1.3.3,2022-08-29T22:28:21Z,1.3.4,2022-09-08T20:14:48Z
fa177df78f4d6469827b2826b17080e79fc7941e,902290e7b629390c5dba92ea6bfade7ef2b47569,babylonreactnative_diff18.json,1.3.1,2022-08-09T00:00:51Z,1.3.2,2022-08-09T19:27:33Z
410290dced6ba6d0b0a8df13145acc76a94acfc6,fa177df78f4d6469827b2826b17080e79fc7941e,babylonreactnative_diff19.json,1.3.0,2022-08-03T19:14:12Z,1.3.1,2022-08-09T00:00:51Z
b9d382fde74da5c26fc19dd36582e4c34e0519ca,410290dced6ba6d0b0a8df13145acc76a94acfc6,babylonreactnative_diff20.json,1.2.0,2022-05-23T15:44:17Z,1.3.0,2022-08-03T19:14:12Z
1fbf4f4f3e07812195240c44bcbe5b72a3ce890c,b9d382fde74da5c26fc19dd36582e4c34e0519ca,babylonreactnative_diff21.json,1.1.1,2022-05-05T17:55:38Z,1.2.0,2022-05-23T15:44:17Z
92115b1362f89ce954ef4cf2f4363e5e898dbc70,007aed2e589ec6ad48e0a234d59701902d95a092,babylonreactnative_diff23.json,1.0.1,2022-03-31T19:11:04Z,1.1.0,2022-04-15T18:42:39Z
