Base,Head,Filename,Base Tag,Base Date,Head Tag,Head Date
c41c2f895051c986e7ade7a225dfa25bee165b5c,7613ec5230cb07331b0483615426ee796f261213,bpi-router-linux_diff3.json,CI-BUILD-5.15-main-5.15.146-2024-01-14_1445,2024-01-14T15:17:38Z,CI-BUILD-5.4-main-5.4.266-2024-01-14_2009,2024-01-14T20:37:24Z
150a44250d626ed5852c868975d2194e44c568dc,d01d290ab99e3c9e4f74cce9505002f02122c659,bpi-router-linux_diff6.json,CI-BUILD-4.14-main-4.14.336-2024-01-14_2004,2024-01-14T20:13:49Z,CI-BUILD-4.19-main-4.19.304-2024-01-14_2008,2024-01-14T20:18:24Z
62361d1475f277efa11bb37031c8ad2e9d85d4fe,150a44250d626ed5852c868975d2194e44c568dc,bpi-router-linux_diff7.json,CI-BUILD-6.1-main-6.1.60-2023-10-26_1511,2023-10-26T17:17:51Z,CI-BUILD-4.14-main-4.14.336-2024-01-14_2004,2024-01-14T20:13:49Z
d692d8af0b3691dfd6f3d2876d2650530e3bef14,9d3235be0680eab189ed5f2812657be62bda76af,bpi-router-linux_diff9.json,CI-BUILD-5.15-main-5.15.137-2023-10-26_1721,2023-10-26T18:31:21Z,CI-BUILD-5.4-main-5.4.259-2023-10-26_1728,2023-10-26T18:17:10Z
dab0aa1256e585804d6d65f0347010b298a7a5e8,d692d8af0b3691dfd6f3d2876d2650530e3bef14,bpi-router-linux_diff10.json,CI-BUILD-5.10-main-5.10.199-2023-10-26_1724,2023-10-26T18:12:22Z,CI-BUILD-5.15-main-5.15.137-2023-10-26_1721,2023-10-26T18:31:21Z
b54cbad734566c14c5f09bfe86d6adef04beaa8f,1e5ccda5b0209b5cd4a485639a608768be6d2965,bpi-router-linux_diff12.json,CI-BUILD-4.14-main-4.14.328-2023-10-26_1734,2023-10-26T17:43:48Z,CI-BUILD-4.19-main-4.19.297-2023-10-26_1737,2023-10-26T17:49:00Z
9bc5a681f9faec75c3adeca19367a97229100a64,b54cbad734566c14c5f09bfe86d6adef04beaa8f,bpi-router-linux_diff13.json,CI-BUILD-6.1-main-6.1.55-2023-10-07_1249,2023-10-07T14:29:53Z,CI-BUILD-4.14-main-4.14.328-2023-10-26_1734,2023-10-26T17:43:48Z
3a1f39c922038aedaa5e43a8af04733bc5d34c68,ccf3f8f143b2aa0039599dc24411224b81165ee1,bpi-router-linux_diff16.json,CI-BUILD-6.1-main-6.1.50-2023-09-03_0744,2023-09-03T09:39:33Z,CI-BUILD-5.15-main-5.15.133-2023-10-02_1234,2023-10-02T13:22:43Z
6ccdfbcd515ad2d7240c4887ae5cd71fc74354d3,f5a17fff012d559d07da65d49e97baf3b5c029f8,bpi-router-linux_diff21.json,CI-BUILD-5.15-main-5.15.129-2023-08-31_2026,2023-08-31T21:32:28Z,CI-BUILD-5.4-main-5.4.255-2023-08-31_2030,2023-08-31T21:15:04Z
647a3432fecbc5d2982b431a950d38bad648c74e,6ccdfbcd515ad2d7240c4887ae5cd71fc74354d3,bpi-router-linux_diff22.json,CI-BUILD-5.10-main-5.10.193-2023-08-31_2027,2023-08-31T21:14:31Z,CI-BUILD-5.15-main-5.15.129-2023-08-31_2026,2023-08-31T21:32:28Z
2ecf73688e21da924b17c45320792c832f30c1c8,7091e01b54e07d03975b1ab52b571169926078d2,bpi-router-linux_diff24.json,CI-BUILD-4.14-main-4.14.324-2023-08-31_2034,2023-08-31T20:44:22Z,CI-BUILD-4.19-main-4.19.293-2023-08-31_2032,2023-08-31T20:45:18Z
2c5257daf58c0f5066201e18b1e11251a5705d2a,2ecf73688e21da924b17c45320792c832f30c1c8,bpi-router-linux_diff25.json,CI-BUILD-6.1-main-6.1.42-2023-08-04_1102,2023-08-04T12:39:59Z,CI-BUILD-4.14-main-4.14.324-2023-08-31_2034,2023-08-31T20:44:22Z
11cf361a1153e5392ca8509275546ec283344484,3bc83bd51d03e52cf2ebfc094e9cfadd9c76a7d0,bpi-router-linux_diff28.json,CI-BUILD-6.1-main-6.1.34-2023-06-29_1409,2023-06-29T16:12:30Z,CI-BUILD-5.15-main-5.15.119-2023-07-01_1415,2023-07-01T15:10:10Z
9f8babe214720646df7d0a0e2a0a9b68679b7767,441e9459af1c5630eca95e030300fcc46b419bdc,bpi-router-linux_diff32.json,CI-BUILD-5.15-main-5.15.117-2023-06-19_1857,2023-06-19T19:45:25Z,CI-BUILD-5.4-main-5.4.247-2023-06-19_1930,2023-06-19T20:02:09Z
a3e83236db1f4c2f01fd9e7a2c7ffcd04d31322b,e621415b31232b60c38cddc19cdeee41af7add03,bpi-router-linux_diff36.json,CI-BUILD-6.1-main-6.1.22-2023-04-02_1217,2023-04-02T13:59:35Z,CI-BUILD-4.14-main-4.14.318-2023-06-19_2025,2023-06-19T20:36:27Z
4aeab81edd3e64993364d76f9d9c2c3fd49e5fca,48905a430662d2dfdef96abb0570ebca748cd1d1,bpi-router-linux_diff41.json,CI-BUILD-5.15-main-5.15.103-2023-03-18_2023,2023-03-18T21:11:18Z,CI-BUILD-5.4-main-5.4.237-2023-03-18_2058,2023-03-18T21:36:25Z
47beb070ab63b97b63d2a63fdd42fc3d03ca2c87,4aeab81edd3e64993364d76f9d9c2c3fd49e5fca,bpi-router-linux_diff42.json,CI-BUILD-5.10-main-5.10.175-2023-03-18_2052,2023-03-18T21:45:15Z,CI-BUILD-5.15-main-5.15.103-2023-03-18_2023,2023-03-18T21:11:18Z
dc5fe0c772ff16a1f66bf774dac9f5359667f09b,09612bff54db27e4362678331bc95500de5c0bc6,bpi-router-linux_diff44.json,CI-BUILD-4.14-main-4.14.310-2023-03-18_2107,2023-03-18T21:20:36Z,CI-BUILD-4.19-main-4.19.278-2023-03-18_2105,2023-03-18T21:20:25Z
