Base,Head,Filename,Base Tag,Base Date,Head Tag,Head Date
063219bdf29263d608c1a4a3e48291162408ac97,1aeaede8ad542bac27ebd934bbc0220fc1c9c813,core_diff1.json,v0.7.4,2023-06-05T21:56:48Z,v0.7.5,2023-09-14T16:16:58Z
2a85143a9c435021de6235c5268f471b12a5a82b,063219bdf29263d608c1a4a3e48291162408ac97,core_diff2.json,v0.7.3,2023-02-07T21:56:09Z,v0.7.4,2023-06-05T21:56:48Z
06f806633497fb3f9c5725de59e03d8b1f4eab93,235bc9f162c2eb04ddd88725b952b32dc5b4b0b9,core_diff5.json,v0.6.3,2023-01-19T16:28:22Z,v0.7.1,2023-02-03T01:42:46Z
6fb3421c586d24354671e718463bff4c0ec0d296,06f806633497fb3f9c5725de59e03d8b1f4eab93,core_diff6.json,v0.6.2,2022-12-27T20:11:20Z,v0.6.3,2023-01-19T16:28:22Z
be7d134215dfc9ccba9f82eaff7e36de8abbf348,6fb3421c586d24354671e718463bff4c0ec0d296,core_diff7.json,v0.6.0,2022-11-22T17:37:46Z,v0.6.2,2022-12-27T20:11:20Z
62563c2b2a1421e0d270ae415766f5aa558290b8,be7d134215dfc9ccba9f82eaff7e36de8abbf348,core_diff8.json,v0.5.37,2022-09-14T23:29:38Z,v0.6.0,2022-11-22T17:37:46Z
48ef31f21d4b2d4e1ac58018ce1d4637f123a41f,0b4ae4645d2a25b0d5b4352382970ee7106d6fca,core_diff10.json,v0.5.32,2022-09-06T20:30:13Z,v0.5.33,2022-09-13T22:03:43Z
885e5266dfcada1d7639cc9341212857ace75e05,7b20ddc4053d3c8a435f3d8c057bb2be3683ba25,core_diff12.json,v0.5.30,2022-09-01T22:41:56Z,v0.5.31,2022-09-06T20:09:39Z
872fa73dce1f2d11c60487756b568c43d0737d29,690e9397259e323893b9ee3852a7802bd90519cb,core_diff15.json,v0.5.27,2022-08-12T14:46:26Z,v0.5.28,2022-08-30T19:20:29Z
66467bf921234604287a5d5213db2c16955f0b4a,aa1a9faa3ab75014fe6bc4040541006e37db17bc,core_diff18.json,v0.5.24,2022-07-18T22:58:51Z,v0.5.25,2022-08-09T06:50:43Z
bfb26104e3b578f778ac5d5f36ab6fc7067d63c9,2d36a42bb63bf778e4d943863ccf12ae041e516b,core_diff22.json,v0.5.7,2021-10-25T12:36:13Z,v0.5.21,2022-07-06T11:17:25Z
d9baa96d5796cf528a11e73e6da9326385a73e07,bfb26104e3b578f778ac5d5f36ab6fc7067d63c9,core_diff23.json,v0.5.6,2021-10-07T12:08:43Z,v0.5.7,2021-10-25T12:36:13Z
9c421ebfbc0dd2d1d971e03f24310ab11043c9e3,d9baa96d5796cf528a11e73e6da9326385a73e07,core_diff24.json,v0.4.8,2021-05-28T17:15:35Z,v0.5.6,2021-10-07T12:08:43Z
8fc4cba5d6bc9aa4b15160099f4ed63cbbc06bd3,a72d15c58c7a81616ef38b49b1f17dadaabfce91,core_diff26.json,v0.4.6,2021-05-19T13:07:33Z,v0.4.7,2021-05-27T15:26:16Z
0a8e42675bae592d6b938a8197384dea2ad4a380,1bc80baad6d820da71b71a14b4803cb441e8c1e7,core_diff28.json,v0.4.4,2021-05-10T22:51:55Z,v0.4.5,2021-05-11T18:38:34Z
6c076f76ececf446f88415470a19463296026d9f,9957043581f97315921286586c3e848d1737b5e0,core_diff33.json,v0.3.17,2021-03-20T11:48:09Z,v0.4.0,2021-04-14T16:05:32Z
99354efa519e9008d639bdb13572bd5180a00ffc,5b6cd29d2e906b0d366c3a1563718888d4905c2d,core_diff43.json,v0.3.6,2021-01-09T12:56:56Z,v0.3.8,2021-01-14T14:00:57Z
9b5af56641e9c9e22b6aa3cdb1839f561c41945f,d5bd1ca68c9087be4eb21b51fb1643e41a4bec01,core_diff50.json,v0.2.24,2020-09-17T13:19:32Z,v0.3.0,2020-11-04T15:49:33Z
b2fd4fd5867ca8b94edcceec2164aea0bd2b86e9,9b5af56641e9c9e22b6aa3cdb1839f561c41945f,core_diff51.json,v0.2.23,2020-09-02T15:23:36Z,v0.2.24,2020-09-17T13:19:32Z
00481b55af560f674ccd2027281d61b82124586b,7c60927b4693fcc206204166111a22c259cff288,core_diff58.json,v0.2.15,2020-08-19T16:35:57Z,v0.2.16,2020-08-19T20:06:15Z
51b15bd81d0dc825bf9fb3001a043587a88b0fd7,41313a2e7b478d739f6093635fadc0a3c5413638,core_diff69.json,v0.2.4,2020-08-11T18:01:58Z,v0.2.5,2020-08-12T02:02:23Z
48f8322d72d659d0af68687a0e5b4c3d0dd19c18,51b15bd81d0dc825bf9fb3001a043587a88b0fd7,core_diff70.json,v0.2.3,2020-07-03T13:59:09Z,v0.2.4,2020-08-11T18:01:58Z
81d6112701c1306e2130217966d4783a2de79f12,570e4cbfbc23bab1b9cc0c1fe415a75800cffca0,core_diff98.json,v0.1.39,2020-03-16T13:20:43Z,v0.1.40,2020-03-21T00:41:22Z
0ab861cf4b2cc6ae7c6258384ff57f96226bebca,57267a807a26665a0c46188f18a72cd722ec1ead,core_diff114.json,v0.1.23,2020-01-02T12:33:09Z,v0.1.24,2020-01-17T15:30:43Z
a1c262a4a690084241d2740d690a1e1dfd6cbe6f,3093452d35a3140808ded98d6a45b4aaf7c8390f,core_diff124.json,v0.1.9,2019-01-24T18:27:12Z,v0.1.12,2019-11-12T02:25:42Z
1b36eae7a39cd2fcd9185b939b58de35ed2f0d67,a1c262a4a690084241d2740d690a1e1dfd6cbe6f,core_diff125.json,v0.1.8,2019-01-21T02:58:49Z,v0.1.9,2019-01-24T18:27:12Z
