Base,Head,Filename,Base Tag,Base Date,Head Tag,Head Date
530d383ddf3e5ce63665ff294b701850d6692569,3bbee2cf2c8da944a29f493c42f06ce57086f28f,cppwinrt_diff5.json,2.0.221121.5,2022-11-21T19:46:32Z,2.0.230207.1,2023-02-07T19:51:08Z
e7b690382e0e08af0ce5ddcfde37d8fdab0ddb24,6ce4fa91bb98763c099e24a744b3234f6b23727c,cppwinrt_diff8.json,2.0.220929.3,2022-09-29T19:05:29Z,2.0.221101.3,2022-11-01T17:30:26Z
380cb8f773e1b9da8d947f6567eeaac401e0c33c,e7b690382e0e08af0ce5ddcfde37d8fdab0ddb24,cppwinrt_diff9.json,2.0.220912.1,2022-09-12T17:46:46Z,2.0.220929.3,2022-09-29T19:05:29Z
bddd2e1303ecdf4c26e4721cc6b66a58b37d9949,1ab11a3522fe3a6fcccc7e1f5b7187a9692c0033,cppwinrt_diff20.json,2.0.211028.7,2021-10-29T03:45:59Z,2.0.220110.5,2022-01-10T20:17:01Z
24af032f484ffc363b528c558732ca8b246900f1,bddd2e1303ecdf4c26e4721cc6b66a58b37d9949,cppwinrt_diff21.json,2.0.210930.8,2021-09-30T21:23:26Z,2.0.211028.7,2021-10-29T03:45:59Z
1c4b5f558dd90b30c1e1c183d608c317c3139df6,7e730e7652a42754bd0384feb7c84d5484daff2e,cppwinrt_diff32.json,2.0.210505.3,2021-05-06T06:42:35Z,2.0.210707.1,2021-07-07T17:14:11Z
2e05b07d3195ba50ecb19acba8ab1084e6b7dc9f,1c4b5f558dd90b30c1e1c183d608c317c3139df6,cppwinrt_diff33.json,2.0.210504.3,2021-05-04T21:28:29Z,2.0.210505.3,2021-05-06T06:42:35Z
7ec62b76400246f8ced24d04b75ee6a499596715,0cd75f40d3d5fc8385c30dc261bc85d02c6d2cb7,cppwinrt_diff42.json,2.0.210309.3,2021-03-10T03:51:45Z,2.0.210312.3,2021-03-12T14:31:10Z
0835afb0e9f5b9d78e33d2ca68114748616ebc4e,39c062ecc95099db857f7b63ea55301034eda97f,cppwinrt_diff47.json,2.0.210211.2,2021-02-12T00:12:58Z,2.0.210225.3,2021-02-26T13:38:05Z
329b104182f7837538c6f779d14e51ba98baf0ef,0242fab553ca6b0cdf7f6fa86ddf62c40f4d3d2a,cppwinrt_diff50.json,2.0.201215.2,2020-12-15T18:58:39Z,2.0.201217.4,2020-12-17T20:48:48Z
f17f9555240c9f70781e136b5dd8cb629f80165b,78da673818bb738f0baec98527fcaedddb9d186a,cppwinrt_diff80.json,2.0.200117.5,2020-01-17T20:50:36Z,2.0.200203.3,2020-02-03T15:11:34Z
da87b913d8176d607ed5229ed0a51503bc7daec6,27435d63f2f1f4ea01722ae48b2dd9a506d70cff,cppwinrt_diff83.json,2.0.200107.1,2020-01-07T14:10:00Z,2.0.200115.8,2020-01-15T21:24:37Z
62ec4d49a9c04488593f9dd0c4b6d122d4f73453,da87b913d8176d607ed5229ed0a51503bc7daec6,cppwinrt_diff84.json,2.0.191217.1,2019-12-18T18:21:17Z,2.0.200107.1,2020-01-07T14:10:00Z
dc92f6f56a1f3bd9cac78cee8955fbec79bc7a3c,e4830e1aed38332d46f46c8e550f94ddc05c4410,cppwinrt_diff92.json,fall_2017_creators_update_for_vs_15.3,2017-10-13T17:24:15Z,2.0.191018.6,2019-10-18T17:55:08Z
