Base,Head,Filename,Base Tag,Base Date,Head Tag,Head Date
82e3ee0e3230287b76a76fb8f16b92ca6e50b444,8ef505f309f59dbd177376ab17e27773b6584319,cups_diff0.json,v2.3.3,2020-04-27T23:04:34Z,release-1.0.1,2013-11-21T21:48:45Z
0ad6ac55da2686c6fa24b05bde5e9036fd4db5d1,ed181c24e4b130d2981785d44488bef8cfda5f6d,cups_diff2.json,v2.2.13,2019-12-13T14:42:32Z,v2.3.1,2019-12-13T14:44:18Z
ee6be9cd7e863abf36b9b131fc379d967414aa2e,0ad6ac55da2686c6fa24b05bde5e9036fd4db5d1,cups_diff3.json,v2.3.0,2019-08-23T17:55:24Z,v2.2.13,2019-12-13T14:42:32Z
c8cb6400e317633f66cdc87884915d54710b53a0,ee6be9cd7e863abf36b9b131fc379d967414aa2e,cups_diff4.json,v2.2.12,2019-08-15T22:40:59Z,v2.3.0,2019-08-23T17:55:24Z
4d03c4ca90d8c1c0d5303427858e537fd3c415e4,c8cb6400e317633f66cdc87884915d54710b53a0,cups_diff5.json,v2.3rc1,2019-05-21T16:59:46Z,v2.2.12,2019-08-15T22:40:59Z
e4a0aa86c96b5ddda3770c46709f4dee9a59071f,0450ddd4f003de8aa8d8e7a54d181a992607d031,cups_diff7.json,v2.2.11,2019-03-22T20:03:20Z,v2.3b8,2019-05-02T16:58:20Z
b1e7afd5964cbe1aeab6f0a2d5b33884693a143a,e4a0aa86c96b5ddda3770c46709f4dee9a59071f,cups_diff8.json,v2.3b7,2018-12-14T15:20:30Z,v2.2.11,2019-03-22T20:03:20Z
25b2338346ef3abbb93ea88476887cba7b2b86f8,b1e7afd5964cbe1aeab6f0a2d5b33884693a143a,cups_diff9.json,v2.2.10,2018-12-07T19:44:24Z,v2.3b7,2018-12-14T15:20:30Z
c13e2f44eb15bcdbff9126df86d1ed9a5108e47c,25b2338346ef3abbb93ea88476887cba7b2b86f8,cups_diff10.json,v2.3b6,2018-12-07T19:40:32Z,v2.2.10,2018-12-07T19:44:24Z
8b4e44a9626844bc5ee50279ead7b312fb263a12,c13e2f44eb15bcdbff9126df86d1ed9a5108e47c,cups_diff11.json,v2.2.9,2018-11-08T13:49:45Z,v2.3b6,2018-12-07T19:40:32Z
4ebeb20c50145190312c9897efa26ed5b58b3bc5,8b4e44a9626844bc5ee50279ead7b312fb263a12,cups_diff12.json,v2.2.8,2018-06-05T16:07:19Z,v2.2.9,2018-11-08T13:49:45Z
