Base,Head,Filename,Base Tag,Base Date,Head Tag,Head Date
f48253ddfe47fb61b80e9f04e0947713563627ac,f5e114aaebe25c5242db5f0066af2f5189c09f99,defold_diff28.json,1.4.4-alpha,2023-03-25T07:10:09Z,1.4.4,2023-03-27T16:50:31Z
b1f3977fbad9230bbf048e67e779d1e3c86f2cf6,f48253ddfe47fb61b80e9f04e0947713563627ac,defold_diff29.json,1.4.4-beta,2023-03-23T09:31:19Z,1.4.4-alpha,2023-03-25T07:10:09Z
b119e80c392eab4b620dbe9cc9eaea4c01a2da37,b1f3977fbad9230bbf048e67e779d1e3c86f2cf6,defold_diff30.json,1.4.3,2023-03-07T12:42:05Z,1.4.4-beta,2023-03-23T09:31:19Z
cbfbf7b31367f927c4aa68722da2d862fbe434f0,1d57a5d5bb0e70b783c8a3551690c9b3fc897fcc,defold_diff42.json,1.3.8-alpha,2022-10-17T21:47:30Z,1.4.0-alpha,2022-11-01T15:20:52Z
f0ad06a2f1fbf0e9cbddbf96162a75bc006d84bb,cbfbf7b31367f927c4aa68722da2d862fbe434f0,defold_diff43.json,1.3.7,2022-10-18T06:34:43Z,1.3.8-alpha,2022-10-17T21:47:30Z
905234d8da2e642f1075c73aaa1bfb72e49199e3,1041fb81a51b81cc2626185043e7f1be73b4c072,defold_diff46.json,1.3.6,2022-09-19T09:57:25Z,1.3.7-alpha,2022-09-26T12:41:09Z
3d3669922c2d15cbcc6f3abf582885291393a4f3,c2ab1630e34f1311d8340d81494cf5317d25fe16,defold_diff56.json,1.3.3-alpha,2022-05-05T10:36:11Z,1.3.3,2022-06-14T08:58:40Z
2ee937bb054578275ec8aaa1c4e4dd856fe95ba0,d31d6397a72178541a5ef6e7ef2bed090d828f58,defold_diff74.json,1.2.190-beta,2021-11-29T15:08:23Z,1.2.190,2021-12-13T11:21:37Z
dedf1ed10d96c92df6e361f5494531c79af4c1cf,2c803461e0e2d1c6c26637b904d213d6603d5629,defold_diff105.json,1.2.172,2020-08-17T07:49:21Z,1.2.173,2020-09-14T07:31:58Z
4ebe7a1d548eae2398717ed46f9d7d1b103d5503,5791ee6d96b87e50eee5acd70abaa4026fefef28,defold_diff108.json,1.2.169,2020-05-25T11:09:33Z,1.2.170,2020-06-22T11:44:00Z
5295afb3878441fb12f497df8831148525dcfb10,96f7a5e4f617d5f6f4645f30a3e6ff656689435d,defold_diff111.json,1.2.166,2020-03-02T13:52:15Z,1.2.167,2020-03-30T14:48:42Z
6fac6e80f09ab297093e3ff65a7f45ad56e06e33,5295afb3878441fb12f497df8831148525dcfb10,defold_diff112.json,1.2.165,2020-02-05T12:41:15Z,1.2.166,2020-03-02T13:52:15Z
2be2687cbb670c2dbe9cf2e99577bc3338561778,6fac6e80f09ab297093e3ff65a7f45ad56e06e33,defold_diff113.json,1.2.164,2019-11-25T13:28:06Z,1.2.165,2020-02-05T12:41:15Z
