Base,Head,Filename,Base Tag,Base Date,Head Tag,Head Date
4e2e1d2adac00afa070745073b895bbe47547743,6166cc290572673d8a59e4912db952d3ef46e33e,device-os_diff3.json,v5.4.1,2023-07-20T23:36:44Z,v5.5.0-rc.1,2023-08-16T22:11:18Z
74edc6779938d6e55ae1373382a42d3c1744c1f8,5c8ecf19204c86e59484c64d6c34467cd8c972b5,device-os_diff5.json,v4.1.0,2023-06-01T00:34:01Z,v5.4.0,2023-06-16T15:39:09Z
5deba5a96c640fd382c95db2a89a9315638495b9,a6f8503820445c640ff7b2e01090910fb3ca3c6c,device-os_diff10.json,v4.0.2,2022-12-15T23:36:00Z,v5.2.0,2022-12-19T18:23:27Z
5aa7c8e1c7282b7c52040b77811186925d0febdc,754c9cde39c1b0f7fb3b4f7c2cdb97a1ed401a31,device-os_diff12.json,v2.3.1,2022-11-14T19:42:28Z,v3.3.1,2022-11-14T20:10:20Z
0b910fdde59d0111ec344a875f9094a03c501027,5aa7c8e1c7282b7c52040b77811186925d0febdc,device-os_diff13.json,v4.0.1,2022-11-14T21:21:24Z,v2.3.1,2022-11-14T19:42:28Z
cccaa6ca6c3d3ec4d9a3cbf515f1c1579438d633,d279a833edef45ff949a26f0ce5b05467817af07,device-os_diff17.json,v4.0.0,2022-08-30T17:34:52Z,v5.0.1,2022-09-03T14:50:20Z
12b9c975a8aeb8e53f0ca275e752bbc106275c7e,87cf93616bc0234a5570a2b7baab10c4520e3dd9,device-os_diff19.json,v4.0.0-beta.1,2022-07-28T18:59:05Z,v5.0.0,2022-08-19T21:07:41Z
38d458145280bd87cddfc3998ed852ae5dfa1ffd,8f68d1b4b12c60f53c50386461aa5999d5c894b3,device-os_diff22.json,v4.0.0-alpha.2,2022-06-23T18:25:33Z,v5.0.0-alpha.1,2022-07-16T01:29:24Z
759d5bcd2884d2aa929da2bc2117f89ccc12d992,582d1aba8a886a99147d4199993996a5387f7fb7,device-os_diff27.json,v2.3.0,2022-01-25T21:16:12Z,v3.3.0-rc.1,2022-03-18T16:33:27Z
72ab0a542dd1da5257a38129c8c0ac497769c499,759d5bcd2884d2aa929da2bc2117f89ccc12d992,device-os_diff28.json,v3.2.0,2022-01-18T16:57:56Z,v2.3.0,2022-01-25T21:16:12Z
7e5a77e2fc8ceb5bfc956bcd6d52fb2da2ac8940,381b538832c8c2be15580844fe3ddf2a5915f998,device-os_diff30.json,v2.3.0-rc.1,2021-10-07T02:08:34Z,v3.2.0-rc.1,2021-11-12T16:40:40Z
a032b3c79d3a7b4152451a3d441c6f944e79c661,7e5a77e2fc8ceb5bfc956bcd6d52fb2da2ac8940,device-os_diff31.json,v2.0.2,2021-09-24T18:25:53Z,v2.3.0-rc.1,2021-10-07T02:08:34Z
637ee263d356d6b0b6dfb079f6c113320f01b5d4,cb4dbafd7c1e6666eb3bb673b80bc1fefe4c3fdc,device-os_diff33.json,v2.0.2-rc.1,2021-09-22T16:51:36Z,v2.2.0,2021-09-16T03:58:32Z
edf9dae304414e5d0f2568db00b979b6821e08b9,66575bdfcbab501bf7ebd92fcc58ae423a8de8cf,device-os_diff35.json,v3.1.0,2021-07-13T16:33:33Z,v2.2.0-rc.2,2021-08-27T21:24:39Z
db63d76231e89ceba475012cf7e6593ed750c9a1,e1e856465217923b734e8c40a6f8fde55fd60e6b,device-os_diff98.json,v0.7.0,2018-03-26T18:08:13Z,v0.8.0-rc.3,2018-04-10T23:13:33Z
12d7eeae3bb97db6f2df65a5a01593237e9f0906,c3e7fe6d4f78cfa661d6c99e4ea96560588003ee,device-os_diff101.json,v0.8.0-rc.1,2018-01-08T19:24:26Z,v0.8.0-rc.2,2018-02-13T18:17:16Z
88aacb0a79afc613574dce36f12f6681392552e2,89f8e270ce7d748a4d9d5f633a650b0bacb728da,device-os_diff106.json,v0.5.5,2017-11-07T20:11:04Z,v0.6.3,2017-11-07T22:49:16Z
f55d1b023b5ac882b22905fae4b91c916eb2e629,3c9fff9de0634d42a2703f03d189879e60b6409d,device-os_diff109.json,v0.7.0-rc.2,2017-07-14T19:50:04Z,v0.7.0-rc.3,2017-08-15T22:21:23Z
d17554a7c44b614d58b98fb753e675af5b6f3add,04f35df7a7b0e1bd9df8e6bfce7a3393dfe70861,device-os_diff117.json,v0.6.0,2016-11-07T12:57:08Z,v0.6.1-rc.1,2016-12-21T00:38:53Z
5833ebc767cb9e843e5cd9413341ed08c0c880fc,60f703bd4165a292f89124a7e3755e4eb37b1a03,device-os_diff120.json,v0.5.3-rc.3,2016-08-30T21:19:53Z,v0.6.0-rc.2,2016-09-08T19:04:30Z
