Base,Head,Filename,Base Tag,Base Date,Head Tag,Head Date
33c5415305e5b04f7235de44aa8099cb46b5ce8f,f719635d57dc43099ba01129c188c8e0a7c89d78,dosbox-x_diff1.json,dosbox-x-v2023.09.01,2023-09-02T00:03:29Z,dosbox-x-v2023.10.06,2023-10-07T06:26:25Z
932012cd1af7bbe8050c11fd3bdc356bf5fc7316,33c5415305e5b04f7235de44aa8099cb46b5ce8f,dosbox-x_diff2.json,dosbox-x-v2023.05.01,2023-05-01T17:45:17Z,dosbox-x-v2023.09.01,2023-09-02T00:03:29Z
a5c0d2a3e5e755d66fccbdb5d684ec85f2a67a28,10add4401b67a0a25cb4fe3ad4691cc88d4cd3e0,dosbox-x_diff4.json,dosbox-x-v2022.12.26,2022-12-27T04:03:35Z,dosbox-x-v2023.03.31,2023-04-01T08:05:52Z
f35f2e895b58bcebac4212ef96f672f22d447700,a5c0d2a3e5e755d66fccbdb5d684ec85f2a67a28,dosbox-x_diff5.json,dosbox-x-v0.84.3,2022-09-01T23:26:38Z,dosbox-x-v2022.12.26,2022-12-27T04:03:35Z
752c2f1d83b6747f31919eddafc7c7fc801be0fb,f35f2e895b58bcebac4212ef96f672f22d447700,dosbox-x_diff6.json,dosbox-x-windows-v2022.08.0,2022-08-01T20:30:42Z,dosbox-x-v0.84.3,2022-09-01T23:26:38Z
1825a41799829ec30a75c5f6ab5dc00aee36eb5c,752c2f1d83b6747f31919eddafc7c7fc801be0fb,dosbox-x_diff7.json,dosbox-x-v0.84.1,2022-07-01T16:50:47Z,dosbox-x-windows-v2022.08.0,2022-08-01T20:30:42Z
36ee5351a1b0c40c6d2fc5e182910e20d2f38179,1825a41799829ec30a75c5f6ab5dc00aee36eb5c,dosbox-x_diff8.json,dosbox-x-v0.84.0,2022-06-01T05:28:15Z,dosbox-x-v0.84.1,2022-07-01T16:50:47Z
02e6785e2916304b65a95d62715c860295ee61a6,36ee5351a1b0c40c6d2fc5e182910e20d2f38179,dosbox-x_diff9.json,dosbox-x-v0.83.25,2022-05-01T15:13:19Z,dosbox-x-v0.84.0,2022-06-01T05:28:15Z
38e57ad3c6da31c4418b0719a9b8636dd6014b2a,84706dc5a17e294350823105dabd457f8a410c36,dosbox-x_diff11.json,dosbox-x-v0.83.23,2022-03-01T06:41:12Z,dosbox-x-v0.83.24,2022-04-01T15:04:38Z
71ebd3b0df3362085ba04e908d2630f951f8733d,31a9cb16ebf95c874e367ee558d122f13f2a857f,dosbox-x_diff14.json,dosbox-x-v0.83.20,2021-12-01T07:34:19Z,dosbox-x-v0.83.21,2022-01-01T02:41:44Z
f51bf24c4a3f695bdc3fb77f8d813f620893291d,71ebd3b0df3362085ba04e908d2630f951f8733d,dosbox-x_diff15.json,dosbox-x-v0.83.19,2021-11-01T17:38:03Z,dosbox-x-v0.83.20,2021-12-01T07:34:19Z
c40b9cabfc738e21e0939f222aa3032db0e5f0b8,fe0c6e334cb1014c853fdac7fb3cd2f9fd86433a,dosbox-x_diff113.json,dosbox-x-windows-20171205,2017-12-06T06:32:52Z,dosbox-x-windows-sdl2-unification,2017-12-09T02:59:09Z
