Base,Head,Filename,Base Tag,Base Date,Head Tag,Head Date
b4a612345be8fa70be8321a6a491baf813a74c4d,1bdf0a866907ccfcb6e6c1f82470d6fbebf8f37c,esp-idf_diff1.json,v5.2-beta2,2023-12-29T19:13:59Z,v4.3.7,2023-12-30T19:11:08Z
03d7a3807bee18c7b9ffa0638af83b92fc23895f,b4a612345be8fa70be8321a6a491baf813a74c4d,esp-idf_diff2.json,v5.0.5,2023-12-13T08:01:19Z,v5.2-beta2,2023-12-29T19:13:59Z
482a8fb2d78e3b58eb21b26da8a5bedf90623213,57bbfd423a1e9533d371a5e0e1e6bcec25bae6fc,esp-idf_diff4.json,v5.1.2,2023-11-10T02:27:14Z,v5.2-beta1,2023-12-11T01:43:30Z
357290093430e41e7e3338227a61ef5162f2deed,482a8fb2d78e3b58eb21b26da8a5bedf90623213,esp-idf_diff5.json,v4.4.6,2023-09-26T15:29:42Z,v5.1.2,2023-11-10T02:27:14Z
8fbf4ba6058bcf736317d8a7aa75d0578563c38b,357290093430e41e7e3338227a61ef5162f2deed,esp-idf_diff6.json,v5.0.4,2023-09-14T15:58:41Z,v4.4.6,2023-09-26T15:29:42Z
5dc5a442a291f0e6180244a55095a4a4ca1776b5,8fbf4ba6058bcf736317d8a7aa75d0578563c38b,esp-idf_diff7.json,v4.3.6,2023-08-31T01:48:59Z,v5.0.4,2023-09-14T15:58:41Z
e088c3766ba440e72268b458a68f27b6e7d63986,5dc5a442a291f0e6180244a55095a4a4ca1776b5,esp-idf_diff8.json,v5.1.1,2023-08-21T08:34:47Z,v4.3.6,2023-08-31T01:48:59Z
d1503315ded139923a1bdd9b280f320c58f90aac,e004907bd53b68e6db2e29ae335d8b38cbb39472,esp-idf_diff10.json,v4.2.5,2023-06-29T08:06:51Z,v5.0.3,2023-07-10T09:23:32Z
cbce221e88d52665523093b2b6dd0ebe3f1243f1,d1503315ded139923a1bdd9b280f320c58f90aac,esp-idf_diff11.json,v5.1,2023-06-28T12:00:53Z,v4.2.5,2023-06-29T08:06:51Z
ac5d805d0eda75442dd17cfea5baaca9748f8215,4bc762621db30f253742bd3c439f80500fda0fb0,esp-idf_diff13.json,v4.4.5,2023-06-08T02:16:40Z,v5.1-rc2,2023-06-15T06:23:33Z
56677dabe86c7f422d153bb30b779b51590c5abb,ac5d805d0eda75442dd17cfea5baaca9748f8215,esp-idf_diff14.json,v5.1-rc1,2023-06-01T06:01:16Z,v4.4.5,2023-06-08T02:16:40Z
a6b1ebce31444e279ef6a0715289a9672ecc6db4,5181de8ac5ec5e18f04f634da8ce173b7ef5ab73,esp-idf_diff16.json,v5.1-beta1,2023-04-23T21:23:25Z,v5.0.2,2023-05-10T07:59:30Z
6d04316cbe4dc35ea7e4885e9821bd9958ac996d,a6b1ebce31444e279ef6a0715289a9672ecc6db4,esp-idf_diff17.json,v4.3.5,2023-03-22T08:49:36Z,v5.1-beta1,2023-04-23T21:23:25Z
a4afa44435ef4488d018399e1de50ad2ee964be8,6d04316cbe4dc35ea7e4885e9821bd9958ac996d,esp-idf_diff18.json,v5.0.1,2023-02-15T14:08:46Z,v4.3.5,2023-03-22T08:49:36Z
e8bdaf91986a41678adc6be13888fc037b1acb68,a4afa44435ef4488d018399e1de50ad2ee964be8,esp-idf_diff19.json,v4.4.4,2023-01-19T18:12:55Z,v5.0.1,2023-02-15T14:08:46Z
9173ec9d3034c98b558c3e4a10faf8c79d7967e5,e8bdaf91986a41678adc6be13888fc037b1acb68,esp-idf_diff20.json,v4.1.4,2022-12-10T09:39:56Z,v4.4.4,2023-01-19T18:12:55Z
7f5ecbe533b2666df6b10658a023b5f637320696,9173ec9d3034c98b558c3e4a10faf8c79d7967e5,esp-idf_diff21.json,v5.0,2022-12-01T12:40:41Z,v4.1.4,2022-12-10T09:39:56Z
6407ecb3f8d2cc07c4c230e7e64f2046af5c86f7,3f2f35bd5e1c3bab12def58de48c83fd8e93e431,esp-idf_diff23.json,v4.4.3,2022-11-08T15:22:23Z,v5.0-rc1,2022-11-11T13:03:31Z
63091bdf8d118f0e0c4e4424ee7a90f3d58ac6e5,6407ecb3f8d2cc07c4c230e7e64f2046af5c86f7,esp-idf_diff24.json,v4.3.4,2022-09-12T08:59:24Z,v4.4.3,2022-11-08T15:22:23Z
