Base,Head,Filename,Base Tag,Base Date,Head Tag,Head Date
83c35ca621403df301f7df91c267d054d0461702,6b1cbd9993b574e8dac70215dd8e661b5a3f09c6,esp8266_milight_hub_diff7.json,1.11.0-beta5,2023-09-27T23:17:32Z,1.11.0,2023-09-30T16:38:35Z
2b2ebf28f9787360af585935c98f3adb6a697f0d,83c35ca621403df301f7df91c267d054d0461702,esp8266_milight_hub_diff8.json,1.10.10-beta2,2023-09-27T18:28:39Z,1.11.0-beta5,2023-09-27T23:17:32Z
6116d1bc48a204d35330014a85373660365fa549,bd1246c60778d7d71a22265de1fd9012bc34ee9c,esp8266_milight_hub_diff10.json,1.10.10-beta1,2023-09-08T00:52:46Z,1.11.0-beta4,2023-09-25T22:06:02Z
9df17f435012650a28c91f0335a30fcf4569b425,6543f60c38f360f344ddfcb90366ffa1c54113d9,esp8266_milight_hub_diff12.json,1.10.8,2021-11-02T19:12:44Z,1.10.9,2023-09-07T18:18:55Z
27a1a6ac747eacc867cea8286fc691ce7e699e55,83cc3ae909b4f08d9b9be84c1fdbc0253734ee31,esp8266_milight_hub_diff14.json,1.10.6,2020-04-18T21:03:19Z,1.10.7,2020-11-25T00:40:19Z
43227d674f7610d1c54ade4cd85db61919842161,4077a3999d1418d6a836dcc056d842129d147334,esp8266_milight_hub_diff25.json,1.10.0-dev.7,2019-07-20T18:54:41Z,1.10.0-dev.8,2019-07-29T06:03:58Z
12c74ca834abb5c25778300ad1afc939de23e027,3e2a1517ac034ab0a2966f652a4131f75bad47c1,esp8266_milight_hub_diff40.json,1.8.8,2019-04-22T15:42:33Z,1.9.0-rc.4,2019-04-22T04:56:42Z
400ced949ba7f04583ec38efa5d6cccbae0c4526,665972893213f060651c2fbb363b210cb96801e4,esp8266_milight_hub_diff42.json,1.9.0-rc2,2019-04-07T19:01:58Z,1.9.0-rc3,2019-04-15T17:39:54Z
0956246114c180bd17aae267bae97915630a7e3f,9798e2c2ad205f0acadaa90ae86af6a4a940fa48,esp8266_milight_hub_diff46.json,1.9.0-dev10,2019-03-24T04:46:49Z,1.9.0-dev11,2019-03-31T00:28:15Z
3dbfb150ea6b2d773491b9d3ece19f11917f26d5,228fc3b3a662501a44d6a867ce2b025de17c0ffa,esp8266_milight_hub_diff48.json,1.9.0-dev8,2019-03-03T01:04:55Z,1.9.0-dev9,2019-03-17T18:02:15Z
cc0b0ea9ca4b633a386050ff968056eb76127dd1,36a34327aa4f50069f66e8d3e10ffd420ca1e328,esp8266_milight_hub_diff102.json,1.4.1,2017-07-15T22:49:10Z,1.5.0-dev1,2017-07-24T16:19:12Z
