Base,Head,Filename,Base Tag,Base Date,Head Tag,Head Date
31c4693c662dee0a6cab08db9ef9cfbad015ac0d,1c6acfd73495c2613eb937f56a0856dc2b34e9a0,firmware_diff2.json,v2.2.15.31c4693,2023-12-02T23:19:10Z,v2.2.16.1c6acfd,2023-12-17T00:00:20Z
f57020412e7811e0825567a26aa3d448b8fed48c,57542ce9e6f099ed67ccf36132b3cd3163898fb1,firmware_diff4.json,v2.2.13.f570204,2023-11-05T12:44:41Z,v2.2.14.57542ce,2023-11-21T00:19:26Z
3bcab0e223986e86a8deec4af5fca9db2ae3ef9a,8255128eae444d023d432d8089c67883f282385c,firmware_diff13.json,v2.2.4.3bcab0e,2023-09-05T00:44:34Z,v2.2.5.8255128,2023-09-10T01:49:10Z
470363d294657e4a1d411e42b5ddfe5fc463e225,97d7a89644dc815fdc2a352843aa50403427df1b,firmware_diff21.json,v2.1.20.470363d,2023-07-23T01:19:03Z,v2.1.21.97d7a89,2023-07-30T18:04:31Z
de53280ffc1963609379379be4c4682e9c4f2546,eb7025f1b19c453b4c95bf199b00cf48e9e1455b,firmware_diff23.json,v2.1.18.de53280,2023-07-09T11:15:37Z,v2.1.19.eb7025f,2023-07-18T15:56:57Z
331a1afc372898ff0c58ac6c552e7e9f51df55a6,dc2ca9c32ba427e30babc1fe96ac346b34f9357f,firmware_diff41.json,v2.1.0.331a1af,2023-03-06T23:07:18Z,v2.1.1.dc2ca9c,2023-03-11T12:50:19Z
7e27729daed7887e8bb3547e998ed33cae1cbe0f,2baaad8298f67c1608924efddd78569ce8d02d5d,firmware_diff52.json,v2.0.13.7e27729,2023-01-15T20:20:16Z,v2.0.14.2baaad8,2023-01-27T17:57:25Z
09fe616ac57082d585e3dcb65adb93d0504ed417,54176713320b325a8d91bb014c493c19d86d4d3f,firmware_diff62.json,v2.0.3.09fe616,2022-11-15T00:24:04Z,v2.0.4.5417671,2022-11-22T01:46:22Z
0adc5ce3de19321bebc5cb059464e13fa0325f96,18ab8749ffb669c292ef1e948cb6cfabf2666f40,firmware_diff65.json,v1.2.65.0adc5ce,2022-05-30T11:27:20Z,v2.0.0.18ab874,2022-11-01T12:20:35Z
9db7c62a49ab2a4536e673b66788aa4dae2841eb,8fd5d83980c45a270505b79cafe866c38e381fbb,firmware_diff75.json,v1.2.55.9db7c62,2022-02-11T03:58:04Z,v1.2.56.596a73c,2022-02-28T21:06:14Z
19c1f9fa59fa5b4909e4caa0384bdb6e027f2606,288f2be8eaea59c5ddfb6e84001db595403cef86,firmware_diff77.json,v1.2.53.19c1f9f,2022-01-28T03:34:15Z,v1.2.54.288f2be,2022-02-10T01:15:52Z
b63802cef31adc0251bc5102817e8344e635072e,19c1f9fa59fa5b4909e4caa0384bdb6e027f2606,firmware_diff78.json,v1.2.52.b63802c,2022-01-13T15:20:03Z,v1.2.53.19c1f9f,2022-01-28T03:34:15Z
41dcfdd7cb4a3bac6808b6511fac9a529befe4a8,f9ff06b2967fc81bd6e49e1e8439e7d7eb4aaf83,firmware_diff80.json,v1.2.50.41dcfdd,2021-12-29T20:00:24Z,v1.2.51.f9ff06b,2022-01-13T06:54:21Z
b6740548f355907e47320d3b9e9189adb7a8ab2a,dce2fe43a50bdc6270cdfdbd6fc536ef46adf39c,firmware_diff85.json,v1.2.45.b674054,2021-08-28T21:57:13Z,v1.2.46.dce2fe4,2021-10-15T19:16:01Z
0d5c5046eef0d3e2683255c7ef3dfd8febd05de2,6c956591f8ce529fc6f6576a88cad5382ee7f592,firmware_diff94.json,1.2.28,2021-04-15T04:34:08Z,v1.2.29.6c95659,2021-04-16T07:54:38Z
96c4286e7d03fc5a00de2df7818af3bdf6375e67,711820088522a96ab5d45438ccd3ff91198813f5,firmware_diff104.json,1.2.6,2021-03-07T02:04:08Z,1.2.9,2021-03-12T12:48:30Z
68490336b824ea01a21d1c0e00c9a424157d8f73,661a75d796518fb509ae4345eca44bbc359728bf,firmware_diff135.json,0.8.2,2020-07-19T00:13:13Z,0.9.1,2020-07-24T20:44:07Z
877e312833f058d721f13895782702cc264f7e44,a91fba763a9aabe4a99100294a28c1d61358ad17,firmware_diff166.json,0.0.5,2020-02-26T17:39:35Z,0.0.9,2020-03-03T17:35:02Z
