Base,Head,Filename,Base Tag,Base Date,Head Tag,Head Date
27b11b93c2a80a91c9461bc6c7f5e9a201406041,17455f97fc93bdd0a5a42a79a74fac5cdc1ba316,flatpak_diff1.json,1.15.6,2023-11-14T19:18:53Z,1.14.5,2023-12-08T13:52:21Z
e936e3100d406c50ba49f3ad6a0ecae455345ec0,27b11b93c2a80a91c9461bc6c7f5e9a201406041,flatpak_diff2.json,1.15.4,2023-03-16T14:32:49Z,1.15.6,2023-11-14T19:18:53Z
8a1edceadfab936953e2ab947b0e7ae5b71e4173,e936e3100d406c50ba49f3ad6a0ecae455345ec0,flatpak_diff3.json,1.14.4,2023-03-16T14:33:31Z,1.15.4,2023-03-16T14:32:49Z
c87d8b25c60e38e42e997786a6ed4d2376c8bcd8,8a1edceadfab936953e2ab947b0e7ae5b71e4173,flatpak_diff4.json,1.12.8,2023-03-16T14:33:51Z,1.14.4,2023-03-16T14:33:31Z
d771946b012db65e901dcc688fc8aff018879abd,c87d8b25c60e38e42e997786a6ed4d2376c8bcd8,flatpak_diff5.json,1.10.8,2023-03-16T14:34:26Z,1.12.8,2023-03-16T14:33:51Z
a56f26510044c090b074d3e10a77b573db2414b0,a98bbbe2ce7e5f370064e56411722a662f385ac1,flatpak_diff9.json,1.14.2,2023-02-06T17:51:19Z,1.15.2,2023-02-06T14:37:57Z
36b4d325fdcb890c48e6380852f7cdada18defad,488038eed44c7edf334d1e28085975d96ce2bdcc,flatpak_diff14.json,1.13.3,2022-06-16T22:59:39Z,1.14.0,2022-08-23T05:11:52Z
199a05c8c959caec8a2daa67454489a4bf2d6554,42b9bb578fb73b94ab601ddf35b8028a6f7496f3,flatpak_diff20.json,1.8.7,2022-02-03T11:56:15Z,1.12.5,2022-02-11T16:57:07Z
58dc0ea96c1648cdec341d7d74c260c3d62eb2bc,649ad5fe49945b834da0d616a24400c41666048c,flatpak_diff38.json,1.8.5,2021-01-14T09:25:55Z,1.10.0,2021-01-14T09:59:26Z
003fa230c68fa79a7b64e9ba03978a03d5e31703,ab394ffd0e6e7dbd5ea9cc1ff8dc58a8c570db0e,flatpak_diff40.json,1.8.4,2020-12-22T14:10:46Z,1.9.3,2020-12-22T13:12:19Z
16a03665aac921ada99a82a0a653116b24f94a00,2e8699202e6e8eebc822c199248ce2fd966b5183,flatpak_diff53.json,1.4.4,2020-02-14T10:39:24Z,1.6.3,2020-03-30T14:00:32Z
0736b524bfd31a7ee5568b0e46c501e5236d2373,72d7d456e4a16f7f9b22f2bf28b5419ae87692ab,flatpak_diff60.json,1.4.3,2019-09-19T07:13:38Z,1.5.0,2019-10-03T07:38:34Z
