Base,Head,Filename,Base Tag,Base Date,Head Tag,Head Date
db8487d123beea86ea4e23ab813f63599aad7f65,842a48223bdeb5da65db409eeb46b3f50acdcf7e,fluent-bit_diff2.json,v2.2.0,2023-11-09T11:03:09Z,v2.2.1,2023-12-22T10:01:04Z
b19e9ce674de872640c00a697fa545b66df0628a,db8487d123beea86ea4e23ab813f63599aad7f65,fluent-bit_diff3.json,v2.1.10,2023-09-28T07:49:42Z,v2.2.0,2023-11-09T11:03:09Z
c625ad7ea41123ad14f433fb569c5106645b6e82,b19e9ce674de872640c00a697fa545b66df0628a,fluent-bit_diff4.json,v2.1.9,2023-09-05T08:59:50Z,v2.1.10,2023-09-28T07:49:42Z
1d83649441e9e9fdbb5ba83bffca11ac4ac7b83c,c625ad7ea41123ad14f433fb569c5106645b6e82,fluent-bit_diff5.json,v2.1.8,2023-07-26T09:54:27Z,v2.1.9,2023-09-05T08:59:50Z
baef212885e797514704847fa135829ce6c07a42,e70a93cfdb6c88c84332f94b5ed02209842eb665,fluent-bit_diff7.json,v2.1.6,2023-06-23T09:00:11Z,v2.1.7,2023-07-13T09:11:03Z
4854f38c7c8095f29718071535e73a0a5d4e6694,1d366594a889624ec3003819fe18588aac3f17cd,fluent-bit_diff9.json,v2.1.4,2023-05-26T09:41:53Z,v2.1.5,2023-06-20T13:55:19Z
bf20c16ea4a773e2f747ee8353c4386a2af751f0,4854f38c7c8095f29718071535e73a0a5d4e6694,fluent-bit_diff10.json,v2.0.14,2023-05-22T16:54:49Z,v2.1.4,2023-05-26T09:41:53Z
a7026aa82eb41bf92b7ca2e61cca1698def62ce0,341ced184c8a6ea49bace1e106061589e384ebe6,fluent-bit_diff12.json,v2.1.3,2023-05-18T08:33:15Z,v2.0.13,2023-05-22T11:43:55Z
113c7c00d2addc0dc294f46125ead4fe9e9a094d,a7026aa82eb41bf92b7ca2e61cca1698def62ce0,fluent-bit_diff13.json,v2.1.2,2023-04-26T10:21:28Z,v2.1.3,2023-05-18T08:33:15Z
bf22d53a696bc9659f7d3c874b74a515b5e629c6,341ddbc44a288c9fb7d1599ab93cec14cb7a67de,fluent-bit_diff16.json,v2.0.11,2023-04-05T13:58:23Z,v2.1.0,2023-04-19T04:39:57Z
da2275435c59cc5ce8070215e1cadaecc7a41d92,bf22d53a696bc9659f7d3c874b74a515b5e629c6,fluent-bit_diff17.json,v2.0.10,2023-03-16T20:22:07Z,v2.0.11,2023-04-05T13:58:23Z
9444fdc5ee858a42b58b9a97010d997096e63634,4c0ca4fc5f28a34ca7d80e18b0d529bf9d07b1c2,fluent-bit_diff19.json,v2.0.8,2022-12-23T09:22:22Z,v2.0.9,2023-02-06T11:14:49Z
760956f50cdc7eef3047df20d2299202a8c68594,9444fdc5ee858a42b58b9a97010d997096e63634,fluent-bit_diff20.json,v1.9.10,2022-11-27T03:26:39Z,v2.0.8,2022-12-23T09:22:22Z
211f841fe2190cf7decc6183bfe697873ec22ff6,760956f50cdc7eef3047df20d2299202a8c68594,fluent-bit_diff21.json,v2.0.6,2022-11-25T11:35:06Z,v1.9.10,2022-11-27T03:26:39Z
abb65a1f31d71961e5941c13d10b5f4c799d6d6f,8e5f9f910694e059d692438d51d7dc3b46e63e18,fluent-bit_diff23.json,v2.0.4,2022-11-08T20:25:25Z,v2.0.5,2022-11-11T13:04:06Z
86250fa62db1c3024c40391a1b92f992ca2e3885,abb65a1f31d71961e5941c13d10b5f4c799d6d6f,fluent-bit_diff24.json,v2.0.3,2022-10-29T16:00:05Z,v2.0.4,2022-11-08T20:25:25Z
5c03b2e555a4fe1933707c5e1d119f481e28e616,ad863800977a47cd5409bfb5c390e17ab12e853e,fluent-bit_diff27.json,v1.9.9,2022-09-29T15:48:32Z,v2.0.0,2022-10-25T20:45:45Z
265783ebe99590cf1687d2f48b300f58febb883d,97a5e9dcf3f9d2e2107660cf73f6ef253fd227cd,fluent-bit_diff29.json,v1.9.7,2022-08-10T05:54:34Z,v1.9.8,2022-09-06T22:11:06Z
9ec43447b61665cb67d3b579076f878b25b01549,b30141ba90dd57ab2c8e178599c4f389b584099f,fluent-bit_diff31.json,v1.9.5,2022-06-23T03:19:36Z,v1.9.6,2022-07-15T09:35:41Z
08de43e474f01bcda04f47fb30e17f7879b4a9f7,9ec43447b61665cb67d3b579076f878b25b01549,fluent-bit_diff32.json,v1.9.4,2022-06-07T01:57:41Z,v1.9.5,2022-06-23T03:19:36Z
9eb4996b7d134227b568aefa5fa0f9ddd6a7b9ce,08de43e474f01bcda04f47fb30e17f7879b4a9f7,fluent-bit_diff33.json,v1.9.3,2022-04-27T21:58:12Z,v1.9.4,2022-06-07T01:57:41Z
27a63c11d3652a981eb0ca25f0d91910c01ce2ee,9eb4996b7d134227b568aefa5fa0f9ddd6a7b9ce,fluent-bit_diff34.json,v1.9.2,2022-04-14T23:50:16Z,v1.9.3,2022-04-27T21:58:12Z
67b144340b46bbc2585363cc1fb2de6b662e7b36,27a63c11d3652a981eb0ca25f0d91910c01ce2ee,fluent-bit_diff35.json,v1.9.1,2022-03-27T19:17:34Z,v1.9.2,2022-04-14T23:50:16Z
dc7cbaac13d3abbbaee1c21c87734146bf7c8404,67b144340b46bbc2585363cc1fb2de6b662e7b36,fluent-bit_diff36.json,v1.8.15,2022-03-23T16:32:03Z,v1.9.1,2022-03-27T19:17:34Z
07f5ea4922b14ceb1faf58aec12fa4d4130c8dc2,c456ed741b6cc8b4f7e3e9bcbe3cd968b9231178,fluent-bit_diff38.json,v1.9.0,2022-03-18T18:52:40Z,v1.8.14,2022-03-18T18:52:12Z
2ebb4570810f2a3d95f07bfb2d37fcd74fa07471,07f5ea4922b14ceb1faf58aec12fa4d4130c8dc2,fluent-bit_diff39.json,v1.8.13,2022-03-02T19:33:40Z,v1.9.0,2022-03-18T18:52:40Z
2c4ccb5f67cf20a2b348d9057b73c7dd18b4a33f,9c2868fc841e1f0d9e0fd96a4bd8da164741906c,fluent-bit_diff41.json,v1.8.11,2021-12-11T03:10:21Z,v1.8.12,2022-01-27T23:20:33Z
7e8dcc5a8955bf1824178a8d06d39870b976a781,573fb5d7784dd00d1a9bdcb04dd3665a133063bb,fluent-bit_diff44.json,v1.8.8,2021-10-10T20:55:02Z,v1.8.9,2021-10-28T20:49:45Z
f2a73d34ad1b72290cbec451363070481aeedd1a,215e82d0e8c09773fe4b8504c96726cbac494e5c,fluent-bit_diff51.json,v1.8.1,2021-07-12T18:47:37Z,v1.8.2,2021-07-21T03:40:16Z
cdd588ac57dac8f3520a0c16176efca4e0e4d9b1,f2a73d34ad1b72290cbec451363070481aeedd1a,fluent-bit_diff52.json,v1.7.9,2021-06-18T22:01:36Z,v1.8.1,2021-07-12T18:47:37Z
ec33f7fefb6eb614d4cb4befa301660c87106120,c8c8414e126b66a3cc4db13bd3610609c46d182e,fluent-bit_diff55.json,v1.7.6,2021-05-22T04:49:12Z,v1.7.7,2021-05-26T23:14:45Z
448fd75f142a7ee1ec61287a2349e733d35cd737,ec33f7fefb6eb614d4cb4befa301660c87106120,fluent-bit_diff56.json,v1.7.5,2021-05-14T18:08:00Z,v1.7.6,2021-05-22T04:49:12Z
7c0732874321e1f8aa0877c5ea149c538adb16c2,d638a11725ecdaf683be6167709c4712559cde79,fluent-bit_diff58.json,v1.7.3,2021-04-06T05:11:38Z,v1.7.4,2021-04-20T03:44:27Z
804f2af1002b9608a8a2994233583eaf22ad45ba,1e8c00240903ebc71a9092313fd8b620e10632bc,fluent-bit_diff62.json,v1.6.10,2021-01-09T00:28:37Z,v1.7.0,2021-02-15T04:15:17Z
0580dc475b01f5ec17fe5fa4f11c20f179226b99,3386e3a378af17af213cf2742fcc7c7da0e8ca8d,fluent-bit_diff73.json,v1.5.6,2020-09-11T18:39:24Z,v1.6.0,2020-10-09T21:58:54Z
