Base,Head,Filename,Base Tag,Base Date,Head Tag,Head Date
d201776e293e921cb5be00bce89dcd4e997689bb,01227311c516d4a90c2c95eee5a503148761388a,ftl_diff1.json,v5.23,2023-05-28T10:56:06Z,v5.24,2024-01-06T16:48:25Z
eb1978910d521332ae95f24ad3acf1f9b3931360,d201776e293e921cb5be00bce89dcd4e997689bb,ftl_diff2.json,v5.22,2023-03-22T21:21:50Z,v5.23,2023-05-28T10:56:06Z
f380afda329f9c53c77c3318301b5ac6fe32c836,eb1978910d521332ae95f24ad3acf1f9b3931360,ftl_diff3.json,v5.21,2023-02-10T18:55:40Z,v5.22,2023-03-22T21:21:50Z
cba74934b439385da354f2319e09ec13eed613bb,47128aafd13ec6cc28e583baa4ff8bbd9048c987,ftl_diff5.json,v5.20,2022-12-21T21:08:40Z,v5.20.1,2023-01-15T19:57:32Z
6f69dd5b4ca60f925d68bfff3869350e934a7240,6075a70accdd16a9647a986fce8af51dce03a66f,ftl_diff9.json,v5.18.2,2022-10-10T20:56:29Z,v5.19,2022-11-14T18:56:00Z
4c8abe63a1c4605c58171b18d92b20c1499ff8a7,6f69dd5b4ca60f925d68bfff3869350e934a7240,ftl_diff10.json,v5.18.1,2022-09-19T09:54:49Z,v5.18.2,2022-10-10T20:56:29Z
832b8c98c42edcbd9fbfc079c0631acf4cea38ca,f64349bb298e70bf2c732b2adce3e9a4b02afd04,ftl_diff13.json,v5.16.3,2022-08-21T06:41:36Z,v5.17,2022-09-02T17:34:25Z
4bb0bfe939cc43c23639163deaf15a218e692acb,bc5077d56e9dd75b6ac99c096d35926783e1e859,ftl_diff17.json,v5.15,2022-04-20T18:36:58Z,v5.16,2022-07-07T18:40:21Z
52e6b95858424671134b90efc46fea931f23e91e,4bb0bfe939cc43c23639163deaf15a218e692acb,ftl_diff18.json,v5.14,2022-02-12T19:58:52Z,v5.15,2022-04-20T18:36:58Z
b197b695a6520424d83a5d0e6aa330f1c44bbf24,52e6b95858424671134b90efc46fea931f23e91e,ftl_diff19.json,v5.13,2022-01-05T18:20:02Z,v5.14,2022-02-12T19:58:52Z
2f2b5bf6434ddeee8edb18c5147e91ae7100479c,a296265896876ba8178aac4394df51f0c1e9cb66,ftl_diff23.json,v5.10.2,2021-09-30T19:58:56Z,v5.11,2021-10-23T18:56:59Z
198e7c61362e07b22baa8bdb2bb57dd1c53be0fc,d46afffab5df822729e5b8a7a5ea0ccda5c926e3,ftl_diff26.json,v5.9,2021-09-11T21:10:48Z,v5.10,2021-09-29T20:40:30Z
