Base,Head,Filename,Base Tag,Base Date,Head Tag,Head Date
54c8bd56f7bae883d7c1ce359979c3b5218e79e9,1074a27ae9a2eb921c7a397632649be61fa17d39,goldendict-ng_diff61.json,v23.09.10-WhiteDew.54c8bd56,2023-09-10T14:08:16Z,v23.09.11-alpha.1074a27a,2023-09-11T09:21:59Z
28c5a0373330af3dc1a954da5c5aca360735b4ea,54c8bd56f7bae883d7c1ce359979c3b5218e79e9,goldendict-ng_diff62.json,v23.07.25-alpha.28c5a037,2023-09-10T10:07:52Z,v23.09.10-WhiteDew.54c8bd56,2023-09-10T14:08:16Z
216505c914bcb00b9713b9e482223116ba0a7878,28c5a0373330af3dc1a954da5c5aca360735b4ea,goldendict-ng_diff63.json,v23.09.08-WhiteDew.216505c9,2023-09-07T16:30:22Z,v23.07.25-alpha.28c5a037,2023-09-10T10:07:52Z
4d24085c44a8b2f0095d78a768925ee00fa62ce9,216505c914bcb00b9713b9e482223116ba0a7878,goldendict-ng_diff64.json,v23.07.25-alpha.4d24085c,2023-09-07T14:38:12Z,v23.09.08-WhiteDew.216505c9,2023-09-07T16:30:22Z
4ed7508eb4d644ea0be11eae0e26d126122b4d17,7c9bb9bb13e96d415f5aa1bdb7e04e823ab80f45,goldendict-ng_diff77.json,v23.07.25-alpha.d73b4f58,2023-08-13T04:40:22Z,v23.07.25-alpha.7c9bb9bb,2023-08-18T01:34:10Z
c21e57664cc8ef9dce6940f8e528066ad0b5e4d5,e44a259ebb6568c28e2675a56c00ed701b3d5865,goldendict-ng_diff80.json,v23.07.25-alpha.f578a4f3,2023-08-13T02:36:12Z,v23.07.25-alpha.61eee686,2023-08-17T10:32:53Z
ac8e79358c13a673ad580ea4c5ad111b467e4ec9,1ee42bd59982105596c2b40997d42cd60e8f8573,goldendict-ng_diff86.json,v23.07.25-alpha.ac8e7935,2023-08-04T02:03:30Z,v23.07.25-alpha.1ee42bd5,2023-08-05T12:57:01Z
bec862394e9ea5a7b2050f7ff896bf4f5e62b05b,bea926bdd91530387fec79d26e652f69dc0b3cbf,goldendict-ng_diff90.json,v23.07.25-alpha.bec86239,2023-08-01T13:48:31Z,v23.07.25-alpha.06d41f54,2023-08-02T12:34:17Z
119a5ccb6c9f12c42b8ffb590ff9ab28e91515a8,b3d9d798168ae98e0d2337b45e48c2a89930848a,goldendict-ng_diff107.json,tag-alpha.119a5ccb,2023-07-15T05:37:30Z,tag-alpha.b3d9d798,2023-07-18T00:28:49Z
ca4664f209b98d52d98f180ddf99b4dfb017b5b1,2a7d4d5e5bd503b276415bcf165b8832271f20da,goldendict-ng_diff124.json,v23.06.02-alpha.230610.ca4664f2,2023-06-10T14:27:49Z,tag-alpha.2a7d4d5e,2023-06-23T08:37:17Z
6d3d4053bb5a081e60d11e2ddcba3dc59e1a777f,eccc3eaf0f6e44089a87c84c0b407492f88e5cd0,goldendict-ng_diff132.json,v23.06.01-ChildrenDay.230601.6d3d4053,2023-06-01T12:33:55Z,v23.06.02-alpha.230606.6281d79f,2023-06-06T16:21:41Z
3858932ec417bce0c7a8c3ea059e25dc4ff8d933,4147770f85233db6baa1d86464ce1fc3a37eb5df,goldendict-ng_diff137.json,v23.05.03-alpha.230527.3858932e,2023-05-27T06:54:18Z,v23.05.03-alpha.230530.4147770f,2023-05-30T23:50:19Z
92c90508b3ed923ba77a7ba79913f75296c34b3c,8b1b2a162841c8ff825b8fa8a520d72bfd6938a6,goldendict-ng_diff140.json,v23.05.03-alpha.230521.92c90508,2023-05-21T10:17:35Z,v23.05.03-alpha.230523.8b1b2a16,2023-05-23T11:04:08Z
d08d5fe576cf6d236488323073e29b777a99a1ba,92c90508b3ed923ba77a7ba79913f75296c34b3c,goldendict-ng_diff141.json,v23.05.03-alpha.230520.0d30c6c3,2023-05-20T00:32:24Z,v23.05.03-alpha.230521.92c90508,2023-05-21T10:17:35Z
237832f547d6f74aa8fff0197a281bb98aa15086,e1b844b23dbbcdbd474b7762209148fbb57d7386,goldendict-ng_diff145.json,v23.05.03-alpha.230514.237832f5,2023-05-14T15:57:51Z,v23.05.03-alpha.230516.3b53ae81,2023-05-16T16:15:38Z
f2a6554181c09302cb2a37d22b04db6780f50337,d551d120b87ec89eef71ff69706e36a13f23a0b1,goldendict-ng_diff149.json,v23.05.03-alpha.230509.f2a65541,2023-05-09T12:35:34Z,v23.05.03-alpha.230511.e3c5848f,2023-05-11T00:35:17Z
6c8b0c1c8503635014e12c407e721897506d9ccf,2f17da0e6dc102992012d24c503800f68b067d41,goldendict-ng_diff155.json,v23.05.01-WuYi.230501.6c8b0c1c,2023-05-01T04:57:56Z,v23.04.03-alpha.230502.2f17da0e,2023-05-02T08:28:57Z
a840a99e5cd4ed474c021e842080074586ad2661,cfff9cd026de39d4cc2e54cbe4e6a7c976a80ea8,goldendict-ng_diff166.json,v23.04.03-alpha.230415.a840a99e,2023-04-15T16:25:16Z,v23.04.03-alpha.230417.8e5c63d0,2023-04-17T17:31:27Z
ce9436f950129c19cb04cc08b5485addb55daca9,58a1f9b17f12198462758289decb1eb94e5c1ad4,goldendict-ng_diff172.json,v23.04.02-QingmingFestival.230402.ce9436f9,2023-04-02T15:46:52Z,v23.04.03-alpha.230403.58a1f9b1,2023-04-03T11:46:35Z
37673bb510a235336885b54d2143d87be871b6b0,5ea4e8dce770878037d0069ca119a703b5b5f47e,goldendict-ng_diff175.json,v23.02.07-alpha.230323.37673bb5,2023-03-23T01:48:42Z,v23.02.07-alpha.230330.5ea4e8dc,2023-03-30T06:44:50Z
02fd327ead8a38ea251591d21df380c2c80e8380,0536b75761bd7f3d5b72cb1eb2573dd605abd2d4,goldendict-ng_diff178.json,v23.02.07-alpha.230319.02fd327e,2023-03-19T12:32:25Z,v23.02.07-alpha.230322.3e2b7e51,2023-03-22T16:57:23Z
da004ee9e554f3a30515d61325fd6c053e033efe,37e3df053d84493218a584e3d4210233caaabcbb,goldendict-ng_diff183.json,v23.02.07-alpha.230225.da004ee9,2023-02-25T15:21:26Z,v23.02.07-alpha.230309.37e3df05,2023-03-09T02:31:33Z
