Base,Head,Filename,Base Tag,Base Date,Head Tag,Head Date
6b34ea6018ec8a1e602348059b0625b1cc0860de,b380df41df5cd4763fba2a01a0fa0738bf6e5d4d,hi-nginx_diff11.json,release-2.2.1,2022-01-03T10:27:36Z,release-2.2.2,2022-01-26T05:48:08Z
08f87595a102ae4fc651752e10d21f9e0c2b5b12,a6b4f0fd4527a4769e4ffaf090f468f99f006095,hi-nginx_diff43.json,release-2.0.6.1,2020-05-28T00:23:33Z,release-2.0.6.2,2020-07-08T10:39:13Z
1d0d158606e218d43407e0c8c8652c6be852c13d,4748b94ab463fca4880820133d12a8d11f1bcef1,hi-nginx_diff45.json,release-2.0.4,2020-04-16T09:46:56Z,release-2.0.6,2020-05-27T13:13:00Z
c9b2a3c1ecfb3a9f112d3cfca1606c9d022e1e46,3ed8bc846d538691b4f2dac74f3d448000b85003,hi-nginx_diff61.json,release-1.9.5.4,2019-06-11T03:20:47Z,release-1.9.5.5,2019-06-29T00:32:56Z
9f64d3ee164cde86fd449b0c4c27b41f612d8fc7,e67855c72b23d44698074977ee9d5aa02b1135fd,hi-nginx_diff73.json,release-1.8.8,2019-02-18T23:52:02Z,release-1.8.9,2019-03-23T23:25:42Z
e88f41d7c96c90ba3855b4599a734b19ba6f29c7,18bfc233120df6a5e33b2016fd90b8d01c36e6d2,hi-nginx_diff92.json,release-1.7.1,2018-11-06T07:44:03Z,release-1.7.2,2018-11-08T15:31:31Z
6d90586c12d58707d3c360e7f2f92f7985d979d3,77e5275b0eb69d45e046bce631bbceaa9d563a00,hi-nginx_diff101.json,release-1.6.2,2018-07-28T00:17:52Z,release-1.6.3,2018-08-29T03:43:35Z
e0ac47341d0fc511068f001f86116111c328f2f3,02789948ea9e6f38659687a741c00783e16d7ba0,hi-nginx_diff114.json,release-1.4.9,2018-05-13T08:34:22Z,release-1.5.0,2018-06-04T05:59:52Z
bc3fa874f30143000b56759ad230a490c20b29ff,40b02ae9f5a45ac78e6f7035b2dab44ce81debfb,hi-nginx_diff123.json,release-1.4.0,2018-03-30T11:27:30Z,release-1.4.1,2018-04-01T02:40:01Z
85904ebf0daa3e82d44ce364f9382d21f25f4744,d9c354c2d76f5bf2deb86f9d26bfcc4d72116d5a,hi-nginx_diff139.json,release-1.2.3,2017-12-24T08:40:41Z,release-1.2.4,2018-01-26T14:23:06Z
5492f7b82ebd50d93be302c67863f7af1ab577f2,6f2817616853d6370992bde378b84177d69dd13f,hi-nginx_diff144.json,release-1.1.3,2017-10-16T12:19:59Z,release-1.1.4,2017-11-22T22:13:37Z
547c2b3282d38e90400347a46931bd8afb388dbf,5492f7b82ebd50d93be302c67863f7af1ab577f2,hi-nginx_diff145.json,release-1.1.2,2017-10-14T23:13:36Z,release-1.1.3,2017-10-16T12:19:59Z
8bcb04a63a6d1d694f9189e6cfec17e741de0bd1,007afb5f4dac3879c7825b6b213f0e89db9fbabc,hi-nginx_diff154.json,release-1.0.3,2017-06-13T11:08:09Z,release-1.0.4,2017-06-25T23:52:42Z
