Base,Head,Filename,Base Tag,Base Date,Head Tag,Head Date
dfe3e19935b8fc703328c71982379d78ac05f294,72be518a25ba23b771750607c36613a924bef32d,libredwg_diff7.json,0.12.5.6891,2023-12-31T13:11:47Z,0.12.5.6912,2023-12-31T16:39:21Z
6db4550cbafac638d729aa081d6a66f3d5a24deb,32713d8d6ad8429ab755fae54f63215ea9ed9274,libredwg_diff10.json,0.12.5.6851,2023-12-28T11:54:34Z,0.12.5.6865,2023-12-30T17:18:17Z
b0ea90b265bc5c5aa7cb75d6f40405723c38c5bb,699e0d1f91450d42c236b3d790faea10ce7d2719,libredwg_diff252.json,0.12.5.5700,2023-05-31T07:02:48Z,0.12.5.5708,2023-05-31T10:53:53Z
3945381f55bfd49d869e43b1dbfb83164e30f4d5,cd691c693e893f3602fbd88f68a299fff1621efb,libredwg_diff309.json,0.12.5.5395,2023-04-18T14:43:40Z,0.12.5.5396,2023-04-18T18:11:57Z
ec761bea5b944396023a40dff0830a96cd9d97ff,3945381f55bfd49d869e43b1dbfb83164e30f4d5,libredwg_diff310.json,0.12.5.5393,2023-04-18T12:12:50Z,0.12.5.5395,2023-04-18T14:43:40Z
ed4268b6252418fede6a8935c514a27b838b7e1a,6dda1e5f1afe142b9bc1918dc5862000cea0d4f2,libredwg_diff348.json,0.12.5.5161,2023-02-19T16:34:24Z,0.12.5.5163,2023-02-20T08:26:23Z
54c8d9a625a0fa11063b7a346788d3aa044af147,5f3f20ac19fe50419d4acec642b932569e3ee092,libredwg_diff365.json,0.12.5.5066,2023-02-03T15:13:29Z,0.12.5.5085,2023-02-06T15:39:55Z
72e35b55932ca59dee452d009b65f6d088dd67c2,6a592b97845b289e87bc7205ab3b5be5e2bdf948,libredwg_diff447.json,0.12.5.4669,2022-12-01T13:44:40Z,0.12.5.4678,2022-12-05T13:30:29Z
756d716867a4e862faa07ae395254b048b1322dc,7c7e236d6bc98ed5e55671c4e1bfa8d7ea983e9b,libredwg_diff452.json,0.12.4.4652,2022-11-18T09:11:26Z,0.12.4.4654,2022-11-20T20:55:58Z
937e1634d67aa01216925430bd9571c940638457,54ab6cf6917ea5c3818f01f3476c2f763a9ab6aa,libredwg_diff463.json,0.12.4.4601,2022-05-09T04:40:46Z,0.12.4.4606,2022-05-09T13:07:03Z
cd9a4b6ab28eab1d977f5745fd1fa91d74cffc4d,477fc5ba605546a167e34bdd43e2eba38f7692c0,libredwg_diff496.json,0.12.4.4430,2022-03-04T11:39:02Z,0.12.4.4437,2022-03-05T19:30:04Z
24cea42a1a2e96d2a6028a4d9f9ea1e7574af77f,bdfbaefad3d86485430b0a820d28c8483bbcf09c,libredwg_diff502.json,0.12.5,2022-02-06T19:41:53Z,0.12.4.4409,2022-02-17T18:49:06Z
44c9b62d542a7b4c270302121ed5732183e44d20,24cea42a1a2e96d2a6028a4d9f9ea1e7574af77f,libredwg_diff503.json,0.12.4.4400,2022-02-06T17:55:46Z,0.12.5,2022-02-06T19:41:53Z
f18e4f83b6a1068f9877cf780849c40d7046b42b,0a5d7a77f597a0318e1d67048c67ff87f430cc9f,libredwg_diff506.json,0.12.4.4395,2022-02-05T12:06:10Z,0.12.4.4398,2022-02-05T14:01:57Z
da7042297fc43ae2dd2471cbc56461702ede251a,2f6e9258fa22bcb408d3e8be6b56ae786ec7ff71,libredwg_diff508.json,0.12.4.4390,2022-02-04T21:49:27Z,0.12.4.4393,2022-02-04T23:49:14Z
98a95f7de998e21e668f3ee956df21f4c52ae5d0,bd0696177563bef32a597ebcd6f150271b469a57,libredwg_diff510.json,0.12.4.4387,2022-02-04T19:23:02Z,0.12.4.4388,2022-02-04T21:10:33Z
344175ea9dbdbbcab4f9acc2412b382f5325a58d,a56476c90fbcf18728567fb958d9d5771c0e69c9,libredwg_diff512.json,0.12.4.4384,2022-02-01T12:25:24Z,0.12.4.4386,2022-02-04T17:14:39Z
7b586cffe7280fb0895042259b882441ec686049,a72b9d7e713d0acbfb7c3056cd64a563aa974b5f,libredwg_diff612.json,0.11.1.3917,2020-12-01T21:12:26Z,0.11.1.3919,2020-12-01T23:19:34Z
