Base,Head,Filename,Base Tag,Base Date,Head Tag,Head Date
3a48d558a69c88ac17efcaa5900cd9eb19596ac4,862f5e41ab1fdf12d6f59455aad3f5dd8258f805,llama.cpp_diff20.json,b1885,2024-01-16T15:42:38Z,b1886,2024-01-16T15:42:38Z
722d33f34ec74c6f7046109f936d0928ffe171bc,6b48ed089377330cdb362970a51c1c89b6d857a8,llama.cpp_diff46.json,b1855,2024-01-13T19:32:09Z,b1856,2024-01-13T19:45:38Z
58ba655af054715c0516ee270ad028ad9e74f357,5d7002d4372ebf107cfaf46fcd90df27b204f330,llama.cpp_diff117.json,b1743,2024-01-02T09:21:46Z,b1746,2024-01-02T11:15:08Z
e39106c0554cbd0e9310e08fb3b2a577ea4b6273,edd1ab7bc34c10a780ee7f9a4499f7689cdad36d,llama.cpp_diff119.json,b1732,2023-12-31T10:02:49Z,b1742,2023-12-31T21:34:41Z
68eccbdc5b56f2a2450f9a8463f9934388cafabf,04ac0607e913ab91234dfb240e12a76509e30982,llama.cpp_diff128.json,b1723,2023-12-29T18:21:30Z,b1724,2023-12-29T18:21:53Z
97bbca6e8522d18041fcde6c3d0907a52ce36446,68eccbdc5b56f2a2450f9a8463f9934388cafabf,llama.cpp_diff129.json,b1722,2023-12-29T18:21:16Z,b1723,2023-12-29T18:21:30Z
879b690a9e1eb1ab0a29b58236fc76978fb4d902,f6793491b5af6da75edad34d6f503ef86d31b09f,llama.cpp_diff141.json,b1707,2023-12-27T15:06:29Z,b1708,2023-12-27T16:02:37Z
6123979952385847d8348e295d77d6e01da8aa84,925e5584a058afb612f9c20bc472c130f5d0f891,llama.cpp_diff150.json,b1694,2023-12-23T10:01:09Z,b1695,2023-12-23T10:07:30Z
0137ef88ea9f8fd837a065700814329d24adeec3,f31b98489824a86c937fa62ccf5dfd4bb0327b86,llama.cpp_diff161.json,b1682,2023-12-22T07:22:17Z,b1684,2023-12-22T07:38:34Z
d232aca5a73b290e218a2e48b91023d5e994203f,4a5f9d629ecfd0a53afdddbaf54a4fa02d9a9ce9,llama.cpp_diff166.json,b1676,2023-12-21T21:18:07Z,b1677,2023-12-21T22:04:00Z
20a68a7030ee06e8eb7eb8e24ae4ac52dc17803f,cafcd4f89500b8afef722cdb08088eceb8a22572,llama.cpp_diff198.json,b1638,2023-12-14T12:32:34Z,b1640,2023-12-14T17:17:58Z
948ff137ec37f1ec74c02905917fa0afc9b97514,55e87c3749cb4985c3b316984d40e00e4df4a5d0,llama.cpp_diff200.json,b1634,2023-12-13T21:07:15Z,b1637,2023-12-14T09:00:34Z
ef47ec18da469423c276b683dd9b5741cee7023e,880f57973b8e0091d0f9f50eb5ab4cd4e31582ca,llama.cpp_diff236.json,b1593,2023-12-01T09:12:42Z,b1595,2023-12-01T17:05:44Z
40a34fe8d034bd484efd79ccbb95059ca6308dcb,f23c0359a32871947169a044eb1dc4dbffd0f405,llama.cpp_diff265.json,b1545,2023-11-20T10:12:49Z,b1546,2023-11-20T11:03:27Z
a1202a31ed8c35705bd09fe91c3e7410c619bd70,eee42c670e6fa6df9cf17e7ffc319f74cbd81354,llama.cpp_diff414.json,b1350,2023-10-08T10:44:01Z,b1353,2023-10-08T14:31:16Z
f1782c68de13b64bb5283fc2038f584e47be9fd2,4d0383321184aadf91968d9e3c6a45286ed2473b,llama.cpp_diff419.json,b1342,2023-10-07T09:16:55Z,b1344,2023-10-07T19:43:06Z
ec893798b7a2a803466cc8f063051499ec3d96f7,2619109ad57d7a75388a9cce51e5da645410d92e,llama.cpp_diff462.json,b1283,2023-09-28T16:37:16Z,b1284,2023-09-28T17:01:50Z
990a5e226a1a0ac858abe3aa7e5f3b000d4fa665,69eb67e28275cd2d57693405f768754a7b2245ad,llama.cpp_diff487.json,b1226,2023-09-14T19:34:41Z,b1245,2023-09-15T20:27:35Z
6460f758dbd472653296044d36bed8c4554988f5,afc43d5f82588d2ed71ea104e8262f5e5da13980,llama.cpp_diff530.json,b1162,2023-09-03T09:22:09Z,b1163,2023-09-03T09:25:58Z
950929442070874d45561d2a4b68b010457767de,0d1c706181cd31e7f368dd14eeb16c1a2569e4df,llama.cpp_diff549.json,b1125,2023-08-30T10:21:31Z,b1126,2023-08-30T10:22:21Z
b91ad7f46134d0d051dc516eb59a76f402de55c2,3f460a2b723c8b936ac29ecfd02f244b3adeba55,llama.cpp_diff594.json,b1057,2023-08-25T06:28:44Z,b1059,2023-08-25T09:31:36Z
c3e53b421a9910548be0345f85712c535f467a98,ef955fbd230c571cc1cda0d19baaeec347523175,llama.cpp_diff601.json,b1047,2023-08-24T09:54:02Z,b1048,2023-08-24T14:30:48Z
b9fd7eee57df101d4a3e3eabc9fd6c2cb13c9ca1,553fd4d4b5f3314f338be8006f62a4fdf7670186,llama.cpp_diff960.json,master-b9fd7ee,2023-05-11T21:59:33Z,master-553fd4d,2023-05-12T14:19:50Z
2d13786e91ec9fd28ddf737053822042a824da78,a3b85b28da84c67c3406807aef5e0457bcc4b00f,llama.cpp_diff972.json,master-2d13786,2023-05-05T12:23:10Z,master-a3b85b2,2023-05-05T21:24:55Z
f647ce040ff06348d2ceaa5443a6a7a8b80c70c9,173d0e6419e8f8f3c1f4f13201b777f4c60629f3,llama.cpp_diff974.json,master-f647ce0,2023-05-04T10:07:10Z,master-173d0e6,2023-05-05T22:16:59Z
31ff9e2e83c03404678376903e7e44b56c53c41e,45d94c8f6f6552c2f5b3fe78b37a4d865318c4ac,llama.cpp_diff987.json,ci_cublas-31ff9e2,2023-05-03T22:27:35Z,ci_cublas-45d94c8,2023-05-03T20:22:12Z
e2cd5069999181a9e4a22cf420e0491878b3062f,31ff9e2e83c03404678376903e7e44b56c53c41e,llama.cpp_diff988.json,master-e2cd506,2023-05-02T16:19:01Z,ci_cublas-31ff9e2,2023-05-03T22:27:35Z
f4d277ae17247ee51129ef1a9ff74d377cc90b1b,0ad964631f9b3970f1936008fcfb1eadef59c7ed,llama.cpp_diff1100.json,master-f4d277a,2023-04-14T15:23:51Z,master-0ad9646,2023-04-15T16:28:50Z
c5d70f5c9ea5a8f0f6b0d6aa741455978a1dabfd,c85e03d12e4b8af22cb13aa9c618dcd5935862fd,llama.cpp_diff1103.json,master-c5d70f5,2023-04-14T06:27:22Z,master-c85e03d,2023-04-14T20:02:20Z
0f07cacb05f49704d35a39aa27cfd4b419eb6f8d,1623a6e9b46453bff30afd7d0f6c3fd188499c2f,llama.cpp_diff1107.json,master-0f07cac,2023-04-14T06:50:08Z,master-1623a6e,2023-04-14T10:34:07Z
3e6e70d8e8917b5bd14c7c9f9b89a585f1ff0b31,8b679987cdce292ff36bd741f6715e4927e26f9b,llama.cpp_diff1121.json,master-3e6e70d,2023-04-11T15:09:19Z,master-8b67998,2023-04-11T19:48:24Z
fbd4d38c647f82b2598291ea9b8d0c09ac1ffb8c,33e35b8fe8f09adcac0632e9cece62e1dd629f7d,llama.cpp_diff1183.json,master-fbd4d38,2023-03-25T12:05:58Z,master-33e35b8,2023-03-26T05:29:01Z
2a2e63ce0503d9bf3e55283e40a052c78c1cc3a8,2f7bf7dd7cd7299874d582f7f34834418abf4057,llama.cpp_diff1197.json,master-2a2e63c,2023-03-25T14:13:34Z,master-2f7bf7d,2023-03-25T21:41:55Z
09aecbf6283bbce9449e2d96000073145aaaf5fc,19726169b379bebc96189673a19b89ab1d307659,llama.cpp_diff1200.json,master-09aecbf,2023-03-25T15:09:06Z,master-1972616,2023-03-25T22:16:19Z
