Base,Head,Filename,Base Tag,Base Date,Head Tag,Head Date
69422d6e3645c085635e8ec9feb121d77d25b41d,ec83db75d94b09c75be6259a611e2bc2760956b7,moonlight-tv_diff13.json,v1.5.17,2023-07-30T14:40:00Z,v1.5.19,2023-08-28T06:29:57Z
12c85f43d92e53d36ca550a882c7dea641fccec2,69422d6e3645c085635e8ec9feb121d77d25b41d,moonlight-tv_diff14.json,v1.5.16,2023-07-26T16:56:53Z,v1.5.17,2023-07-30T14:40:00Z
ef142f0828157bb48c2edb638c7c12db89f9b084,12c85f43d92e53d36ca550a882c7dea641fccec2,moonlight-tv_diff15.json,v1.5.14,2023-07-25T02:15:49Z,v1.5.16,2023-07-26T16:56:53Z
0b03b4f5a6066fcc59bd7eb539f3e8b6546fff9d,ef142f0828157bb48c2edb638c7c12db89f9b084,moonlight-tv_diff16.json,v1.5.13,2023-07-23T16:12:22Z,v1.5.14,2023-07-25T02:15:49Z
a429cef0e3dfbe5ce4664893eea717e3e4b5584e,f61c6ba0a8175446ed01b175e10ccfede265a561,moonlight-tv_diff18.json,v1.5.11,2023-07-04T01:06:51Z,v1.5.12,2023-07-21T06:51:05Z
f4662faa1cfac5fb3495cc04e9ecd51ed4e1b7b7,68421315ee10ebad26af159ec42ecd0931721fa0,moonlight-tv_diff22.json,v1.5.7,2023-06-11T15:47:18Z,v1.5.8,2023-06-14T13:19:35Z
2f91a164bdb87f134de126f8f6e7c14bbdac156d,f4662faa1cfac5fb3495cc04e9ecd51ed4e1b7b7,moonlight-tv_diff23.json,v1.5.6,2023-05-29T04:33:49Z,v1.5.7,2023-06-11T15:47:18Z
a8c47730ce00bdf23e829878cc426adaebd5ca2c,e22f1303a176f741d4cf0790656e591ea991a510,moonlight-tv_diff25.json,v1.5.4,2023-05-25T01:59:43Z,v1.5.5,2023-05-28T13:50:59Z
7dce8f6b94ee25224e493aed880f88d18b236908,a8c47730ce00bdf23e829878cc426adaebd5ca2c,moonlight-tv_diff26.json,v1.5.3,2022-09-30T01:24:38Z,v1.5.4,2023-05-25T01:59:43Z
de2b83e1062fc085febcabd799b87bfd10268195,7dce8f6b94ee25224e493aed880f88d18b236908,moonlight-tv_diff27.json,v1.5.2,2022-08-31T10:33:08Z,v1.5.3,2022-09-30T01:24:38Z
b5fc7383802d6a625be6219767d5b27a9e9aefa9,ec1aeb57a426395055ece1ce0678d665f7fc7afc,moonlight-tv_diff32.json,v1.4.7,2022-06-17T17:08:17Z,v1.4.8,2022-07-25T01:20:06Z
27f540e09eb56245c5d80c1fd24c0b3472c32547,d0c947a540b86c4c08509edfe25aa9e02db328e3,moonlight-tv_diff35.json,v1.4.4,2022-05-28T14:04:48Z,v1.4.5,2022-06-17T14:13:40Z
56f2343ec818a333aa72e94375030d708a3937c2,27f540e09eb56245c5d80c1fd24c0b3472c32547,moonlight-tv_diff36.json,v1.4.3,2022-05-02T04:37:57Z,v1.4.4,2022-05-28T14:04:48Z
cb5992922d8a2e796eef8926398b8284863462c4,703ed245dca74cb7bf2c91e6167d4e3881efc56c,moonlight-tv_diff38.json,v1.4.0,2022-01-18T16:37:47Z,v1.4.1,2022-04-09T15:13:32Z
6c7928813943a001b33b5748f80ed0e3eb44a33b,edb9d697e2cb7148b7898f73b887796066116c58,moonlight-tv_diff40.json,v1.3.0-1,2022-01-02T19:55:38Z,v1.3.1,2022-01-12T04:20:08Z
24981b634920a6a5e7b02bb391e91c096c2bda85,19ad1acbe0df32901337dba3f69ed011c621ed27,moonlight-tv_diff46.json,v1.2.4,2021-12-02T06:37:43Z,v1.2.5,2021-12-20T15:44:17Z
33631dc2cf5b89fda09f0cd11d98e0fce5af968a,07f71fa058162c0205736153e12e758eefdcb851,moonlight-tv_diff49.json,v1.2.2,2021-11-16T18:07:31Z,v1.2.3,2021-12-02T04:46:27Z
5e5a599b2e02bfac735f3938d378f2cda37ca00b,19bdb3318b34e359e882ac26385eca483d3b0c1b,moonlight-tv_diff52.json,v1.1.5,2021-11-03T15:22:43Z,v1.2.0,2021-11-12T19:14:35Z
42a0355d7b3e4f91c4586a13d072b9c67b046f2c,3fc932ed85764df8ed8670f5c27b6ac42dea8fb0,moonlight-tv_diff69.json,v0.9.5,2021-07-31T22:38:47Z,v0.9.6,2021-08-02T17:03:48Z
5012c1fc548bca491ada780008f8738326437c54,42a0355d7b3e4f91c4586a13d072b9c67b046f2c,moonlight-tv_diff70.json,v0.9.4,2021-07-31T22:32:38Z,v0.9.5,2021-07-31T22:38:47Z
88066c805ed492890785fc0a5fcb095e382bfec8,5012c1fc548bca491ada780008f8738326437c54,moonlight-tv_diff71.json,v0.9.3,2021-07-30T19:18:38Z,v0.9.4,2021-07-31T22:32:38Z
8611edc03f3a8640dea62151caebee6e03846022,e896fe9250534fb3d8f7ed3e71b55bcf6a1a297e,moonlight-tv_diff86.json,v0.7.5,2021-04-26T13:50:51Z,v0.7.6,2021-04-27T17:29:44Z
4772c64957348c602cc58f75e85d95908254c00a,8ef017e48e1d94b79b7ae27da65c85097f2446b8,moonlight-tv_diff90.json,v0.7.1,2021-04-19T03:39:08Z,v0.7.2,2021-04-22T12:06:15Z
4b5e8d9e2d4cb961883ce7f911cb9a1a78f47780,6660dc17bddd3df2d84f55a43fc1d805007371fc,moonlight-tv_diff103.json,v0.4.4,2021-02-20T19:17:08Z,v0.5.1,2021-03-19T18:19:54Z
fdea1e0dd112ef92528a96d680056970943c0460,5e64c297fd664605992b49ff251bdcf1eb14271d,moonlight-tv_diff127.json,0.0.2,2021-01-06T17:07:03Z,0.0.4,2021-01-14T15:44:38Z
