Base,Head,Filename,Base Tag,Base Date,Head Tag,Head Date
09fcc1111650172f2e2ac54fa699a248efdbc133,788a21ac10d6c80ece4c12e49ba6ff1aeb749b05,mympd_diff1.json,v13.0.5,2023-11-19T15:17:16Z,v13.0.6,2023-12-20T19:35:54Z
248c12a14e9de2e8ecf89dd050d48f917aac0633,5ea972c3a669d633430d851d23934a1973b6e40d,mympd_diff14.json,v11.0.5,2023-08-31T09:29:25Z,v12.0.0,2023-09-15T16:42:49Z
6ad8afd0a409fa4212381974e9b661fcdb159a33,eb25db2d4c60da750f5ac7deae80d3869e73d55b,mympd_diff20.json,v10.3.3,2023-06-02T19:30:01Z,v11.0.0,2023-07-18T18:08:27Z
55060c7001b64c77852c54811ef0c42ee9b552f7,d6b26c6fe37ee3d6fa8f2878040f4c11a1e2abf3,mympd_diff25.json,v10.2.5,2023-03-10T16:17:03Z,v10.2.6,2023-03-20T19:57:10Z
e722064ce8ea81b4295bd5d55b0d784af29001d2,491eded014c52ff40ac22271e703a0a62891dc43,mympd_diff30.json,v10.2.0,2023-01-19T20:19:29Z,v10.2.1,2023-01-31T21:02:48Z
950d9d99d594e7b7eddcf842ef089cf1a7e372af,bc520412904b9c0f011735f5486425046ad6f9ef,mympd_diff46.json,v9.5.1,2022-08-14T18:50:49Z,v9.5.2,2022-08-24T07:52:03Z
40282e7d35fd7daeb25aa9bbc72cc50f945a6bd5,bbecf878475d2aada40efd24dd23db8e0e30ff39,mympd_diff48.json,v9.4.1,2022-07-19T19:08:05Z,v9.5.0,2022-08-13T17:06:55Z
68e9626f4e3d29f2877b14c0066809c5b5c985dc,da4b898f2f5c10dc3d76460c82d7b0520ccaf41a,mympd_diff50.json,v9.3.4,2022-06-07T18:03:42Z,v9.4.0,2022-07-13T19:49:15Z
6deaa43b1c0b4343c5786cd2114ff824d47ec905,68e9626f4e3d29f2877b14c0066809c5b5c985dc,mympd_diff51.json,v9.3.3,2022-05-23T19:06:30Z,v9.3.4,2022-06-07T18:03:42Z
7e157ba8bc953c8984758840006a4695ecbbc93d,0b2a55f9b6452f9fa0ea50af201448c03291259d,mympd_diff58.json,v9.2.1,2022-03-11T19:22:56Z,v9.2.2,2022-03-25T18:22:05Z
398a706053d9d950cdbc5b1675662e1fcdc9cbbe,fc914dbf150956d494b8e810172ef9fc217d3a0a,mympd_diff63.json,v9.0.4,2022-01-17T18:46:10Z,v9.1.0,2022-01-29T10:37:35Z
631aff21bcddcd1f7b10abf55e9b6354c69147f7,c2281fbb2fc9d6861337b29ea6ad48255293c9f3,mympd_diff68.json,v8.1.6,2021-11-13T15:23:25Z,v9.0.0,2021-12-17T16:53:59Z
4afed07dbe3217e2a4dabcbe148614ff6c2fc1a0,f837a118da8856de775d285d1e6089d08f86dd00,mympd_diff73.json,v8.1.1,2021-10-01T19:48:43Z,v8.1.2,2021-10-08T20:35:45Z
6536a7d8fd2a6a08a181b1fcd3e36ca2b080a19a,e778236a410b40e569652cfd7442ee87770a646c,mympd_diff75.json,v8.0.4,2021-08-16T12:11:58Z,v8.1.0,2021-09-26T16:40:10Z
5f5cb40ef5da745cd246ab675ad080a3c2dcff7f,ab8d1f39eb7b6da8b88e120373a06027f23377af,mympd_diff90.json,v6.9.1,2020-12-26T17:46:54Z,v6.10.0,2021-01-09T13:53:04Z
91aaac1e885af99d493a033c6462e3d3525a9d90,4c31b7c81431fc204b01827cda92c4c07cf39cd2,mympd_diff97.json,v6.6.2,2020-09-13T16:12:55Z,v6.7.0,2020-10-18T18:06:05Z
dcdaf6ea9aade4bc90d814cd41e3b5db5b5afffd,91aaac1e885af99d493a033c6462e3d3525a9d90,mympd_diff98.json,v6.6.1,2020-08-31T19:18:33Z,v6.6.2,2020-09-13T16:12:55Z
68715470f43d364acb02d7773782dcd13da235c9,eed49f04ff7d499d895e10946f9bd36180d991b0,mympd_diff103.json,v6.4.2,2020-06-08T19:33:33Z,v6.5.0,2020-07-06T20:49:18Z
ab235a49f054b96e4732f9b36c3bd4c7e1776bbe,19e88e2b370aec3eb278a0ea19c5778bbd0edf3b,mympd_diff112.json,v6.1.0,2020-01-27T18:18:25Z,v6.2.0,2020-02-24T07:48:17Z
7bef03f4c5f5f294be90d3d39365a92144b4bbc9,f946e362a3f891bcdf19acdfb0832e1224e6d785,mympd_diff115.json,v.5.7.2,2019-11-26T16:06:07Z,v6.0.0,2019-12-19T21:57:30Z
