Base,Head,Filename,Base Tag,Base Date,Head Tag,Head Date
d827e51ba46451a8aae959657b56bbc236b6d3a7,2561fd92f9716e7937dffaee6018c315fd563499,nodegui_diff11.json,v0.58.0-rc4,2023-01-24T23:19:07Z,v0.58.0,2023-02-16T19:11:02Z
47083b4a86ca61b57f2f7256bec450b9d11f6e8d,09d450aef428502ca51cb0f0a23c32cbc2b5d12c,nodegui_diff15.json,v0.57.3,2022-12-02T16:16:13Z,v0.58.0-rc1,2022-12-28T21:11:40Z
9fcc5e99d30ff0dc208f045abeeab50e59a73f22,a7df290d5825ae8576f46c5b2127f2013b3fa83b,nodegui_diff21.json,v0.54.0,2022-06-06T11:22:11Z,v0.55.0,2022-07-01T19:50:59Z
4c5ccadfc71d97327b14df0f0c9a847193df5517,ac1c118ae336e9f58dc0c88758617d4827bf2abb,nodegui_diff26.json,v0.49.0,2022-04-08T15:21:41Z,v0.50.0,2022-04-19T17:56:26Z
b783bbe6d6553a1c67132dc3b71088665b811904,9b451ecac3bc283460f63483cdc0c3d708bf7d18,nodegui_diff33.json,v0.44.2,2021-12-28T15:40:26Z,v0.45.0,2022-01-02T09:12:22Z
0867b96302cd8c75cf28d198d1cb5b1eb2865120,b783bbe6d6553a1c67132dc3b71088665b811904,nodegui_diff34.json,v0.44.0,2021-12-27T13:08:08Z,v0.44.2,2021-12-28T15:40:26Z
920e64404da5ad2bc67b28995a973ac21987b0e7,f8ed7d3a78e303386826c41669981789591089cb,nodegui_diff42.json,v0.37.3,2021-08-31T18:20:35Z,v0.38.0,2021-09-18T08:42:25Z
faa6adcb23712e034bf475dab93ca5049a2db7f7,c26a19469499818372b562a7d91f173056652700,nodegui_diff47.json,v0.35.0,2021-07-30T08:22:31Z,v0.36.0,2021-08-09T21:46:27Z
06d735fe89572f4c7ff4cbed2d491c76b87193a7,1b1647892d495527bae35aa2273b9b55eca0ee74,nodegui_diff51.json,v0.33.1,2021-07-09T17:53:24Z,v0.33.2,2021-07-10T10:03:51Z
b8a94d8db51d0f653f8025eb566f89b3de872af8,06d735fe89572f4c7ff4cbed2d491c76b87193a7,nodegui_diff52.json,v0.33.0,2021-07-08T21:15:12Z,v0.33.1,2021-07-09T17:53:24Z
d0e9f67a2539e538309ed6817f0324cd83ef1873,52d122583e02733a268759356405abafcc9a9aa5,nodegui_diff57.json,v0.30.3,2021-06-12T16:06:32Z,v0.31.0,2021-06-19T09:47:21Z
a68454498296134dcf68161feaf240fc42ca9544,6c016c5913f5edc704bf6791f5582d91b887bf0e,nodegui_diff60.json,v0.30.0,2021-02-25T21:54:40Z,v0.30.1,2021-02-25T22:44:51Z
94c3315bf057c5e954a524e0a9510a1b1635cf60,2ac83ca8574e484c89e999360a08fb821bce4207,nodegui_diff62.json,v0.28.1,2021-01-20T13:21:17Z,v0.29.0,2021-01-24T18:55:34Z
2e0bcc158f52dd0871c73b4d877d2c3e01c6ec33,f50f08f40d5f8b7f6d8d259dec4f98ea67695d2f,nodegui_diff64.json,v0.27.0,2020-11-24T19:47:13Z,v0.28.0,2020-12-11T14:12:06Z
446b7327e44a9d8b7c809d0ba6e7ae010864fa1b,31e3abb041cea858f699ded47155240f6ecf03ae,nodegui_diff66.json,v0.25.0,2020-08-29T15:45:19Z,v0.26.0,2020-10-18T14:46:05Z
738590b631077e54a1d2d54ecae7788565bcad95,446b7327e44a9d8b7c809d0ba6e7ae010864fa1b,nodegui_diff67.json,v0.24.0,2020-07-04T18:08:43Z,v0.25.0,2020-08-29T15:45:19Z
a79ff1fd38de6ab0165db4c76ab8116efa4e3b41,738590b631077e54a1d2d54ecae7788565bcad95,nodegui_diff68.json,v0.23.1,2020-06-27T15:44:13Z,v0.24.0,2020-07-04T18:08:43Z
d3bd896c491e3ec4522c8b9ab8811b4a0098f18b,f4d656d8ef9635da890a990a13be300c4b1456d8,nodegui_diff70.json,v0.22.0,2020-06-09T18:24:31Z,v0.23.0,2020-06-26T15:08:29Z
c33c375fb2e21880f7a42c877f05457d8af0fa51,d3bd896c491e3ec4522c8b9ab8811b4a0098f18b,nodegui_diff71.json,v0.21.0,2020-05-23T21:38:47Z,v0.22.0,2020-06-09T18:24:31Z
e0cddc9a7b28c9f5d7e695153da1e3362e44cc46,1bd0a5ca10804098b0d3e7a3253adeefbe1b0ed1,nodegui_diff73.json,v0.19.0,2020-04-13T21:41:00Z,v0.20.0,2020-05-13T07:22:08Z
c54822686e1d97a0e830550a524acaded55a211c,e0cddc9a7b28c9f5d7e695153da1e3362e44cc46,nodegui_diff74.json,v0.18.1,2020-03-30T22:00:04Z,v0.19.0,2020-04-13T21:41:00Z
3e0d2c35cddaf204a589ca83b6acd1b712220280,c54822686e1d97a0e830550a524acaded55a211c,nodegui_diff75.json,v0.18.0,2020-03-28T23:24:16Z,v0.18.1,2020-03-30T22:00:04Z
0ec2b3f2cb2b4c92e64684d2cc5530e46c027a01,3e0d2c35cddaf204a589ca83b6acd1b712220280,nodegui_diff76.json,assets,2020-03-28T18:17:12Z,v0.18.0,2020-03-28T23:24:16Z
de688c6f7f105610e53f102de0a8289b2e63f0c2,0ec2b3f2cb2b4c92e64684d2cc5530e46c027a01,nodegui_diff77.json,v0.17.0,2020-03-24T19:44:05Z,assets,2020-03-28T18:17:12Z
50f43d955a2a6fa8ddc6e6a55b8b7995fee5e27d,de688c6f7f105610e53f102de0a8289b2e63f0c2,nodegui_diff78.json,v0.16.1,2020-03-16T23:19:47Z,v0.17.0,2020-03-24T19:44:05Z
8d435bc1b1dd337a22e05df36b3bfa948800b7ea,50f43d955a2a6fa8ddc6e6a55b8b7995fee5e27d,nodegui_diff79.json,v0.16.0,2020-03-14T18:35:19Z,v0.16.1,2020-03-16T23:19:47Z
5c840fe9ba70b0f6ce5f7dedc1ebfc054547ee38,8d435bc1b1dd337a22e05df36b3bfa948800b7ea,nodegui_diff80.json,v0.15.5,2020-03-13T20:46:40Z,v0.16.0,2020-03-14T18:35:19Z
a454a7dafe40a4e39173f114c35f2265b28e0c7d,5c840fe9ba70b0f6ce5f7dedc1ebfc054547ee38,nodegui_diff81.json,v0.15.3,2020-03-08T16:47:03Z,v0.15.5,2020-03-13T20:46:40Z
110cb80e8262c9591bff319d63b2d87eadc53bca,a454a7dafe40a4e39173f114c35f2265b28e0c7d,nodegui_diff82.json,v0.15.2,2020-03-07T11:19:28Z,v0.15.3,2020-03-08T16:47:03Z
f2a62a7987f6268399ce3d2e20bcf1f4fb6ffb47,efdbb3e6c7267fff0044120d6d1b24070bef6789,nodegui_diff84.json,v0.15.0-alpha-3,2020-03-02T19:30:24Z,v0.15.1,2020-03-07T09:55:14Z
12340274723bbd7057beaf41ef141d6f33be3963,f2a62a7987f6268399ce3d2e20bcf1f4fb6ffb47,nodegui_diff85.json,v0.13.4,2020-02-07T19:39:53Z,v0.15.0-alpha-3,2020-03-02T19:30:24Z
626045549f1ecc51f5be7d7f3ffba6f4a8e9f78b,d95fe53d785ca9cdb3974b3a2ce00dd1180f8742,nodegui_diff88.json,v0.13.1,2020-01-25T20:53:08Z,v0.13.2,2020-01-30T12:44:17Z
8521efbe32a341a73f53989991c18f3750310c80,a84bc69a2643e801b7778ef8230c59819164f5de,nodegui_diff90.json,v0.12.1,2019-12-26T14:17:48Z,v0.13.0,2020-01-24T18:33:18Z
8793f172e3f1ab5b6bbf4d30a73d32f94b58dd83,0061ba43d856cce112a5b37559a68d76fff3e9c4,nodegui_diff92.json,v0.11.0,2019-12-19T17:44:20Z,v0.12.0,2019-12-26T08:07:01Z
16a74dc58950a7b63e5065c4b0e68094fa08300d,8793f172e3f1ab5b6bbf4d30a73d32f94b58dd83,nodegui_diff93.json,v0.10.0,2019-12-16T20:22:33Z,v0.11.0,2019-12-19T17:44:20Z
d79ba0620d67b0760139c6c909368a486fe9c9a7,16a74dc58950a7b63e5065c4b0e68094fa08300d,nodegui_diff94.json,v0.9.1,2019-12-08T21:36:06Z,v0.10.0,2019-12-16T20:22:33Z
b0c9bca53a19282c5af4d4f4928492571ccc875a,c7863f758eaab4f8d516fa5db8bcbe2f541dfcfc,nodegui_diff96.json,v0.8.0,2019-12-04T19:23:47Z,v0.9.0,2019-12-08T20:34:03Z
518fe1f3cc93b0a1c1ec9c451f4273058b851e75,b0c9bca53a19282c5af4d4f4928492571ccc875a,nodegui_diff97.json,v0.7.0,2019-11-29T07:12:30Z,v0.8.0,2019-12-04T19:23:47Z
1132d5f0a74dedfafbfd2c6612448e329763ebd4,71c58db50ec0677dc85f3b93d0333434031ef265,nodegui_diff101.json,v0.6.5,2019-11-22T18:38:54Z,v0.6.6,2019-11-25T22:31:56Z
ce6860dd867fbef51e10706fefee234b363b6a95,681689b7ddfc54e0f069858b47ce9fcf4e04e8de,nodegui_diff103.json,v0.4.0,2019-11-08T23:19:09Z,v0.6.3,2019-11-21T23:14:39Z
3a94699c39eb303f5b440d645614e23c4216e163,ce6860dd867fbef51e10706fefee234b363b6a95,nodegui_diff104.json,v0.3.1,2019-10-30T22:46:25Z,v0.4.0,2019-11-08T23:19:09Z
8a0a24d0e7256c643b4b29f3807a32a9ebbaa7a2,b5f21bae0b68f9471f56e502ee79f62da45dada2,nodegui_diff106.json,v0.2.1,2019-09-22T21:24:22Z,v0.3.0,2019-10-26T20:40:10Z
bc84346bf56f0bb8a7ca0548e5679e56d8febcf2,81b34f61cf988ba0c8275e4ca41917a1425b0959,nodegui_diff108.json,v0.1.9,2019-09-11T20:43:58Z,v0.2.0,2019-09-22T17:12:51Z
620a85e417e35db12d95f2abd4eb9dcaa28ed58a,bc84346bf56f0bb8a7ca0548e5679e56d8febcf2,nodegui_diff109.json,v0.1.8,2019-09-07T20:03:13Z,v0.1.9,2019-09-11T20:43:58Z
56b81f80274dbfaf46e9bfb96e8ae9deee6ab42e,3c51b99c0bd9c9f4e4081cd7d5abb752772217c6,nodegui_diff111.json,v0.1.6,2019-08-26T15:31:15Z,v0.1.7,2019-08-31T17:04:43Z
b84f779ef89002ba771bc9d20bb26f2613415418,7d07068f3e6124e73da0d1c6d5fa60d5b3cb68bc,nodegui_diff114.json,v0.1.3,2019-08-16T17:59:35Z,v0.1.4,2019-08-21T22:09:12Z
