Base,Head,Filename,Base Tag,Base Date,Head Tag,Head Date
f9df8e14fc5c1254417a94d77f53907c56965996,5269e4b709a3465a28761330578d4d3535c9af06,notcurses_diff17.json,v2.4.1,2021-09-13T02:14:27Z,v2.4.2,2021-09-20T12:03:17Z
9fcbf004207f4005f1b8d785e68e77fe7d086edc,c9fbc5d7f9289ec6687aac2ab0d5872b25f103ce,notcurses_diff23.json,v2.3.13,2021-08-05T03:37:28Z,v2.3.15,2021-08-17T23:18:06Z
30d71ab6b974f3f697c45e98d771c788bc8f1c73,1e248e41e1e9577a2b781e170bbf579ce7dcdf43,notcurses_diff25.json,v2.3.11,2021-07-20T18:07:56Z,v2.3.12,2021-07-29T04:55:28Z
3aaff6a944fb7bde179f08d03c2fbe4e87362b76,30d71ab6b974f3f697c45e98d771c788bc8f1c73,notcurses_diff26.json,v2.3.10,2021-07-15T02:42:04Z,v2.3.11,2021-07-20T18:07:56Z
160868d9e837b0c80568ba7af64a166cb4f3266a,a14a5271ac129acbc29e865292023480e1f93da3,notcurses_diff32.json,v2.3.4,2021-06-12T21:27:32Z,v2.3.5,2021-06-23T17:07:57Z
507d2c8d8ec45e935624963996db6eaae78dc278,4ca1036da9565bce103b1b6dcccccf5dcb827f2b,notcurses_diff34.json,v2.3.2,2021-06-03T06:29:21Z,v2.3.3,2021-06-12T20:55:05Z
739c96032d73196bd279413b3e8caadc389b5371,507d2c8d8ec45e935624963996db6eaae78dc278,notcurses_diff35.json,v2.3.1,2021-05-18T08:04:10Z,v2.3.2,2021-06-03T06:29:21Z
d5b58d9f58d8e73e7edcd841f6f50981e21eeddf,923bc4051603fbe8082eb3ad9f11c4af46c3d82e,notcurses_diff40.json,v2.2.8,2021-04-18T17:24:27Z,v2.2.9,2021-05-03T06:51:07Z
c10f5a40ce3373bb277700b8b6bb9c65ea8113c5,bc84987af5586b0defd2fd9f095bb95532ff7120,notcurses_diff45.json,v2.2.2,2021-02-18T12:07:29Z,v2.2.3,2021-03-08T12:10:59Z
e617acecc727f3a4f90800c165350a2d0a2172b8,3ecdde74d096dc233dca55c2dd5395eae94c0472,notcurses_diff51.json,v2.1.4,2021-01-04T00:55:36Z,v2.1.5,2021-01-15T10:14:11Z
70b74a749bd83a28213b45fb9dfc0b696c7fb2f6,e617acecc727f3a4f90800c165350a2d0a2172b8,notcurses_diff52.json,v2.1.3,2020-12-31T07:57:49Z,v2.1.4,2021-01-04T00:55:36Z
8083b46e3bfb028f673da012fa2fd35ccf462f2f,361a253aea1c0b9af17dd204c1a61812aefc240a,notcurses_diff59.json,v2.0.9,2020-12-01T09:37:40Z,v2.0.10,2020-12-06T18:22:30Z
2a45620cd662242757e03766a16dfe80a6ede5ae,8083b46e3bfb028f673da012fa2fd35ccf462f2f,notcurses_diff60.json,v2.0.8,2020-11-27T21:50:04Z,v2.0.9,2020-12-01T09:37:40Z
73b2f1bf19cba6eed2e58eaf91704a7d20980166,2a45620cd662242757e03766a16dfe80a6ede5ae,notcurses_diff61.json,v2.0.7,2020-11-22T05:22:15Z,v2.0.8,2020-11-27T21:50:04Z
7622cefc3a54c8e8d193ed752e8540a6c1b6cd95,73b2f1bf19cba6eed2e58eaf91704a7d20980166,notcurses_diff62.json,v2.0.4,2020-11-10T15:50:34Z,v2.0.7,2020-11-22T05:22:15Z
8189d2170931ab84b5962a5677b1b1065ba03acf,0d31a03be9f87566cc7133c4446589f80b45c08e,notcurses_diff64.json,v2.0.2,2020-10-25T14:10:53Z,v2.0.3,2020-11-09T18:46:04Z
49ae79341df977d619073d8a661bda1a97bc0d5d,c2b8610121a25c2ad3c6f070dbc1a0ef6163081a,notcurses_diff78.json,v1.6.15,2020-08-16T15:04:47Z,v1.6.17,2020-08-24T02:34:04Z
9704f5cbe7dd0d38acffbcf615c6216c1384db0b,49ae79341df977d619073d8a661bda1a97bc0d5d,notcurses_diff79.json,v1.6.12,2020-08-12T13:38:33Z,v1.6.15,2020-08-16T15:04:47Z
fa76f5a432be112df2db3672b398124b225e60b7,9704f5cbe7dd0d38acffbcf615c6216c1384db0b,notcurses_diff80.json,v1.6.11,2020-08-03T06:47:11Z,v1.6.12,2020-08-12T13:38:33Z
8cfd1677c47d8e2eda0b0d1b0fc21cad419e42d9,fa76f5a432be112df2db3672b398124b225e60b7,notcurses_diff81.json,v1.6.10,2020-08-01T21:53:22Z,v1.6.11,2020-08-03T06:47:11Z
d126c71dd6f2c9be892780af37a69d07b07ba578,8cfd1677c47d8e2eda0b0d1b0fc21cad419e42d9,notcurses_diff82.json,v1.6.9,2020-07-27T03:27:15Z,v1.6.10,2020-08-01T21:53:22Z
17f1323c20aed7c1a22c8c93c8a0c2ae68bf8855,d126c71dd6f2c9be892780af37a69d07b07ba578,notcurses_diff83.json,v1.6.6,2020-07-20T01:55:13Z,v1.6.9,2020-07-27T03:27:15Z
a4ee5bd9c742e19a646878899b2b69ab5f1228c8,17f1323c20aed7c1a22c8c93c8a0c2ae68bf8855,notcurses_diff84.json,v1.6.3,2020-07-16T16:53:46Z,v1.6.6,2020-07-20T01:55:13Z
1cc0371373f2a331c1e21abc0f19da44364ba54d,a4ee5bd9c742e19a646878899b2b69ab5f1228c8,notcurses_diff85.json,v1.6.1,2020-07-12T07:20:53Z,v1.6.3,2020-07-16T16:53:46Z
284dfc4fadda8bb007cf9f1fc6b8fb9e49191361,1cc0371373f2a331c1e21abc0f19da44364ba54d,notcurses_diff86.json,v1.6.0,2020-07-05T02:40:36Z,v1.6.1,2020-07-12T07:20:53Z
6ab11e679ff4d91ba1c792d1ba0929a8ef9163b6,284dfc4fadda8bb007cf9f1fc6b8fb9e49191361,notcurses_diff87.json,v1.5.3,2020-06-28T20:19:01Z,v1.6.0,2020-07-05T02:40:36Z
64d42212a3c31397f833bf33fa3f44e4718fd82e,6ab11e679ff4d91ba1c792d1ba0929a8ef9163b6,notcurses_diff88.json,v1.5.2,2020-06-19T19:25:45Z,v1.5.3,2020-06-28T20:19:01Z
64c4a4be5314bef58c677709621d3a1eb638c7a8,64d42212a3c31397f833bf33fa3f44e4718fd82e,notcurses_diff89.json,v1.5.1,2020-06-14T22:12:18Z,v1.5.2,2020-06-19T19:25:45Z
7fc38d8fdddaeceec1cc907549323574a91f86fe,64c4a4be5314bef58c677709621d3a1eb638c7a8,notcurses_diff90.json,v1.5.0,2020-06-08T10:05:21Z,v1.5.1,2020-06-14T22:12:18Z
3bc9a4cfa2447caa1c71275d2b3754d44725417b,7fc38d8fdddaeceec1cc907549323574a91f86fe,notcurses_diff91.json,v1.4.5,2020-06-05T10:09:21Z,v1.5.0,2020-06-08T10:05:21Z
354ece5826d17d72b84276d08d654f62aafe390c,3bc9a4cfa2447caa1c71275d2b3754d44725417b,notcurses_diff92.json,v1.4.4.1,2020-06-01T20:19:00Z,v1.4.5,2020-06-05T10:09:21Z
c08c9b7f7f111c59802b6705bc16b85ae5625fce,354ece5826d17d72b84276d08d654f62aafe390c,notcurses_diff93.json,v1.4.3,2020-05-22T13:18:42Z,v1.4.4.1,2020-06-01T20:19:00Z
07e894c40c94a79bc76f9d2971000f17cfdd94ad,c08c9b7f7f111c59802b6705bc16b85ae5625fce,notcurses_diff94.json,v1.4.2.4,2020-05-20T19:38:27Z,v1.4.3,2020-05-22T13:18:42Z
32d3ae91c8e25ec22994123f797d708e9b7e5592,07e894c40c94a79bc76f9d2971000f17cfdd94ad,notcurses_diff95.json,v1.4.2.3,2020-05-17T13:02:16Z,v1.4.2.4,2020-05-20T19:38:27Z
8b5b44cf369ecfd11ad191345e733392f97e5013,32d3ae91c8e25ec22994123f797d708e9b7e5592,notcurses_diff96.json,v1.4.1,2020-05-11T02:21:52Z,v1.4.2.3,2020-05-17T13:02:16Z
3a8b0b9716a3365ba482f32ae0fe6ed0c16bd7f9,8b5b44cf369ecfd11ad191345e733392f97e5013,notcurses_diff97.json,v1.4.0,2020-05-11T01:39:06Z,v1.4.1,2020-05-11T02:21:52Z
e2b610506fdd197c5d28960c83a96e243c0593ab,3a8b0b9716a3365ba482f32ae0fe6ed0c16bd7f9,notcurses_diff98.json,v1.3.4,2020-05-07T05:38:39Z,v1.4.0,2020-05-11T01:39:06Z
05753bd91a551501dc2ce6333d077bf4b9081c0a,e2b610506fdd197c5d28960c83a96e243c0593ab,notcurses_diff99.json,v1.3.3,2020-04-27T01:25:27Z,v1.3.4,2020-05-07T05:38:39Z
1dad2c6b506a56947512ff1403fc0e37128e0d23,05753bd91a551501dc2ce6333d077bf4b9081c0a,notcurses_diff100.json,v1.3.2,2020-04-19T06:24:07Z,v1.3.3,2020-04-27T01:25:27Z
9e28e1400151d17d743fb08edbc8b0c25c9c818a,1dad2c6b506a56947512ff1403fc0e37128e0d23,notcurses_diff101.json,v1.3.1,2020-04-18T07:01:32Z,v1.3.2,2020-04-19T06:24:07Z
86e225dc4cfb2a9dc9a690eebae58bb5e15af2e3,9e28e1400151d17d743fb08edbc8b0c25c9c818a,notcurses_diff102.json,v1.3.0,2020-04-12T02:01:09Z,v1.3.1,2020-04-18T07:01:32Z
24a9343b0b3e82a0457df05840c8c2c76e0ce4d0,86e225dc4cfb2a9dc9a690eebae58bb5e15af2e3,notcurses_diff103.json,v1.2.9,2020-04-11T16:41:19Z,v1.3.0,2020-04-12T02:01:09Z
69b716f7f878fbe52033862a0e923f645d1c42a4,24a9343b0b3e82a0457df05840c8c2c76e0ce4d0,notcurses_diff104.json,v1.2.8,2020-04-10T20:21:23Z,v1.2.9,2020-04-11T16:41:19Z
114cb1d680d309ae70aa28510b2bd7f0fa00c179,69b716f7f878fbe52033862a0e923f645d1c42a4,notcurses_diff105.json,v1.2.7,2020-04-10T15:29:35Z,v1.2.8,2020-04-10T20:21:23Z
6d366380edc065cc3a96c68230142e5b43d54c73,114cb1d680d309ae70aa28510b2bd7f0fa00c179,notcurses_diff106.json,v1.2.6,2020-04-08T14:12:48Z,v1.2.7,2020-04-10T15:29:35Z
397deca65c32bdb921ab5c453d48567f70ec79d0,6d366380edc065cc3a96c68230142e5b43d54c73,notcurses_diff107.json,v1.2.5,2020-04-04T23:09:05Z,v1.2.6,2020-04-08T14:12:48Z
c43006c2bfd3e33490b810247a45915a6186a7d5,397deca65c32bdb921ab5c453d48567f70ec79d0,notcurses_diff108.json,v1.2.4,2020-03-24T20:31:34Z,v1.2.5,2020-04-04T23:09:05Z
e1b729c6a30e9b5be71aef2c8152284b7e0448a5,c43006c2bfd3e33490b810247a45915a6186a7d5,notcurses_diff109.json,v1.2.3,2020-03-08T01:47:33Z,v1.2.4,2020-03-24T20:31:34Z
68f7054e7f52639a0e87ea53d62976974c0fe15d,91f59b763d48945890584f5b147ea7ee6d9f9e05,notcurses_diff111.json,v1.2.0,2020-02-18T03:17:17Z,v1.2.2,2020-02-24T06:19:31Z
429e00d6122772fb377023adf961e791012537fa,745f7153b425b43a9314e91b0bf8796297a4a178,notcurses_diff114.json,v1.1.5,2020-02-05T04:42:43Z,v1.1.7,2020-02-11T02:12:52Z
5a555ff917f5f612a4ed79cd3dfa7e0bc3513760,1a4ca806160d9baf3f6ff35fc74cbee6e38da416,notcurses_diff118.json,v1.0.2,2020-01-09T10:51:01Z,v1.1.0,2020-01-19T15:11:39Z
7e404531992e034b0b00fc0bec382ce915bba262,5a555ff917f5f612a4ed79cd3dfa7e0bc3513760,notcurses_diff119.json,v1.0.1,2020-01-09T10:22:50Z,v1.0.2,2020-01-09T10:51:01Z
af1a5ea528ebffba6c7c51996d98ed153be318c4,7e404531992e034b0b00fc0bec382ce915bba262,notcurses_diff120.json,v1.0.0,2020-01-04T13:39:44Z,v1.0.1,2020-01-09T10:22:50Z
