Base,Head,Filename,Base Tag,Base Date,Head Tag,Head Date
211bb633b0b46ff685e7bdfdcb525e7b6dbdce60,c0cbe73b51f34c459d67a17d36739795bbf25fc2,openstudio_diff3.json,v3.7.0-rc1,2023-10-18T19:05:29Z,v3.7.0-rc2,2023-11-07T23:18:50Z
bb9481519e90f1e0f764b9fd64ed1c8b7b7ed5cb,211bb633b0b46ff685e7bdfdcb525e7b6dbdce60,openstudio_diff4.json,v3.6.1,2023-05-22T20:46:05Z,v3.7.0-rc1,2023-10-18T19:05:29Z
22e1db7be5d9a04815fe46ec375e8c28a815b133,860f5de1851e2c521dda14de8639d8a2f21f0d15,openstudio_diff7.json,v3.5.1,2022-12-29T21:37:29Z,v3.6.0,2023-05-09T16:10:58Z
9e989dbeea8b33776ae21da55b11a1c27af46eb4,7b14ce1588be4824fef6ac665ee2ad34d32c6f88,openstudio_diff9.json,v3.4.0-vcomp,2022-05-07T14:42:58Z,v3.5.0,2022-11-10T16:30:05Z
ad235ff36e046031f69023aa85551c0941f76f27,4bd816f78553eb2ac33f51efb29bfd016a0b6be1,openstudio_diff11.json,v3.3.0,2021-11-05T17:58:08Z,v3.4.0,2022-05-05T13:44:38Z
bdbdbc9da61050bf475298ea99ba2c919d51fd2a,ad235ff36e046031f69023aa85551c0941f76f27,openstudio_diff12.json,v3.2.1,2021-06-25T14:06:56Z,v3.3.0,2021-11-05T17:58:08Z
e1650906214fc05ba0c81429910d6442bcc4cb3a,e11f0a08b2b854cefa1d2cf4cf92ad6d8b4db8c8,openstudio_diff14.json,v3.1.0,2020-10-16T23:19:50Z,v3.2.0,2021-05-04T17:11:40Z
1c9617fa4ed89ff595b712849bd34f575d7197a4,09b7c8a554b6663a2d5e348d2d99973ea55374ad,openstudio_diff16.json,v3.0.0,2020-04-27T14:35:27Z,v3.0.1,2020-06-26T18:22:26Z
3472e8b799efa34de038f8455dd75966bbb18f10,1c9617fa4ed89ff595b712849bd34f575d7197a4,openstudio_diff17.json,v2.9.1,2019-12-06T23:26:35Z,v3.0.0,2020-04-27T14:35:27Z
801faa459cc1594792bebe7d0fc980c893a15497,5cfb36386f8f0ce71cbff7028fe716e2d0528805,openstudio_diff19.json,v2.9.0,2019-10-11T19:52:22Z,v3.0.0-pre1,2019-11-20T20:23:16Z
55665635f0fdc2a5b9b7b2e820c25fe636bc46e9,6914d4f59010de74bb761fb765c358711d08914c,openstudio_diff21.json,v2.8.0,2019-04-11T13:15:02Z,v2.8.1,2019-06-18T20:31:42Z
8c81faf8bc80b0e8f96a4b2764e5958cd060a625,00a34e0b1f4ffd7494512ae756404d7fdfa14ef0,openstudio_diff26.json,v2.6.0,2018-06-22T21:03:13Z,v2.6.1,2018-08-02T21:55:03Z
1205e0bae618076cac7b1743c7a000870e8ccd4b,9c93603b9734aa0f1a55e2ea6430ad3be1acf015,openstudio_diff47.json,v1.14.0,2017-01-09T21:51:48Z,v2.0.1,2017-01-25T19:59:22Z
