Base,Head,Filename,Base Tag,Base Date,Head Tag,Head Date
977758b9cad5c5ca0725030e1ce2d85b717e5573,c466292d8a51a4f3541ef75de11908c79835665f,openttd-patches_diff2.json,jgrpp-0.56.0,2023-11-26T22:58:59Z,jgrpp-0.56.1,2023-12-08T23:43:50Z
d4ed08849855b99b39fd95a83faad3c7cec4f2e0,977758b9cad5c5ca0725030e1ce2d85b717e5573,openttd-patches_diff3.json,jgrpp-0.55.3,2023-09-24T11:37:03Z,jgrpp-0.56.0,2023-11-26T22:58:59Z
e91e15be7fa12ad95ff57f8b8a0991e9c765c069,5c67c319411891a45b7fc1f33760a70bb4f84089,openttd-patches_diff10.json,jgrpp-0.54.2,2023-06-18T20:24:25Z,jgrpp-0.54.3,2023-07-09T12:56:45Z
0a17b7b11bcf5adc60324bd78b28a63b3ebc2b6d,e4d97c10c70912e637c34dde14ddf33db1767c46,openttd-patches_diff13.json,jgrpp-0.53.3,2023-05-20T00:40:34Z,jgrpp-0.54.0,2023-06-11T12:33:49Z
3e4ae68075c23940a6e6670ef056907e2e0edc74,6fb3fa7e77eeee676642cefdc11720a984ee1120,openttd-patches_diff19.json,jgrpp-0.51.1,2023-02-28T02:39:56Z,jgrpp-0.52.0,2023-03-19T23:54:10Z
bc9532b76071f552f0206f24d87545de6ee40f33,7ec00f424246eb512cdd951de7a10460ddf38ae3,openttd-patches_diff23.json,jgrpp-0.50.1,2022-12-28T17:00:42Z,jgrpp-0.50.2,2023-01-21T01:01:16Z
fc22d50653e63fd2719e4433459bdf290d210d47,41b9d74280c2fcf9d208163d86f957ad0aea17c0,openttd-patches_diff28.json,jgrpp-0.48.5,2022-10-05T22:06:40Z,jgrpp-0.49.0,2022-10-28T00:57:03Z
8669cedfea38eb3f7241120af4fd697e839ef4ad,322363b6eaeb634492d415f024e616532a2f3a72,openttd-patches_diff35.json,jgrpp-0.47.2,2022-05-01T01:13:47Z,jgrpp-0.47.3,2022-06-09T01:17:43Z
e34cc229d163599df578a23def613cc3f038a78c,10c46946ae2a9c08975df4d4bb842de2d39d16c7,openttd-patches_diff48.json,jgrpp-0.43.2,2021-10-29T21:08:22Z,jgrpp-0.44-rc1,2021-11-03T06:39:56Z
66b9e8031518a079491f26962a54472a54812ddc,7ec10dd6777215cf897a661a7b0c393096eccd61,openttd-patches_diff62.json,jgrpp-0.40.2,2021-02-17T02:43:31Z,jgrpp-0.40.3,2021-03-02T23:57:36Z
6c82ac2647060a1ddf62a9e385988ff5174df5e4,331da334c02ab8f9f92cc192d3ca4fcf51ee9659,openttd-patches_diff65.json,jgrpp-0.39.2,2020-12-29T23:58:47Z,jgrpp-0.40.0,2021-02-02T22:07:53Z
18583ac3d51ea95ae08d1c49f13b0e1f9ba79b44,6c82ac2647060a1ddf62a9e385988ff5174df5e4,openttd-patches_diff66.json,jgrpp-0.39.1,2020-11-28T12:06:51Z,jgrpp-0.39.2,2020-12-29T23:58:47Z
2ded3094300f0cdaec1fdb1cf8f0fe68f2cc19a2,a76e51c3ddf776a373d36d230a82f409af01af75,openttd-patches_diff70.json,jgrpp-0.37.0,2020-09-22T18:51:10Z,jgrpp-0.38.0,2020-10-16T23:00:55Z
5d88e40568323e87baf00987b10e671faade6158,e41c85e8ec2507cd154d5d7ed75f3d1fb3578970,openttd-patches_diff82.json,jgrpp-0.33.0,2020-01-10T22:13:48Z,jgrpp-0.33.1,2020-02-13T01:35:47Z
