Base,Head,Filename,Base Tag,Base Date,Head Tag,Head Date
06a706d4dafe95030f9170ac4417678588bd01ba,a795037a1ef8d0db677f2b7b2234a68504dec596,ponyc_diff5.json,0.56.0,2023-08-30T14:05:12Z,0.56.1,2023-09-16T12:12:20Z
800527f783997c8a32066980a99fbffeeab10d11,06a706d4dafe95030f9170ac4417678588bd01ba,ponyc_diff6.json,0.55.1,2023-08-16T17:18:33Z,0.56.0,2023-08-30T14:05:12Z
6a1b4c09b62f3ee8241a0376a993b3550efe16c4,800527f783997c8a32066980a99fbffeeab10d11,ponyc_diff7.json,0.55.0,2023-05-27T17:23:14Z,0.55.1,2023-08-16T17:18:33Z
a48b9ddff93472395bda01142abe8ed9a119bc3a,3888b8b9e4d25264cb64b409b5b8fa510f3c2e83,ponyc_diff16.json,0.52.0,2022-11-10T20:09:18Z,0.52.1,2022-11-14T17:55:04Z
fed8b38acb18ccfcbbba7b630d66ccf0975a2ee6,a48b9ddff93472395bda01142abe8ed9a119bc3a,ponyc_diff17.json,0.51.4,2022-10-29T10:06:00Z,0.52.0,2022-11-10T20:09:18Z
afda8d1408bd4fc6ff420fb25e80f7ee91f3933c,79627611b5caa9f413851a05ef43a3eb0f82747c,ponyc_diff27.json,0.46.0,2022-01-16T02:54:35Z,0.47.0,2022-02-02T01:40:46Z
2e03c3f3a349f51b0a7dac54d9d822ecae956d7c,afda8d1408bd4fc6ff420fb25e80f7ee91f3933c,ponyc_diff28.json,0.45.2,2022-01-01T00:00:12Z,0.46.0,2022-01-16T02:54:35Z
24ed8367791520f8bd68883305ba79ef5ddad589,2e03c3f3a349f51b0a7dac54d9d822ecae956d7c,ponyc_diff29.json,0.45.1,2021-12-02T21:38:46Z,0.45.2,2022-01-01T00:00:12Z
8b6c26ca3235e63e3bd130845820b23cf3bb9da4,a1bdb4ca41366ab12e7f108b971b0dc7e17cb17d,ponyc_diff35.json,0.42.0,2021-07-07T12:46:12Z,0.43.0,2021-07-14T18:34:33Z
330b4bca5f53a9a87782166afbf7971e92bf37c2,b8b0100bebdc8b6baac93dd0b8c92f12dc40f331,ponyc_diff40.json,0.39.1,2021-03-29T17:30:05Z,0.40.0,2021-05-01T00:07:25Z
85d897b978c5082a1f3264a3a9ad479446d73984,330b4bca5f53a9a87782166afbf7971e92bf37c2,ponyc_diff41.json,0.39.0,2021-02-27T16:53:16Z,0.39.1,2021-03-29T17:30:05Z
d23bb4e549a9ec8f29aa66f7e9e495371033a424,85d897b978c5082a1f3264a3a9ad479446d73984,ponyc_diff42.json,0.38.3,2021-01-29T13:33:38Z,0.39.0,2021-02-27T16:53:16Z
eb556003cea6de4eb064ca696530fc21956051ee,d23bb4e549a9ec8f29aa66f7e9e495371033a424,ponyc_diff43.json,0.38.2,2020-12-26T13:54:50Z,0.38.3,2021-01-29T13:33:38Z
991bec5c43bd175bbb64e7400c08b1292e6d0538,ddaecbff90caa430c5e5ca12aee044231df05c51,ponyc_diff46.json,0.37.0,2020-08-28T22:03:29Z,0.38.0,2020-09-24T22:56:07Z
642d92cbbb0ed5fdec8806a47bafbb447f5a1511,991bec5c43bd175bbb64e7400c08b1292e6d0538,ponyc_diff47.json,0.36.0,2020-07-31T19:52:39Z,0.37.0,2020-08-28T22:03:29Z
80c738d569a872333b495955f6f6ee69c3cd84c8,056d115ec4a94d96b05fa438aec620c18ff77001,ponyc_diff51.json,0.34.0,2020-05-03T13:57:39Z,0.34.1,2020-05-07T02:33:07Z
54a2b67acff5768aada4eca84cc58ed41cece4c5,80c738d569a872333b495955f6f6ee69c3cd84c8,ponyc_diff52.json,0.33.2,2020-02-03T03:36:10Z,0.34.0,2020-05-03T13:57:39Z
3cf816a0af6322f91805654b4b59cb799ecd0c76,54a2b67acff5768aada4eca84cc58ed41cece4c5,ponyc_diff53.json,0.33.1,2019-12-13T13:38:55Z,0.33.2,2020-02-03T03:36:10Z
98c36095d22041cb27d7ec79ff721a34fa81c21b,3cf816a0af6322f91805654b4b59cb799ecd0c76,ponyc_diff54.json,0.33.0,2019-11-01T17:04:58Z,0.33.1,2019-12-13T13:38:55Z
db9ffd16c0fdd47bb2fdc7e84e01aca9d4fe7ad4,98c36095d22041cb27d7ec79ff721a34fa81c21b,ponyc_diff55.json,0.32.0,2019-09-29T11:39:21Z,0.33.0,2019-11-01T17:04:58Z
