Base,Head,Filename,Base Tag,Base Date,Head Tag,Head Date
7639482b11f93555ddb26a29b89f55aafac53678,3d9f93bcf24610d4f550fea605d18dcd355614bd,power-grid-model_diff5.json,v1.6.39,2023-12-15T15:35:39Z,v1.6.40,2023-12-18T14:46:34Z
4ffaf49cc368f27fcb606c512f0e039e92ce5c1b,c95b490467abb130d9bb55deb6d24ce57055c14f,power-grid-model_diff9.json,v1.6.35,2023-12-04T08:52:08Z,v1.6.36,2023-12-11T09:23:47Z
b2f6db5d393628429b31e204da5d59d01570d670,4ffaf49cc368f27fcb606c512f0e039e92ce5c1b,power-grid-model_diff10.json,v1.6.34,2023-11-29T14:10:26Z,v1.6.35,2023-12-04T08:52:08Z
799526de24b0a9371cab3ab6e98cdc22e9090c9b,46fc15c5de5f6b3ace6a136af5773914e0da98e3,power-grid-model_diff23.json,v1.6.21,2023-10-31T15:17:32Z,v1.6.22,2023-11-01T07:49:04Z
5316c864491a6a11b04d4d227b0d6f254501b618,712af45727bfd15434eef301cf3cfbad9f6d8fe6,power-grid-model_diff38.json,v1.6.6,2023-10-06T11:52:10Z,v1.6.7,2023-10-09T12:49:00Z
3dc1552aa5ae3b5c7877ae495452f84d32a79392,899ee80209cf6a1d776668f23efb69034a718068,power-grid-model_diff43.json,v1.6.1,2023-09-29T13:16:00Z,v1.6.2,2023-10-02T09:50:47Z
92443e92aaea5114fbadd4e7320ff480c62db006,9a82d00bf6054027d3be570903e5676a8a44fed5,power-grid-model_diff47.json,v1.5.35,2023-09-18T09:07:32Z,v1.5.36,2023-09-25T09:52:15Z
a82439c155204c80786e60b5eb9ef87c1d76be4b,92443e92aaea5114fbadd4e7320ff480c62db006,power-grid-model_diff48.json,v1.5.34,2023-09-15T09:10:44Z,v1.5.35,2023-09-18T09:07:32Z
50c0ad3b0f7e94fc0e98bcd4cca99d9c3712ac2a,9df82d82368139165c1f75a6bc4d4e1b60c3fae3,power-grid-model_diff51.json,v1.5.31,2023-09-06T08:21:39Z,v1.5.32,2023-09-11T09:55:31Z
c0b3a3318e3a2bd5b8f21d287697768e8162e5b6,eb37bbe41d6f853a077f0569515c6a5f8576ead6,power-grid-model_diff65.json,v1.5.16,2023-08-15T14:07:11Z,v1.5.17,2023-08-15T21:44:00Z
3064814504bd7892991b4c6ea7d1bbb360b0e125,fd321e06a65e537d135463b087d72c2ba68400ac,power-grid-model_diff78.json,v1.5.3,2023-08-04T11:05:37Z,v1.5.4,2023-08-08T12:19:53Z
b22c8b2f48115a8be0cc1c5afe43d289cf682c32,b474315209768020bcc21235c0abb1d16ec28bf0,power-grid-model_diff87.json,v1.4.89,2023-07-31T13:25:58Z,v1.5.0rc9235211826225,2023-07-31T15:28:30Z
1263caac2d0c4bc4b34a56d716232ff1e179ab9c,fd1c02aa38ded336b631075d13e030bd2637c157,power-grid-model_diff90.json,v1.4.88,2023-07-27T14:01:05Z,v1.5.0rc9232816587778,2023-07-27T15:02:52Z
ba4296e223613eef16154190aac3699f07a54fe0,b549d17d58da4ea8ab14d293e2fc276658c4cc97,power-grid-model_diff97.json,v1.4.87,2023-07-24T08:32:24Z,v1.5.0rc9226811880913,2023-07-25T09:00:41Z
a4aaca5a8fb2f20eb0a375fbcb905eb8c2d1ae8b,ba4296e223613eef16154190aac3699f07a54fe0,power-grid-model_diff98.json,v1.5.0rc9225710791626,2023-07-20T13:33:49Z,v1.4.87,2023-07-24T08:32:24Z
a51e4912caf95f139441d7b9890c8f9c54515124,a1d196ae56da1edaeeaf0ef07fa221aad282f938,power-grid-model_diff101.json,v1.5.0rc9219310821193,2023-07-17T08:50:04Z,v1.5.0rc9220010604950,2023-07-17T10:31:01Z
97a2e1efea8e1e07d0899b82b224e7a8b41dc5c8,c3ff8f94986a6a2e101f25b9d6f87bc78728298b,power-grid-model_diff103.json,v1.5.0rc9216009937633,2023-07-13T13:50:49Z,v1.4.86,2023-07-17T09:07:29Z
ec490a80dbb90733820a82ccd1cee6bae287d258,be516ebe235965da7abde123756fbdea0a429326,power-grid-model_diff120.json,v1.4.85,2023-06-29T10:01:30Z,v1.5.0rc9197212472686,2023-06-29T10:14:05Z
af06ed2e967dc88984c83e094c6a2c4d5ac405eb,df8a0874c988b25b35fc29c3f2b8396f370358b3,power-grid-model_diff130.json,v1.4.84,2023-06-23T12:43:43Z,v1.5.0rc9186614649864,2023-06-23T13:37:54Z
490d8cee7bfa403549c7a7536c881f50c6c2307a,d2e055a0227368059be716676d5808950988fae1,power-grid-model_diff133.json,v1.4.83,2023-06-22T08:04:17Z,v1.5.0rc9183513819989,2023-06-22T08:24:51Z
a5ff8f71862a02a29ecd3b5d39d42095bb7458e6,063a0b43296c0dabe933594d7d1a2e3066b41dc7,power-grid-model_diff135.json,v1.4.82,2023-06-21T16:33:38Z,v1.5.0rc9181700408075,2023-06-21T08:20:51Z
1cfdf2d8b51bf79be0ebb50fb97e3f26db9b4447,a5ff8f71862a02a29ecd3b5d39d42095bb7458e6,power-grid-model_diff136.json,v1.5.0rc9178701900018,2023-06-20T07:59:57Z,v1.4.82,2023-06-21T16:33:38Z
0fd542bc7b19e8bae209e92fa3027caa3251291e,1cfdf2d8b51bf79be0ebb50fb97e3f26db9b4447,power-grid-model_diff137.json,v1.4.81,2023-06-20T15:05:28Z,v1.5.0rc9178701900018,2023-06-20T07:59:57Z
f16c3d44236f2c3766bfc4c6894e053572c15890,0fd542bc7b19e8bae209e92fa3027caa3251291e,power-grid-model_diff138.json,v1.4.81-rc9,2023-06-20T10:27:18Z,v1.4.81,2023-06-20T15:05:28Z
104e7157a2af607ddf4e73a6c003a9f0a90c95a0,f16c3d44236f2c3766bfc4c6894e053572c15890,power-grid-model_diff139.json,v1.4.81-rc8,2023-06-20T09:04:39Z,v1.4.81-rc9,2023-06-20T10:27:18Z
8b1582a1ba40107c4f6da689eaa4cab6333eed2a,cdeb5b3edb6ad2914132acb939425745368f4e52,power-grid-model_diff149.json,v1.4.78,2023-06-13T14:26:53Z,v1.5.0rc9175313495131,2023-06-14T06:53:54Z
