Base,Head,Filename,Base Tag,Base Date,Head Tag,Head Date
860257998fa2a0cdf1c32f14bce9f6268d08a05c,ba4d2c87ec25d32c7031fa0f0327e911dec188f9,quiet_diff4.json,quiet@1.10.1,2024-01-11T09:24:22Z,@quiet/desktop@2.0.1-alpha.0,2024-01-17T14:01:05Z
2312d887facd651c737723afefd28518c2209782,1638627c5475a0cc98e6da057ba2bf4a90051ca8,quiet_diff6.json,@quiet/mobile@2.0.0,2024-01-09T10:19:30Z,quiet@1.10.0,2024-01-09T13:01:01Z
3fc8041c24ba7ba79e713eee103409ac45208b25,2312d887facd651c737723afefd28518c2209782,quiet_diff8.json,quiet@1.9.7,2023-11-17T13:42:52Z,@quiet/desktop@2.0.0,2024-01-09T10:19:30Z
3552ed9ed605e2a28d68c90cadbbc40792f2ce03,9930db4f480aa32ecbac586ce6c1e1286c5bc886,quiet_diff11.json,quiet@1.9.5,2023-10-12T14:53:51Z,@quiet/mobile@1.10.10,2023-11-09T12:03:36Z
a6d816a4405838b1a93fa3daed584dca578d68f3,b871ff2567618f33ebba7a588cb07853da0f1838,quiet_diff15.json,@quiet/mobile@2023-10-5-test,2023-10-05T16:49:44Z,@quiet/state-manager@2.0.1-alpha.2,2023-10-09T06:53:52Z
116c9252146cf8da0769f14a37c7ced02ecc5076,a6d816a4405838b1a93fa3daed584dca578d68f3,quiet_diff16.json,@quiet/mobile@2.0.0-alpha.20,2023-10-05T12:44:57Z,@quiet/mobile@2023-10-5-test,2023-10-05T16:49:44Z
2d0197034e2a4c0b7bfb1fc23f66cf1a91817df7,8c0a114b8b156dc463d4e1610082d3e41875f5fb,quiet_diff18.json,@quiet/mobile@2.0.0-alpha.18,2023-10-04T11:48:23Z,@quiet/mobile@2.0.0-alpha.19,2023-10-04T15:02:03Z
17c818c60acac0df99c71f5ed76e30a0c711ae4a,2d0197034e2a4c0b7bfb1fc23f66cf1a91817df7,quiet_diff19.json,quiet@1.9.4,2023-10-03T14:49:44Z,@quiet/mobile@2.0.0-alpha.18,2023-10-04T11:48:23Z
4c2db16cc5508ba915370a834abf9fb65665aeb8,17c818c60acac0df99c71f5ed76e30a0c711ae4a,quiet_diff20.json,quiet@1.9.3,2023-10-03T12:09:19Z,quiet@1.9.4,2023-10-03T14:49:44Z
4c2db16cc5508ba915370a834abf9fb65665aeb8,17c818c60acac0df99c71f5ed76e30a0c711ae4a,quiet_diff22.json,@quiet/mobile@1.10.7,2023-10-03T12:09:19Z,@quiet/mobile@1.10.8,2023-10-03T14:49:44Z
4c2db16cc5508ba915370a834abf9fb65665aeb8,17c818c60acac0df99c71f5ed76e30a0c711ae4a,quiet_diff24.json,@quiet/backend@1.9.3,2023-10-03T12:09:19Z,@quiet/backend@1.9.4,2023-10-03T14:49:44Z
7d577cf4052a2e0f65dc0dd82fb98163eadb90f4,f56fcffe59395831bdf925a7046e4dc42dde3c75,quiet_diff29.json,quiet@1.9.2,2023-09-25T23:19:32Z,@quiet/mobile@1.10.7-1,2023-10-03T14:25:14Z
39f379e3dec91464279b3b6bcf777c0890a0e82a,7d577cf4052a2e0f65dc0dd82fb98163eadb90f4,quiet_diff30.json,@quiet/mobile@1.10.6-rc1,2023-09-25T22:19:38Z,quiet@1.9.2,2023-09-25T23:19:32Z
7d577cf4052a2e0f65dc0dd82fb98163eadb90f4,39f379e3dec91464279b3b6bcf777c0890a0e82a,quiet_diff31.json,@quiet/mobile@1.10.6,2023-09-25T23:18:51Z,@quiet/mobile@1.10.6-rc1,2023-09-25T22:19:38Z
1e8ce0524dc3a522a47ee31fe38a0acc556117e7,7d577cf4052a2e0f65dc0dd82fb98163eadb90f4,quiet_diff32.json,quiet@2.0.1-alpha.1,2023-09-25T14:03:08Z,@quiet/mobile@1.10.6,2023-09-25T23:18:51Z
90297cf6a8b41fc4755c0c17595ebe9f3bce4980,1e8ce0524dc3a522a47ee31fe38a0acc556117e7,quiet_diff33.json,quiet@2.0.1-alpha.0,2023-09-25T14:00:15Z,quiet@2.0.1-alpha.1,2023-09-25T14:03:08Z
1588e3959ad52466368d2e0583012a43a94d13b2,90297cf6a8b41fc4755c0c17595ebe9f3bce4980,quiet_diff34.json,@quiet/mobile@2.0.0-alpha.16,2023-09-25T12:03:56Z,quiet@2.0.1-alpha.0,2023-09-25T14:00:15Z
a6d4d9df2cf6481dd1958d36eea2c01eda2e1b01,1588e3959ad52466368d2e0583012a43a94d13b2,quiet_diff35.json,@quiet/mobile@2.0.0-alpha.15,2023-09-22T12:57:42Z,@quiet/mobile@2.0.0-alpha.16,2023-09-25T12:03:56Z
716d240bfb74d45f0af997dd18fbb36daf4b374b,7b122f84ce08a481e0d868199ed5463e28cd7e65,quiet_diff51.json,quiet@2.0.0-alpha.9,2023-09-18T10:31:54Z,@quiet/backend@2.0.0-alpha.5,2023-09-19T08:10:36Z
f1ff03b782320688cdded3702892e2a65bb8b3d9,716d240bfb74d45f0af997dd18fbb36daf4b374b,quiet_diff60.json,quiet@1.9.1,2023-09-15T07:15:47Z,@quiet/backend@2.0.0-alpha.4,2023-09-18T10:31:54Z
b890ece2c5324fef09317eb565d7368f989fab6e,cbe9c8dc03ae057250cf8635036acc803fa5abe8,quiet_diff67.json,@quiet/mobile@1.10.3,2023-09-15T09:38:55Z,@quiet/mobile@1.10.4,2023-09-15T10:16:23Z
