Base,Head,Filename,Base Tag,Base Date,Head Tag,Head Date
5355e6882c81760134c29c5c23f9435e571f4eef,5ab89da006339320b52c741c5bdd5c5c5f8a4f78,react-native-code-push_diff1.json,v8.1.0,2023-08-21T06:13:35Z,v8.1.1,2023-12-19T11:39:01Z
3c6986b2cadde2a0ed456d6f37399f2ea60fc6a9,5355e6882c81760134c29c5c23f9435e571f4eef,react-native-code-push_diff2.json,v8.0.2,2023-05-24T11:48:24Z,v8.1.0,2023-08-21T06:13:35Z
19ae61f0afec7a33732fac36a77bc5c53fc36ea7,3c6986b2cadde2a0ed456d6f37399f2ea60fc6a9,react-native-code-push_diff3.json,v8.0.1,2023-04-19T12:10:04Z,v8.0.2,2023-05-24T11:48:24Z
95a471b7b043d8ee640f9dd5d595ac5ce23936bc,19ae61f0afec7a33732fac36a77bc5c53fc36ea7,react-native-code-push_diff4.json,v8.0.0,2023-03-24T17:26:13Z,v8.0.1,2023-04-19T12:10:04Z
98cbc9c4c12c84c8e9780514a8be1a2a604a4205,95a471b7b043d8ee640f9dd5d595ac5ce23936bc,react-native-code-push_diff5.json,v7.1.0,2023-01-19T09:41:35Z,v8.0.0,2023-03-24T17:26:13Z
bd883b848cbc2a95b86ea081607a244190e10476,98cbc9c4c12c84c8e9780514a8be1a2a604a4205,react-native-code-push_diff6.json,v7.0.5,2022-07-28T08:02:38Z,v7.1.0,2023-01-19T09:41:35Z
d2f5d0e0fbcebf08f107665c4a59bf2c476f2de5,bd883b848cbc2a95b86ea081607a244190e10476,react-native-code-push_diff7.json,v7.0.4,2021-10-12T12:51:41Z,v7.0.5,2022-07-28T08:02:38Z
b9fb9fbe106dddb194940fa906364f80e4268c44,d2f5d0e0fbcebf08f107665c4a59bf2c476f2de5,react-native-code-push_diff8.json,v7.0.3,2021-09-21T11:52:24Z,v7.0.4,2021-10-12T12:51:41Z
a9d5e767c6760ce5a53068f6144c660a769f1a00,b9fb9fbe106dddb194940fa906364f80e4268c44,react-native-code-push_diff9.json,v7.0.2,2021-08-25T07:28:22Z,v7.0.3,2021-09-21T11:52:24Z
9947037a985a04927c64624318e4ce64d43d2049,d35a02606ddde84645f9966e5ca27a9ffce92bfe,react-native-code-push_diff11.json,7.0.0,2021-01-06T13:47:31Z,v7.0.1,2021-04-15T12:18:52Z
b15a019f2c263d15a3087dd11fb964f0222a114f,9947037a985a04927c64624318e4ce64d43d2049,react-native-code-push_diff12.json,v6.4.1,2020-12-16T15:30:52Z,7.0.0,2021-01-06T13:47:31Z
34508a6c8f4c84bc50542a9ca8fa20a709d20199,0a3db5a139991e5a103576a7d3ad581b8fe523ca,react-native-code-push_diff14.json,v6.3.0,2020-07-15T13:11:48Z,v6.4.0,2020-11-05T12:02:31Z
ac97022b54c9b111b0fec03ea71cd7a7689159e7,34508a6c8f4c84bc50542a9ca8fa20a709d20199,react-native-code-push_diff15.json,v6.2.1,2020-05-29T08:53:52Z,v6.3.0,2020-07-15T13:11:48Z
