Base,Head,Filename,Base Tag,Base Date,Head Tag,Head Date
91bd94c3b4f548f49a1af123f0ff5d6e8e694696,4246cb7d63d0d07ef4dbc42d60eecde30d6ff222,redisgraph_diff2.json,v2.10.15,2023-09-14T12:57:56Z,v2.12.9,2023-09-14T17:09:15Z
522a8a9b954bf99219f0817029ab56497208eaf1,01a2f33ada202d5781d5ab74a7033959f52a8c55,redisgraph_diff4.json,v2.12.3,2023-06-29T11:14:48Z,v2.10.12,2023-07-10T12:07:38Z
220683c4f3a0064d870b76d9dba58f81b814ef83,522a8a9b954bf99219f0817029ab56497208eaf1,redisgraph_diff5.json,v2.10.11,2023-06-18T13:29:49Z,v2.12.3,2023-06-29T11:14:48Z
1c76edc105c39109a7c864788d586f9a538cdc6c,220683c4f3a0064d870b76d9dba58f81b814ef83,redisgraph_diff6.json,v2.12.1,2023-05-03T05:44:28Z,v2.10.11,2023-06-18T13:29:49Z
aaf1fc9cd54a3890745422ea63109b1c0c5c1d7e,1c76edc105c39109a7c864788d586f9a538cdc6c,redisgraph_diff7.json,v2.10.10,2023-04-24T12:49:28Z,v2.12.1,2023-05-03T05:44:28Z
5bc30b529676b2432aabdc61bb1df52c19c68463,684918cc14df9a645fb40802cea07af07d49035e,redisgraph_diff9.json,v2.8.26,2023-03-06T09:58:37Z,v2.10.9,2023-03-01T17:48:21Z
fb85fd498d6e961afbae2762486308f423a607b0,d7cf7cc700515e7c0ba37ba99795a030ad58525f,redisgraph_diff11.json,v2.10.8,2023-02-01T11:25:46Z,v2.8.25,2023-02-20T08:59:27Z
5251eb4addb7798e28d6408e0d449430b390a82d,fb85fd498d6e961afbae2762486308f423a607b0,redisgraph_diff12.json,v2.8.24,2023-02-04T18:38:10Z,v2.10.8,2023-02-01T11:25:46Z
fa83660a954b6606bfdb5787b1995db24d747744,5251eb4addb7798e28d6408e0d449430b390a82d,redisgraph_diff13.json,v2.8.21,2023-01-02T07:32:33Z,v2.8.24,2023-02-04T18:38:10Z
6a41fbbe97c5bc927cdebc82ca876c74f8b0e73b,fa83660a954b6606bfdb5787b1995db24d747744,redisgraph_diff14.json,v2.10.5,2022-12-28T17:18:21Z,v2.8.21,2023-01-02T07:32:33Z
0d0ebf75048e97129f3ca61e9de933f038879634,b7be2837fb42355268878d188f39c7fccabdaac7,redisgraph_diff17.json,v2.8.20,2022-09-22T08:14:10Z,v2.10.2,2022-10-30T06:49:28Z
