Base,Head,Filename,Base Tag,Base Date,Head Tag,Head Date
b738b6cc21dbfe733e4b1d7225eb84e4fc8c6787,b40024293870ef63a7b68bcbf9178a91ce4c5e95,score_diff1.json,v3.1.11,2023-06-23T21:17:08Z,v3.1.12,2023-10-30T14:55:10Z
0c45452a48846bfcc9cfc3119a3e34ffe2f49c67,b738b6cc21dbfe733e4b1d7225eb84e4fc8c6787,score_diff2.json,v3.1.10,2023-05-07T03:08:29Z,v3.1.11,2023-06-23T21:17:08Z
0ad290b3ff99144eb89bd4b17a97d15538591455,48dddd47de02e078649f30f94051dfd3244b3420,score_diff7.json,v3.1.5,2022-11-30T00:31:55Z,v3.1.6,2023-01-09T15:11:59Z
d2aab23a27ae04d45097f4d5753ebfbbe09e0c18,518792eb151bc26f8519f44a6791f727df88f5c0,score_diff12.json,v3.1.0,2022-07-30T18:13:21Z,v3.1.1,2022-08-23T08:41:57Z
45b5db10f9c122878a3f63b595d7a1ed1fcd1d9b,26ccd964aca93d4540fb6f383ab4fabf4b012d5f,score_diff14.json,v3.0.11,2022-06-13T22:38:36Z,v3.0.12,2022-07-17T20:51:38Z
54303b69516d2b9e3c7a945ab4aa20c25d16c85d,db315bd1c8bcdd26db1b38c185325e7605b4a32c,score_diff32.json,v3.0.0-rc1,2021-09-30T13:53:36Z,v3.0.0-rc2,2021-11-18T17:55:34Z
6ef5c108e940a7e1050b9f544ff7a870755d6214,2e1dcc9792da3afeefca7881dca6fb0b7ed3be60,score_diff46.json,v3.0.0-a39,2021-06-06T14:28:57Z,v3.0.0-a40,2021-07-25T09:56:50Z
1ef0918ed4bd48958d0b4281d7bd3ec542f7f586,a8a96b0199e013a444228ee01a05edb0b2614705,score_diff55.json,v3.0.0-a30,2021-04-09T23:13:05Z,v3.0.0-a31,2021-04-20T19:25:10Z
563e0b565f64bd71e5b523f24657d7de311a40cc,3cfecb5e27289eb0b53e3960cf491405feb8044d,score_diff62.json,v3.0.0-a22,2021-02-01T15:03:34Z,v3.0.0-a24,2021-03-09T09:44:08Z
04d0b9abffd719b78940e886576a19b964f0eb07,563e0b565f64bd71e5b523f24657d7de311a40cc,score_diff63.json,v3.0.0-a21,2020-11-30T23:40:05Z,v3.0.0-a22,2021-02-01T15:03:34Z
