Base,Head,Filename,Base Tag,Base Date,Head Tag,Head Date
8f846eda6e96027b119e96ac9a61fc33192655d4,4bc981dbc1010c155b0d9129cc238232cc31d2e2,sfall_diff1.json,v3.8.41,2023-11-20T13:30:18Z,v4.4.1,2023-11-20T13:31:39Z
71e3ee4801a2a52edcc4c7c1f18c2048b25e4941,7e2eaf0724aafc1507f706cd9c17934afe529a0c,sfall_diff3.json,v3.8.40.1,2023-08-24T14:11:47Z,v4.4.0.1,2023-08-24T14:12:48Z
59eacce6be0de3dbed9a9ea043a6784b3b8efd45,228f8966f27ab86c865d38442823ced2e51b6bc1,sfall_diff5.json,v3.8.40,2023-08-22T01:46:37Z,v4.4,2023-08-22T01:47:31Z
765b19e045e9d76e88167803b2172b166392600a,99de222605b3b7bb30100d2652f55236b5418f22,sfall_diff7.json,v3.8.38,2023-03-31T14:16:48Z,v4.3.8,2023-03-31T14:17:43Z
aea263edddb4ceeba016548b6fa60ef42ed09b6c,c4b55734d1da3cba41e5e35794b44623da0dd801,sfall_diff9.json,v3.8.37,2022-08-27T13:47:01Z,v4.3.7,2022-08-27T13:47:24Z
e24e616d5cc9dda9d73ccb21577291217a84f248,543198cc89b8ff201fe2b9e3b2385f44f9344080,sfall_diff11.json,v3.8.36,2022-07-08T13:11:55Z,v4.3.6,2022-07-08T13:12:21Z
b10fb8c162b420bb42049008038a8e79553569ce,6b97ad4bcf6a2c57488a78d30e15a2e87074e50c,sfall_diff13.json,v3.8.35,2022-05-30T13:07:52Z,v4.3.5,2022-05-30T13:08:56Z
c427604d8d455b6169ebdf5eb97838ddbdecc519,0a5a4e569ea8e2db3fa9866b47082a66695bbbd4,sfall_diff15.json,v3.8.34,2022-04-07T12:56:50Z,v4.3.4,2022-04-07T12:58:41Z
b1323fc07a1dc42253d85a931e4af4f07fd310fa,3f2f3560adfb4b27cbd764d9dae6bc59ae19088d,sfall_diff17.json,v3.8.33.1,2022-02-17T02:55:39Z,v4.3.3.1,2022-02-17T02:56:34Z
d2b3529ed0b0759ccccda276eb57521a9e290195,41b4b773a3536365e83c3eba23f3073fac57c06e,sfall_diff19.json,v3.8.33,2022-01-20T05:56:00Z,v4.3.3,2022-01-20T05:57:04Z
87eeeeaa9567f605e934a883dfa1c23dd684e2f5,281823e97d2a104b50aa1f78bb507db92f481a31,sfall_diff21.json,v3.8.32,2021-11-10T01:28:42Z,v4.3.2,2021-11-10T01:29:11Z
eecf763ab7477f22c8bfd21c432a362aca04ee85,c9ce0aa0ce34fc6c4ea422eaf548a1f87818fdd3,sfall_diff23.json,v3.8.31,2021-10-15T04:40:19Z,v4.3.1,2021-10-15T11:08:55Z
f51e9c8ef5df0762f6edfc4a25474a9435934dfb,ec6d25da3d0e5b72c6a2dc1e2b0adf2af0dc6e40,sfall_diff25.json,v3.8.30.2,2021-06-26T18:23:45Z,v4.3.0.2,2021-06-26T18:25:27Z
0b185a202221af9eb78ffc3f0d70ccf768432e9c,dec97f22c7effdb70e5dddd48518de1e4f7caa62,sfall_diff27.json,v3.8.30.1,2021-06-10T00:45:41Z,v4.3.0.1,2021-06-10T00:47:06Z
f7a1bd604f0d252d71964b966d62702ce9b9dbf1,fb74f37372972504d54aec136bea0f66f170137d,sfall_diff29.json,v3.8.30,2021-06-01T04:21:03Z,v4.3,2021-06-01T04:23:15Z
