Base,Head,Filename,Base Tag,Base Date,Head Tag,Head Date
669916b56106a72a7f79ab8b4a7898e77b28b49e,114b833e755400178a57142f45b7fb892ddb034f,stellar-core_diff1.json,v20.0.2,2023-12-20T04:08:26Z,v20.1.0,2024-01-09T22:04:05Z
a08874a4c2b561f14a9e09b19204fac27c24c9f1,669916b56106a72a7f79ab8b4a7898e77b28b49e,stellar-core_diff2.json,v20.0.1,2023-12-14T17:39:14Z,v20.0.2,2023-12-20T04:08:26Z
6177299100b114aa108584053414371f38aebf53,a08874a4c2b561f14a9e09b19204fac27c24c9f1,stellar-core_diff3.json,v20.0.0,2023-12-04T22:55:08Z,v20.0.1,2023-12-14T17:39:14Z
22088c1f2944be11e3ca34d7102dcaf7847a047c,6177299100b114aa108584053414371f38aebf53,stellar-core_diff4.json,v20.0.0rc2,2023-09-20T17:46:52Z,v20.0.0,2023-12-04T22:55:08Z
5664eff4e76ca6a277883d4085711dc3fa7c318a,22088c1f2944be11e3ca34d7102dcaf7847a047c,stellar-core_diff5.json,v19.14.0,2023-09-19T21:42:55Z,v20.0.0rc2,2023-09-20T17:46:52Z
c2599d62274931c11ea7f36c5ee9255a202f5739,ecb24df104c2453a00fa5097d2e879d7731b9596,stellar-core_diff7.json,v19.13.0,2023-08-02T23:30:51Z,v20.0.0rc1,2023-09-15T21:45:51Z
2109a168a895349f87b502ae3d182380b378fa47,c2599d62274931c11ea7f36c5ee9255a202f5739,stellar-core_diff9.json,v19.12.0,2023-07-10T19:08:47Z,v19.13.0rc1,2023-07-24T21:18:03Z
9c0e0c88debe972245195fddc3c8ca7ddd893618,2109a168a895349f87b502ae3d182380b378fa47,stellar-core_diff11.json,v19.12.0rc1,2023-06-21T18:48:57Z,v19.12.0rc2,2023-06-30T03:38:26Z
7fb6d5e8858fed6ea365f8717b0266635f578477,9c0e0c88debe972245195fddc3c8ca7ddd893618,stellar-core_diff12.json,v19.11.0,2023-05-30T22:44:31Z,v19.12.0rc1,2023-06-21T18:48:57Z
bff2c2b37402acc61166c0f369da1205efbe8c9d,9072cc16d1b2a6c726ab5825bb447c2f2468eaab,stellar-core_diff15.json,v19.10.0,2023-05-02T03:53:09Z,v19.11.0rc1,2023-05-23T18:38:31Z
064a2787acb9e98c70567523785333581ee1ffa4,bff2c2b37402acc61166c0f369da1205efbe8c9d,stellar-core_diff17.json,v19.9.0,2023-04-04T22:01:59Z,v19.10.0rc1,2023-04-24T18:53:11Z
040a29c5123fcdd8d8c4dc4f3f7a3d496627f4b2,064a2787acb9e98c70567523785333581ee1ffa4,stellar-core_diff19.json,v19.8.0,2023-02-28T18:00:43Z,v19.9.0rc1,2023-03-24T16:43:38Z
7249363c60e7ddf796187149f6a236f8ad244b2b,040a29c5123fcdd8d8c4dc4f3f7a3d496627f4b2,stellar-core_diff21.json,v19.7.0,2023-01-31T18:50:48Z,v19.8.0rc1,2023-02-21T19:40:23Z
b3a6bc28116e80bff7889c2f3bcd7c30dd1ac4d6,7249363c60e7ddf796187149f6a236f8ad244b2b,stellar-core_diff23.json,v19.6.0,2022-12-06T01:15:13Z,v19.7.0rc1,2023-01-24T03:31:54Z
0e421d0b8864675f6f4052bffe171490b910a3f0,b3a6bc28116e80bff7889c2f3bcd7c30dd1ac4d6,stellar-core_diff24.json,v19.6.0rc1,2022-11-30T17:07:09Z,v19.6.0,2022-12-06T01:15:13Z
ca2fb06059c15442cb4c9a8c89de1a8fc3579a39,0e421d0b8864675f6f4052bffe171490b910a3f0,stellar-core_diff25.json,v19.5.0,2022-11-01T23:13:01Z,v19.6.0rc1,2022-11-30T17:07:09Z
9ce6dc4e9889ce86083c0e3ba2e773e0ff2ced3a,f49b17389a31ba091453a164b39be0ae2ea14b1d,stellar-core_diff29.json,v19.3.0,2022-07-27T21:34:39Z,v19.4.0rc1,2022-09-19T23:24:13Z
d18d54aa355dd1800e256f3462685b191bf57db0,919ba0e5cbd281cc9cfbe483aac24a8367963933,stellar-core_diff32.json,v19.2.0,2022-06-24T17:05:54Z,v19.3.0rc1,2022-07-19T13:36:09Z
e801fd93b2757bebb18ae8b4550afba444d225af,91336c90e59c1be0584324e443bd44520a3a4ecf,stellar-core_diff34.json,v19.1.0,2022-05-31T16:35:27Z,v19.2.0rc1,2022-06-22T15:34:11Z
2b38097cbe980b0b602db023956a37460d5bd29d,e801fd93b2757bebb18ae8b4550afba444d225af,stellar-core_diff36.json,v19.0.1,2022-05-09T23:40:50Z,v19.1.0rc1,2022-05-23T15:59:01Z
b9e10051eafa1125e8d238a47e5915dad30c2640,fbc0325759ff75dd250cb5e175978669cdb4e90a,stellar-core_diff65.json,v17.1.0rc1,2021-05-18T01:02:56Z,v17.1.0rc2,2021-05-20T16:56:50Z
ff56e7f207b918aae53710abcc001511ead7ece9,a53cc5976371249d6f429861f9a4f4791554d30d,stellar-core_diff70.json,v15.4.0,2021-03-30T00:38:17Z,v15.5.0,2021-04-07T19:31:21Z
90b2780584c6390207bf09291212d606896ce9f8,54b03f755ae5d5aa12a799c8f1ee4d87fc9d1a1d,stellar-core_diff76.json,v15.1.0,2020-11-24T01:01:32Z,v15.2.0rc1,2021-01-13T01:41:30Z
8d6e6d74cfae65943211bdcc5ba083976d525a04,cc7a7ae37b689adb27fa1241303982149526b078,stellar-core_diff79.json,v15.0.0,2020-10-27T16:22:07Z,v15.1.0rc1,2020-11-16T19:38:33Z
