Base,Head,Filename,Base Tag,Base Date,Head Tag,Head Date
6c65ac8d81c6373f2e01e855431f59e47eb12bd8,a435ec84b41510d95cfd7af7ef9a4616d71d5e74,tasmota_diff4.json,v12.5.0,2023-04-17T08:29:22Z,v13.0.0,2023-06-26T11:10:38Z
e8edf976dacf1e636a4119268280c983a595c6c3,fbbf8ff7819142e3efd938391bb038574a681dec,tasmota_diff6.json,v12.3.1,2022-12-16T10:44:46Z,v12.4.0,2023-02-24T15:49:12Z
4fb3d9cb41662b3ad03f207183684769e8297ad5,e8edf976dacf1e636a4119268280c983a595c6c3,tasmota_diff7.json,v12.2.0,2022-10-17T08:55:26Z,v12.3.1,2022-12-16T10:44:46Z
e71235ea3a397c0cd4593c33606b6778bf8fb66d,4fb3d9cb41662b3ad03f207183684769e8297ad5,tasmota_diff8.json,v12.1.1,2022-08-25T11:50:49Z,v12.2.0,2022-10-17T08:55:26Z
d157b1c5e0639f8ff29eba01fa3c181a01ae211c,4074d82ac7636296293d92cac8f8ffd57094ffb2,tasmota_diff11.json,v11.1.0,2022-04-13T06:53:31Z,v12.0.2,2022-06-20T12:56:48Z
6d5227ba75acc1bb1bae967399088ed604b63e29,e5d576b5076874def7c990ff4ee1c3db8cf8207e,tasmota_diff14.json,v10.0.0,2021-10-19T08:08:38Z,v10.1.0,2021-12-08T15:01:09Z
cbc74ab8737f28d1caec3d2bb34b635ce080d515,6d5227ba75acc1bb1bae967399088ed604b63e29,tasmota_diff15.json,v9.5.0,2021-06-17T08:38:51Z,v10.0.0,2021-10-19T08:08:38Z
61adb53da664a983765c16607b026ec073d96ebd,cbc74ab8737f28d1caec3d2bb34b635ce080d515,tasmota_diff16.json,v9.4.0,2021-04-23T10:10:12Z,v9.5.0,2021-06-17T08:38:51Z
3f7071c6b9caaf3ace325c096f2e201a0a1f11df,61adb53da664a983765c16607b026ec073d96ebd,tasmota_diff17.json,v9.3.1,2021-02-23T15:13:06Z,v9.4.0,2021-04-23T10:10:12Z
0489d3fc9adde30a248f65266c3f9b9703f63f28,96d4e60680b72637fa379e8d5cbd836f20a32f22,tasmota_diff19.json,v9.2.0,2020-12-21T16:06:44Z,v9.3.0,2021-02-19T11:25:13Z
e035bdb71f8831491a4c0a971125893d1b2998c6,0489d3fc9adde30a248f65266c3f9b9703f63f28,tasmota_diff20.json,v9.1.0,2020-11-07T13:55:38Z,v9.2.0,2020-12-21T16:06:44Z
e076b50dfcb66df6e52f9761e92bbc7f52f9b778,e035bdb71f8831491a4c0a971125893d1b2998c6,tasmota_diff21.json,v8.5.1,2020-10-02T10:04:00Z,v9.1.0,2020-11-07T13:55:38Z
5b3d673deaafae0099b644b79327a2b48131bcde,b59a8a7966b7bb55e2b6d41a14e1ef66cd4667c4,tasmota_diff24.json,v8.3.1,2020-05-18T14:01:24Z,v8.4.0,2020-07-29T14:27:55Z
0fa559d143a05b63e88f12b7aeddc923e1051615,ae2c50cbe449c073fba789a759bb27adb09a56b8,tasmota_diff26.json,v8.2.0,2020-03-21T10:06:31Z,v8.3.0,2020-05-14T14:45:00Z
b19689da76c8095a228300e911b2fc83b34f9647,7bafb0f897fbbd5ae8a0dac039b4545318bd7733,tasmota_diff33.json,v6.6.0,2019-07-06T13:00:01Z,v6.7.1,2019-10-26T12:16:45Z
6d58580446b5456dfaa682420963ed7978d0e149,173c19d1594ff51d321c7bf3d2b3e3a4a75be955,tasmota_diff37.json,v6.3.0,2018-10-30T16:59:03Z,v6.4.0,2018-12-16T14:40:11Z
