Base,Head,Filename,Base Tag,Base Date,Head Tag,Head Date
234463fcca65f3f1d08a1f245570e4e5d5d272e2,e38f1a2473c648d5254c33f89ba67f6bc3278c5c,tdengine_diff1.json,ver-3.2.1.0,2023-11-17T06:55:42Z,ver-3.2.2.0,2023-12-22T01:19:58Z
0d8276ba747cc7bff8af0ac1e2f5ba153fad928c,234463fcca65f3f1d08a1f245570e4e5d5d272e2,tdengine_diff2.json,ver-3.2.0.0,2023-10-30T02:18:49Z,ver-3.2.1.0,2023-11-17T06:55:42Z
b5fafb321d749d1f05254d8be375a2ba58f63107,0d8276ba747cc7bff8af0ac1e2f5ba153fad928c,tdengine_diff3.json,ver-3.1.1.4,2023-09-20T03:56:54Z,ver-3.2.0.0,2023-10-30T02:18:49Z
56679a7b20ba3635dd3e08116b604afc474b1ecb,b12411d48d57d54881ef72defd8a37c6fea0dc48,tdengine_diff9.json,ver-3.0.7.1,2023-07-17T02:19:49Z,ver-3.1.0.0,2023-08-10T03:37:47Z
e6ddaa7d4e7d0a7909ad16bf15f237bab25dd860,dfd26aa58182ac72745144d57932d58b5b0dcf2e,tdengine_diff13.json,ver-3.0.5.0,2023-06-08T01:52:09Z,ver-3.0.5.1,2023-06-19T00:41:53Z
a54eaa20ffe37bcf6ffd59291ed0b52c530f78b5,e6ddaa7d4e7d0a7909ad16bf15f237bab25dd860,tdengine_diff14.json,ver-3.0.4.2,2023-05-25T03:29:49Z,ver-3.0.5.0,2023-06-08T01:52:09Z
b3acd9b1825567f9848f6f3717814efa439206ab,14dc9eabc403e731ba1097eca0bcaa902c6d5b62,tdengine_diff16.json,ver-3.0.4.0,2023-04-17T02:18:20Z,ver-3.0.4.1,2023-04-28T01:03:21Z
ac5f91a9f6726d698a534dd694fb573db669657d,9d1ed5551bf99fe8ffcae8800727d9ee2a0aae3f,tdengine_diff18.json,ver-3.0.3.1,2023-03-22T02:45:22Z,ver-3.0.3.2,2023-04-06T09:13:11Z
4c6983592deede5ac17955f9dabc136ea6b84487,ac5f91a9f6726d698a534dd694fb573db669657d,tdengine_diff19.json,ver-3.0.3.0,2023-03-10T05:47:48Z,ver-3.0.3.1,2023-03-22T02:45:22Z
0993813213efe3e18a0fcb5ab26538b811451798,4c6983592deede5ac17955f9dabc136ea6b84487,tdengine_diff20.json,ver-3.0.2.6,2023-03-01T08:56:49Z,ver-3.0.3.0,2023-03-10T05:47:48Z
4bde7ac8fbebc3aa9143124bfcbd08645c46a037,1c5390322bf2e5511e366cb25f4a9ab20e63bdad,tdengine_diff22.json,ver-3.0.2.4,2023-01-29T08:38:08Z,ver-3.0.2.5,2023-02-08T09:15:34Z
dc5dfa43996b7f540b98080ceed754cfa0c6d546,c09602bcde83fbaba1d9bb29ab53f474ec0607b5,tdengine_diff25.json,ver-2.6.0.34,2022-12-23T07:18:11Z,ver-3.0.2.2,2023-01-29T08:20:37Z
9cf70d8b0ed41b032d097c3a1e07b083695ba77d,dc5dfa43996b7f540b98080ceed754cfa0c6d546,tdengine_diff26.json,ver-3.0.2.1,2022-12-26T11:13:58Z,ver-2.6.0.34,2022-12-23T07:18:11Z
9371242f2eed534e8ac3e625b4d3c84f19e58856,37f4d4f4a4148d9fcd741ee7ff165f38a21fa519,tdengine_diff28.json,ver-2.6.0.32,2022-12-04T11:49:10Z,ver-3.0.2.0,2022-12-12T01:53:58Z
