Base,Head,Filename,Base Tag,Base Date,Head Tag,Head Date
0bd27896a2bb8eddd91b2b5391c9bcd8ad74da00,547a9b43d1b7257daa2e54fe196b1c9a660ae480,tectonic_diff1.json,tectonic_engine_bibtex@0.2.1,2023-06-15T00:57:56Z,continuous,2023-12-06T14:35:37Z
e9b786655cac895bb148c5bfa3fc4cec6a01d72f,afff71914daa869a05c31f9e7b95cdc19c61cd8e,tectonic_diff9.json,tectonic_bridge_harfbuzz@0.2.8,2023-05-22T22:30:48Z,tectonic@0.14.0,2023-06-12T02:06:26Z
788a65471db1f548b4152d0a6764c4b8241e3198,e9b786655cac895bb148c5bfa3fc4cec6a01d72f,tectonic_diff11.json,tectonic_xetex_layout@0.2.2,2023-05-18T03:48:08Z,tectonic@0.13.1,2023-05-22T22:30:48Z
4dd8c217fd6483a53ed03e993e388e81d29d1265,8c2a5167730dc6f13984e40b4cb85e1ba2041554,tectonic_diff30.json,tectonic_pdf_io@0.4.0,2022-10-27T16:46:13Z,tectonic@0.13.0,2023-05-18T13:57:33Z
d752d299b61aa8da95ebbc39dd20be764e459403,4dd8c217fd6483a53ed03e993e388e81d29d1265,tectonic_diff34.json,tectonic_xdv@0.2.1,2022-10-04T16:55:39Z,tectonic@0.12.0,2022-10-27T16:46:13Z
50abb1d0f34b4452d3e3e225adfcced502c58113,d752d299b61aa8da95ebbc39dd20be764e459403,tectonic_diff39.json,tectonic_xetex_layout@0.2.1,2022-10-03T13:04:36Z,tectonic@0.11.0,2022-10-04T16:55:39Z
9818a77a5cc21ae3b40835f7ab591a0d44df35a7,50abb1d0f34b4452d3e3e225adfcced502c58113,tectonic_diff51.json,tectonic@0.9.0,2022-04-27T03:17:06Z,tectonic@0.10.0,2022-10-03T13:04:36Z
7533c0b574808d74fdc8f1f2e4caaa0b5cfed9d4,9818a77a5cc21ae3b40835f7ab591a0d44df35a7,tectonic_diff52.json,tectonic_xetex_layout@0.2.0,2022-04-26T14:37:48Z,tectonic@0.9.0,2022-04-27T03:17:06Z
4c0c0f49420cf80a8876cc3a54ed192deb99ba95,7533c0b574808d74fdc8f1f2e4caaa0b5cfed9d4,tectonic_diff59.json,tectonic_engine_spx2html@0.1.1,2022-03-02T04:47:07Z,tectonic_bridge_harfbuzz@0.2.5,2022-04-26T14:37:48Z
810f924e9538acf6ba2680de255e3bee1840cc62,dc70ec654c1780e6d153f8f99ffa8ae22d3a3e98,tectonic_diff61.json,tectonic_xetex_format@0.1.0,2022-02-28T16:04:15Z,tectonic@0.8.2,2022-03-02T15:58:58Z
810f924e9538acf6ba2680de255e3bee1840cc62,2d12708e3a90d5015117b922ad483a9fe0d5d7d7,tectonic_diff67.json,tectonic_docmodel@0.1.2,2022-02-28T16:04:15Z,tectonic_engine_spx2html@0.1.0,2022-02-28T19:41:12Z
9824f99fb3277b2500971f99a32b2b93592c5842,48a8770d2273d9e4a788aba637e0730abec5925f,tectonic_diff71.json,tectonic_xetex_layout@0.1.1,2021-10-11T19:18:19Z,tectonic@0.8.1,2022-02-28T22:49:51Z
