Base,Head,Filename,Base Tag,Base Date,Head Tag,Head Date
e85c491ffd5895e022f249abf9e24210384513f8,331ff291f56e7781c283fbc89ae7c93e33a963f6,tenzir_diff2.json,v4.6.4,2023-12-07T17:00:41Z,v4.7.0,2023-12-19T19:14:36Z
c41b6dd1bdb07227bc764d726cdf61c17f27c1da,e85c491ffd5895e022f249abf9e24210384513f8,tenzir_diff3.json,v4.6.3,2023-12-04T15:15:08Z,v4.6.4,2023-12-07T17:00:41Z
5c42ed2c30814b7215982c0f2875f8851b677b7a,99360a960a128d1dfaa5aedad4401a7b910b57bb,tenzir_diff7.json,v4.5.0,2023-11-16T14:39:01Z,v4.6.0,2023-12-01T14:52:32Z
a4241ad87a5d3ceef2c43939f32b620ed3913e20,5c42ed2c30814b7215982c0f2875f8851b677b7a,tenzir_diff8.json,v4.4.0,2023-11-06T15:27:49Z,v4.5.0,2023-11-16T14:39:01Z
948b9389bdfb8f95768b9a649af500736b90be02,a4241ad87a5d3ceef2c43939f32b620ed3913e20,tenzir_diff9.json,v4.3.0,2023-10-10T11:09:57Z,v4.4.0,2023-11-06T15:27:49Z
820715a5bbc0af8f89aa8951eccea882717275db,948b9389bdfb8f95768b9a649af500736b90be02,tenzir_diff10.json,v4.2.0,2023-09-19T12:02:41Z,v4.3.0,2023-10-10T11:09:57Z
5ae3233cddb46d24988be56fa4f84f3aec5302ca,820715a5bbc0af8f89aa8951eccea882717275db,tenzir_diff11.json,v4.1.0,2023-08-31T11:46:58Z,v4.2.0,2023-09-19T12:02:41Z
eb53264879e82dda9c0ad6a6a95d73d129e1de80,5ae3233cddb46d24988be56fa4f84f3aec5302ca,tenzir_diff12.json,v4.0.1,2023-08-09T16:12:32Z,v4.1.0,2023-08-31T11:46:58Z
8d6d3841924dbc66b904f841dab53cce38254649,475e7f12004e90f840bb8d256794f10cdfd1b189,tenzir_diff15.json,v4.0.0-rc11,2023-07-27T12:34:53Z,v4.0.0-rc12,2023-08-04T09:40:09Z
725811606d7db2803b82e65489cb9c42dd0b1693,510fd356d5d1521792519563de590b8edfe45ddc,tenzir_diff18.json,v4.0.0-rc8,2023-07-12T13:58:36Z,v4.0.0-rc9,2023-07-24T14:01:52Z
2d2bafe55d504a34d8675ac757844017f2f5a8a4,725811606d7db2803b82e65489cb9c42dd0b1693,tenzir_diff19.json,v4.0.0-rc7,2023-07-10T10:04:29Z,v4.0.0-rc8,2023-07-12T13:58:36Z
cf88c2fab441bf4a150de0c755149ad907f68b2d,99b166e02b51241cd8fb5e04f5809ac393fced0c,tenzir_diff23.json,v4.0.0-rc2,2023-07-03T16:23:54Z,v4.0.0-rc4,2023-07-06T14:49:50Z
87046bae0ba2dfe0574dcef5748f185d36a1c4c5,845b132b152952d4902ec95896efdf4045164b52,tenzir_diff25.json,v3.1.0,2023-05-12T10:01:23Z,v4.0.0-rc1,2023-06-29T06:53:08Z
677474b6a134b000a34e407e414be4bfc08a61c4,87046bae0ba2dfe0574dcef5748f185d36a1c4c5,tenzir_diff26.json,v3.1.0-rc2,2023-05-11T20:06:10Z,v3.1.0,2023-05-12T10:01:23Z
221b5994982c3df2a85110de554c50dbcf87d1e9,e6c0b4d0ca7382742b09ee23d83db3e407145ec2,tenzir_diff28.json,v3.0.4,2023-04-18T12:47:12Z,v3.1.0-rc1,2023-05-04T15:37:14Z
b40265f9b5e5822c5921a82d3a92d622c9d87aef,ba1f7e3910ecda91541d05a73081ffc163f53af7,tenzir_diff30.json,v2.4.2,2023-03-31T08:53:57Z,v3.0.3,2023-03-31T09:57:18Z
1186a3e853751f3ce396bec8a9ad14d88881625c,5aced1382cd7f59247bbb6858f47ae5138971b23,tenzir_diff35.json,v3.0.0-rc1,2023-03-03T15:06:57Z,v3.0.0-rc2,2023-03-11T08:49:09Z
67c73f26a774e6ea532bd3e4d779a42df8019f49,1186a3e853751f3ce396bec8a9ad14d88881625c,tenzir_diff36.json,v2.4.1,2022-12-19T14:13:55Z,v3.0.0-rc1,2023-03-03T15:06:57Z
ffb61ea7d7f7531dab3a8c37aba172181e3d917e,d249d3ebdc7221046b9286c00640a4d29a2fdf64,tenzir_diff39.json,v2.4.0-rc2,2022-11-18T15:59:37Z,v2.4.0-rc3,2022-12-07T11:59:25Z
ed486d7cbbb329ccb90ad3953b452b335ea552e8,ffb61ea7d7f7531dab3a8c37aba172181e3d917e,tenzir_diff40.json,v2.3.1,2022-10-14T15:42:10Z,v2.4.0-rc2,2022-11-18T15:59:37Z
9b28b10e4b46efa2f5f5e7ecfc11b5efb23fa267,db5e3a07dc07ffa2630a685a590846c11f51deed,tenzir_diff43.json,v2.3.0-rc3,2022-08-25T13:41:56Z,v2.3.0-rc4,2022-08-31T14:22:43Z
12890b61ad837d321aeb66509ffab2cd35d17b1d,5ecf296e6f6ac3ece2f62663e697902cb7c099e5,tenzir_diff45.json,v2.3.0-rc1,2022-08-17T14:45:07Z,v2.3.0-rc2,2022-08-23T14:58:06Z
