Base,Head,Filename,Base Tag,Base Date,Head Tag,Head Date
526d079c66bf85829b5d4d346a8b7fa33e83b576,e20fc64072713e3a3d9d4479d9e2302e762ace06,texstudio_diff2.json,4.7.2rc1,2023-12-17T19:09:45Z,4.7.2rc2,2023-12-22T18:31:57Z
1b9c42426347c098c27655d420f4b8c0372c0ab7,e8d3e13de58ffef1797cc107ed8f9163950ab0f2,texstudio_diff16.json,4.6.3,2023-08-11T16:27:24Z,4.7.0alpha1,2023-09-25T17:43:50Z
c94c22373c6740955cb247684f7bdb312d5577c1,901e3a4dfe9d4d8008af8fc58392553b3df54d8f,texstudio_diff53.json,4.3.1,2022-08-26T16:27:54Z,4.4.0beta1,2022-10-23T15:18:00Z
2587d772fad57584be8e2d511ab12cdae9a77392,64ce6bfebd3a4d1dac6833351ce81efe2b28e4b3,texstudio_diff60.json,4.2.3,2022-04-17T07:55:12Z,4.3.0alpha1,2022-05-27T17:48:07Z
3fe865cb0c04c64910fbff82d68fbd642a3e5e7d,bb392889d30929703475af105bb5ffb9268695c5,texstudio_diff62.json,4.2.2,2022-02-19T17:09:19Z,4.2.3rc1,2022-04-15T09:22:23Z
a670d4636f2c1575fa480824377ef28a05064239,5f1001ebb19ad6b3f3dd800c086073eb4f96696b,texstudio_diff94.json,3.1.1,2021-02-22T16:09:43Z,3.1.2beta1,2021-03-20T16:04:12Z
a6505b416a5abd8d363bd32a538152c8fffb785e,521aa59360ec361956f76ec6ca2fc3ccf53c5839,texstudio_diff102.json,3.0.4,2021-01-02T10:05:54Z,3.0.5beta1,2021-02-08T08:39:41Z
09f0098d0792b341d6707b8614361d97827a7ff2,098ef89d6f7c0b694b359dfb0fb1eaa498b80c4b,texstudio_diff107.json,3.0.1,2020-09-01T18:32:58Z,3.0.2beta1,2020-12-05T20:04:15Z
cd538c2ba3f81b2a96c9526c6b375f7e06872254,3668fe046701b009641a566e6bcfc5e281edbebb,texstudio_diff109.json,3.0.0rc3,2020-08-15T07:24:12Z,3.0.0,2020-08-24T19:28:20Z
d48d7f2670b0fd611f9228e3807916e740955433,ce6595446701aa6e9967a53d8281fa09ddfd56b1,texstudio_diff120.json,2.12.22,2020-01-18T09:17:13Z,3.0.0alpha2,2020-02-28T21:24:41Z
