Base,Head,Filename,Base Tag,Base Date,Head Tag,Head Date
b28ebb9172d16e417ddc78ba9e73e2fc2a901418,647158b124fa78e330ba0e9423c0b2d5bbe65842,wazuh_diff1.json,v4.7.2,2024-01-11T18:30:56Z,v4.8.0-alpha2,2024-01-09T14:55:00Z
5a0abd9df1faa5f4b93848cebed90c39f76d6c64,b28ebb9172d16e417ddc78ba9e73e2fc2a901418,wazuh_diff2.json,v4.7.1,2023-12-22T03:07:01Z,v4.7.2,2024-01-11T18:30:56Z
eb29da47d7253bedd10e34a281cccf221a5839eb,bb0dd20252ee2f0c902d8e3a4bce3efcdfd8c17a,wazuh_diff4.json,v4.7.0,2023-11-28T16:52:57Z,v4.8.0-alpha1,2023-12-06T13:15:47Z
a6e26aea57cf341a530a948503057de743d8d46e,eb29da47d7253bedd10e34a281cccf221a5839eb,wazuh_diff5.json,v4.6.0,2023-11-07T07:28:43Z,v4.7.0,2023-11-28T16:52:57Z
48870c11207b1f0ba20ae29688d75564bfc04489,a6e26aea57cf341a530a948503057de743d8d46e,wazuh_diff6.json,v4.5.4,2023-10-23T15:13:19Z,v4.6.0,2023-11-07T07:28:43Z
2efea7428ad34bce8ea0bd32d56b5faccad114a6,555c197fd3342720751bd79c8b81d1fd2b670835,wazuh_diff8.json,v4.5.2,2023-09-06T13:01:47Z,v4.5.3,2023-10-10T10:15:45Z
f6aba151d08ef065dfc1bdc9b8885c3d4f618fca,731cdf39a430d2fb6fa02f3721624e07f887b02f,wazuh_diff10.json,v4.5.0,2023-08-10T15:57:05Z,v4.5.1,2023-08-24T10:56:51Z
f7080df56081adaeaad94529522233e2f0bbd577,aa16509b1ee5325ceb0f1c6c86cf5184e4b64276,wazuh_diff13.json,v4.4.3,2023-05-25T16:55:30Z,v4.4.4,2023-06-13T16:11:59Z
b2901d5086e7a073d89f4f72827e070ce3abd8e8,f7080df56081adaeaad94529522233e2f0bbd577,wazuh_diff14.json,v4.4.2,2023-05-18T08:44:11Z,v4.4.3,2023-05-25T16:55:30Z
776fda906581a1e4ee170c3e7e73a58d69e41f95,b2901d5086e7a073d89f4f72827e070ce3abd8e8,wazuh_diff15.json,v4.3.11,2023-04-24T08:31:04Z,v4.4.2,2023-05-18T08:44:11Z
89530f11c9e592cd2e551432209b0080f08ff8e5,2477e9fa50bc1424e834ac8401ce2450a5978e75,wazuh_diff18.json,v4.3.10,2022-11-16T16:22:52Z,v4.4.0,2023-03-27T12:06:11Z
88bf15d2cbb2040e197e34a94dda0f71f607afad,fac4fd56911049804c3f1685e6bdcc4e22e926d3,wazuh_diff20.json,v4.3.8,2022-09-19T13:13:20Z,v4.3.9,2022-10-13T10:04:33Z
ebfc9a93f7c545d79897ec0e9a75bbc71490c6b0,88bf15d2cbb2040e197e34a94dda0f71f607afad,wazuh_diff21.json,v3.13.6,2022-09-15T09:34:28Z,v4.3.8,2022-09-19T13:13:20Z
c51cd75fc2497e8c3b841a131ed39f0ddb2b8265,e2b514bef3d148acd4bcae1a1c7fa8783b82ca3a,wazuh_diff23.json,v3.13.5,2022-08-05T08:11:40Z,v4.3.7,2022-08-24T12:40:31Z
f129a8c13bee0c1ce2b487404ff9f27859e8ef42,2a2b88bfb2ea30903728372471b33540a3b3d976,wazuh_diff26.json,v4.3.4,2022-06-09T09:01:36Z,v4.3.5,2022-06-29T10:16:06Z
2f40950efaa6c50ba52c2af01b03ece616fdeaea,5b3d501f5a10c5134b53771f13c48dc94c54beb2,wazuh_diff29.json,v4.2.7,2022-05-30T13:01:40Z,v4.3.2,2022-05-30T14:37:59Z
bb311d1c3d729cb676c9aacd3e2a769426d802dc,2f40950efaa6c50ba52c2af01b03ece616fdeaea,wazuh_diff30.json,v3.13.4,2022-05-30T17:29:23Z,v4.2.7,2022-05-30T13:01:40Z
826124d2e221401b807ab6f667d9d9afa3902f28,5bae1c1830dbf11acc8a06e01f7a5a134b767760,wazuh_diff33.json,v4.2.6,2022-03-25T12:57:29Z,v4.3.0,2022-05-05T16:06:52Z
fc7fe530e112f94c8eb409606c9a921597483fd4,ac2a96342a012e6278bcabc666b564ba9ad41a3b,wazuh_diff38.json,v4.2.1,2021-09-06T07:19:50Z,v4.2.2,2021-09-28T07:59:20Z
835fb823c6770a06c4853e68232f9613faf5f654,b197e669827fc72de31b566636e7b9b74585765f,wazuh_diff40.json,v3.13.3,2021-04-28T06:27:52Z,v4.2.0,2021-08-25T18:14:22Z
8098a47aa7f7f58f15f31e8af692aa55007c58b3,3d7e96e4ae32a9d8795d8ca058979e450445d589,wazuh_diff44.json,v4.1.2,2021-03-08T16:02:59Z,v4.1.3,2021-03-23T15:45:48Z
2b3defbedd063c4abbcdab3262b231d30af993be,8098a47aa7f7f58f15f31e8af692aa55007c58b3,wazuh_diff45.json,v4.1.1,2021-02-25T16:50:28Z,v4.1.2,2021-03-08T16:02:59Z
7ceed61be3ebaeebc8e2e1087bdb9629ac4cf6c4,2b3defbedd063c4abbcdab3262b231d30af993be,wazuh_diff46.json,v4.1.0,2021-02-15T17:12:25Z,v4.1.1,2021-02-25T16:50:28Z
b839f0222c011d5f271d97189be51bc1d8e6c45b,e79fcc448e372e06c83c4d5f45f9e9c36c67b525,wazuh_diff48.json,v4.0.3,2020-11-30T16:07:21Z,v4.0.4,2021-01-14T17:50:15Z
8c2c62a6e9dcbcf2c792f7924e8cfdb26842820b,18e96423feb83d95145865b31702928c86f99a32,wazuh_diff51.json,v4.0.0,2020-10-23T07:52:41Z,v4.0.1,2020-11-11T12:12:40Z
269cbed52f4f3f64def1005beeabd3103dbe3352,8c2c62a6e9dcbcf2c792f7924e8cfdb26842820b,wazuh_diff52.json,v3.13.2,2020-09-22T07:11:18Z,v4.0.0,2020-10-23T07:52:41Z
dc87a95ae1d8b5b63cefe626e5b5d77e0aaa25fa,196d222a0d499faa4cc97a75e2918026db6293b5,wazuh_diff55.json,v3.12.3,2020-04-30T10:12:26Z,v3.13.0,2020-06-22T16:38:19Z
6ccdb41b65422bce0b71d2a630abe7de6c77ed80,2ccb1f40b2d123933964bfd3763e7beb60c29bc9,wazuh_diff59.json,v3.11.4,2020-02-25T16:46:03Z,v3.12.0,2020-03-24T10:18:00Z
c5b8f9babf7a36a92578413c61f916544a0542c5,18bac2de69f5a37e5c3c4e2dfbce5a0093042ea7,wazuh_diff73.json,v3.8.2,2019-01-31T05:29:04Z,v3.9.0,2019-04-30T19:13:57Z
96620c61e98eae3561f426bd9373704e6b3902f8,ecd7687cd1c2dd9f71609a10a65a5193c290390d,wazuh_diff99.json,v1.0.3,2016-02-12T19:52:32Z,v1.0.4,2016-02-24T20:23:39Z
