Base,Head,Filename,Base Tag,Base Date,Head Tag,Head Date
5e82d5636466ca1b02ba8fa411f854b6a1299d4c,89ab545d7df3c86b41b817b63128e39b36cb345b,wire-avs_diff60.json,8.2.33,2023-07-26T13:05:31Z,9.3.9,2023-08-14T11:14:48Z
8d628457c9a94f11344848a749c4eabc9aa04bee,5e82d5636466ca1b02ba8fa411f854b6a1299d4c,wire-avs_diff61.json,8.1.23,2023-07-26T15:40:03Z,8.2.33,2023-07-26T13:05:31Z
364c3326a1331a84607bce2e17126306d39150cd,8d628457c9a94f11344848a749c4eabc9aa04bee,wire-avs_diff62.json,9.3.7,2023-07-14T15:48:44Z,8.1.23,2023-07-26T15:40:03Z
0aeb00292e2c21161dfe0abb43464d4c73152681,73edfe81ad683d1902073d72656048808f4acb43,wire-avs_diff64.json,9.2.22,2023-07-14T15:19:57Z,9.3.6,2023-07-14T10:13:21Z
6376e7094e771a3d1e91424d9c75dd93f41583b6,73edfe81ad683d1902073d72656048808f4acb43,wire-avs_diff67.json,9.2.21,2023-07-13T12:59:41Z,0.0.4199,2023-07-14T10:54:02Z
3f7c41f9fe6df6a0423350ed30407e0e41dbe8c2,6a66961c9d90f3c95eef8da9f8c9fd1ceed1b383,wire-avs_diff71.json,9.2.17,2023-06-27T15:05:23Z,9.3.4,2023-06-27T14:23:11Z
cf5c4fab192620608eb8fa8591dfc51150dbcb8f,c117a45258ef3c2581661c4d47b5e29cf7b73448,wire-avs_diff75.json,0.0.4194,2023-05-25T11:59:31Z,0.0.4195,2023-05-25T12:21:12Z
f9b2ea911a83c4a272d09c12d1dbb96e62330bb9,cf5c4fab192620608eb8fa8591dfc51150dbcb8f,wire-avs_diff76.json,0.0.4193,2023-05-25T09:48:57Z,0.0.4194,2023-05-25T11:59:31Z
552e4749f750aa45c444dcc0a96525eea3fcd21c,a5a1cc9b1884102919f72035a94edd05128d671d,wire-avs_diff98.json,9.1.20,2023-03-28T14:41:26Z,9.2.3,2023-03-28T14:57:29Z
0a77644d42ea412f64cb391ab09ec22515d56829,68ae27cb3ba2731290f0cfd9fd669f613a347f9a,wire-avs_diff103.json,9.1.19,2023-03-27T15:52:21Z,0.0.4182,2023-03-27T15:14:13Z
e62e9015013a9d8ea7abc31f45da826fd81dee8a,1884289b1851f3bf620db2915a777384cf89fcb1,wire-avs_diff109.json,9.0.28,2023-03-27T16:29:37Z,9.1.14,2023-03-22T10:08:52Z
081a016f2677a2d4b2561e33d44f7e6d1cd061c1,2979d024c1f4dcbcc04219e6175c883784cc75b1,wire-avs_diff113.json,9.0.26,2023-03-17T12:13:38Z,9.1.13,2023-03-17T12:40:11Z
a59867c112fe22e8a20213d5769f0561f48996ce,cba6a7a4bc6e8d7929e072ce02da163e1c09af58,wire-avs_diff117.json,9.0.25,2023-03-10T10:59:13Z,9.1.11,2023-03-10T11:25:17Z
6ba1513e146c1f3dc5ce52606a4afc0b052fc220,bd0b6a0428f6d51b554f62629859e75366d75095,wire-avs_diff122.json,9.0.24,2023-03-03T13:49:17Z,0.0.4178,2023-03-08T11:28:52Z
53ae9dd94ce00cf2011c75fb086f6a0031ae5e95,da1bd0d4d33dd55cd1228179f65832b08deee675,wire-avs_diff128.json,9.0.23,2023-02-20T16:48:30Z,9.1.7,2023-02-20T12:14:42Z
91e6196e40e78679332fdc7b3a6bb03e40fb054a,2d7fb6772df0c4e08ec4aa70dd47e7dfd880d01e,wire-avs_diff138.json,9.0.22,2023-02-16T17:17:39Z,0.0.4164,2023-02-10T11:51:58Z
f3e88fbafdd6c767181dbf800c8dd26ddb08da81,0b285bfcca884a7ecc791d14c68b7693e6a4d7ac,wire-avs_diff141.json,9.0.20,2023-02-01T10:22:55Z,0.0.4163,2023-02-02T15:27:00Z
da43cc4a34dc962d5eba73304764b1ce8033543b,464c05ea95f24bf17ecedfc6bf16b899054e8c48,wire-avs_diff144.json,9.0.18,2023-01-26T15:23:33Z,0.0.4162,2023-01-27T11:57:12Z
f6bf721f02c672342816b711b3a10d27361f105d,38fcffcf294ff50550053014bee2a957b34dcdcd,wire-avs_diff156.json,9.0.9,2023-01-20T13:58:39Z,0.0.4161,2023-01-23T12:47:26Z
7ae576f2bb75febb3522c6bae6b5533688872958,f452e6149c548660cff4d09c91cefb1cba3772d4,wire-avs_diff161.json,9.0.8,2023-01-16T10:26:41Z,0.0.4157,2023-01-17T08:53:47Z
db6d730f1d2e3567ebf29a46c81ecea41d06fec5,f4821e0a1a31cd7bf43bc20fb475e19848cfa1e9,wire-avs_diff169.json,9.0.1,2022-12-15T15:29:31Z,0.0.4150,2022-12-20T17:27:33Z
78bae27c599f9c6d3e437fc11d6eaae4a8e4325c,a614518f6f3b5c0d5d30bf2cbe25991c5d70bcec,wire-avs_diff184.json,0.0.4128,2022-12-07T16:58:54Z,8.2.24,2022-12-08T14:50:54Z
