Base,Head,Filename,Base Tag,Base Date,Head Tag,Head Date
bbf46b96ceba44faac1039cd9f6755b5d9f0c946,a6eef0ba3755f2530c5ce93524e5ac4f5be30194,zephyr_diff1.json,v3.5.0-rc3,2023-10-14T09:00:05Z,v3.5.0,2023-10-20T10:23:38Z
c1b1dd78e2a83285f6cf5780fa1fcf4089e0367b,bbf46b96ceba44faac1039cd9f6755b5d9f0c946,zephyr_diff2.json,v3.5.0-rc2,2023-10-06T18:01:06Z,v3.5.0-rc3,2023-10-14T09:00:05Z
356c8cbe63ae01b3ab438382639d25bb418a0213,1fc16e65656e742fbe0adc89e0fdf685c51525a5,zephyr_diff4.json,v3.4.0,2023-06-16T16:14:23Z,v3.5.0-rc1,2023-10-01T17:34:55Z
030fa9da4535cffdbb10225aa639606aa4a3c050,2ad1a24fd60d0df8cb45fb6ed6acf7b0d3820754,zephyr_diff7.json,v2.7.5,2023-06-01T14:41:56Z,v3.4.0-rc2,2023-06-04T12:03:20Z
183e0f854b83de58e7565b297d2af95e52e6a54c,030fa9da4535cffdbb10225aa639606aa4a3c050,zephyr_diff8.json,v3.4.0-rc1,2023-05-28T18:34:53Z,v2.7.5,2023-06-01T14:41:56Z
07c6af3b8c35c1e49186578ca61a25c76e2fb308,183e0f854b83de58e7565b297d2af95e52e6a54c,zephyr_diff9.json,v3.3.0,2023-02-19T04:02:32Z,v3.4.0-rc1,2023-05-28T18:34:53Z
7da64958f06559751f6a938b420b66cdd7f83afe,07c6af3b8c35c1e49186578ca61a25c76e2fb308,zephyr_diff10.json,v2.7.4,2022-12-23T02:04:14Z,v3.3.0,2023-02-19T04:02:32Z
4256cd41df6c60f1832fd2deb14edc30ac7debab,7da64958f06559751f6a938b420b66cdd7f83afe,zephyr_diff11.json,v3.2.0,2022-09-30T18:08:03Z,v2.7.4,2022-12-23T02:04:14Z
24984de7b2e27ef13da445bda93b48b98edc5939,4256cd41df6c60f1832fd2deb14edc30ac7debab,zephyr_diff12.json,v3.2.0-rc3,2022-09-23T19:43:09Z,v3.2.0,2022-09-30T18:08:03Z
003de78ce0dd213a1c7b3d159b967fb19a12aa45,2829de75d1ae88dc53bc6e85d8f8e59ac3cca8d3,zephyr_diff14.json,v2.7.3,2022-08-22T17:54:06Z,v3.2.0-rc2,2022-09-16T21:05:56Z
2ddd73feafd3316af2c547c34d6969bea637d5c6,003de78ce0dd213a1c7b3d159b967fb19a12aa45,zephyr_diff15.json,zephyr-v3.1.0,2022-06-05T11:21:31Z,v2.7.3,2022-08-22T17:54:06Z
38de9b0156a80712f5b8eae92cfe220f69d10267,2ddd73feafd3316af2c547c34d6969bea637d5c6,zephyr_diff16.json,v2.7.2,2022-04-22T16:34:20Z,zephyr-v3.1.0,2022-06-05T11:21:31Z
4f8d78ceeb436e82f528511998515f6fc137c6cd,6b61b219eade6f2ce6c9ab5afdf31365ab526b50,zephyr_diff18.json,zephyr-v3.0.0,2022-02-21T22:42:19Z,v2.7.2-rc1,2022-04-15T11:20:27Z
7555cf9dd7ce99073c7772ce163f3ea810fb0757,4f8d78ceeb436e82f528511998515f6fc137c6cd,zephyr_diff19.json,v3.0.0-rc3,2022-02-11T20:57:26Z,zephyr-v3.0.0,2022-02-21T22:42:19Z
