Base,Head,Filename,Base Tag,Base Date,Head Tag,Head Date
dd7475e998aea8905a3ffe2340d5d83f9d39cb15,9237bb5162841d0db46ea4e6f4cb73051edc735e,ziti-tunnel-sdk-c_diff2.json,v0.22.18,2023-12-18T14:50:08Z,v0.22.19,2023-12-20T11:32:47Z
7ce4f0aa1ef3eeb6e6486445a55d48b32b3310b0,b6ca3f8a2e74bdd9eb71fecab2746fe6ad8be49d,ziti-tunnel-sdk-c_diff10.json,v0.22.10,2023-09-28T12:21:22Z,v0.22.11,2023-10-12T19:09:40Z
a02afeaaa1ad7eb567ec9e61c0fdfc2d5b812295,56cae8ba05bc7280ec2458e6c11edbf66ca48216,ziti-tunnel-sdk-c_diff18.json,v0.22.0,2023-07-19T13:30:48Z,v0.22.3,2023-08-17T19:13:25Z
4753d7e8832fdc16b56e1eb17d536f784d2dae94,94bbc49b00e4fbacb18ec5f4baf4cdb7f8b693a0,ziti-tunnel-sdk-c_diff23.json,v0.21.0,2023-03-22T18:39:05Z,v0.21.1,2023-05-22T16:46:15Z
fb94f8220042807b9f44e7b2319e3d7c9a80e37f,eb93c955ab494a070c2b27ae098b2aa16c9b7b78,ziti-tunnel-sdk-c_diff35.json,v0.20.12,2022-12-21T14:29:55Z,v0.20.13,2023-01-05T15:22:09Z
5e7493439b919170fef5592ba9d58f131c494923,4f7946b5e42b3fe84ca9cde6bbb5fbc365f04b06,ziti-tunnel-sdk-c_diff37.json,v0.20.10,2022-11-23T17:21:21Z,v0.20.11,2022-11-30T15:53:14Z
a325109407002ff391cbf0a68b8de1d43f33e0f1,1298888db90e6c144333ac9c815db422af5eca72,ziti-tunnel-sdk-c_diff44.json,v0.20.3,2022-10-18T19:27:09Z,v0.20.4,2022-10-18T20:05:06Z
b46052b60364b832f942233e5d031bb33ec8520a,a325109407002ff391cbf0a68b8de1d43f33e0f1,ziti-tunnel-sdk-c_diff45.json,v0.20.2,2022-10-14T20:49:35Z,v0.20.3,2022-10-18T19:27:09Z
5aa7fac9b131c0f00e0b0cb7b54cf05bcc8efb56,f48b7ac4e68a63f8a0d6366b54750a63618bfb48,ziti-tunnel-sdk-c_diff59.json,v0.19.0,2022-07-18T16:02:41Z,v0.19.1,2022-07-21T16:51:36Z
e2a127c046f4e2dc8b883a3ccb9cdca566401833,5aa7fac9b131c0f00e0b0cb7b54cf05bcc8efb56,ziti-tunnel-sdk-c_diff60.json,v0.18.17,2022-07-07T16:12:35Z,v0.19.0,2022-07-18T16:02:41Z
75692687b1da3345b1ecc899c12ad08e6c1e4802,b9c2bc1524954fc1ce73fea3a45583baebb56ddd,ziti-tunnel-sdk-c_diff73.json,v0.17.36,2022-05-13T12:23:00Z,v0.18.5,2022-06-02T16:34:48Z
526c2a1b5580298e4171b8bb6022ff4de621c377,eecdbdb1bd2d6589943523482ab34593dff05338,ziti-tunnel-sdk-c_diff75.json,v0.18.3,2022-05-11T14:01:25Z,v0.18.4,2022-05-12T23:55:36Z
d6886bceb1c13ba6ddb28574da056a2c73cde42b,ef01a570e8b57f0414e38e50cf1cb4ae081b49c4,ziti-tunnel-sdk-c_diff86.json,v0.17.26,2022-04-20T14:26:49Z,v0.17.29,2022-04-21T18:56:06Z
405bb3c664b8ac115cc9dbe2b9181b6208884642,d6886bceb1c13ba6ddb28574da056a2c73cde42b,ziti-tunnel-sdk-c_diff87.json,v0.15.26,2022-04-08T13:57:29Z,v0.17.26,2022-04-20T14:26:49Z
4f8e28e72e1e345835562e27890a9c1a11200c24,531a87c5427da7d5c4528ba6fefb02dff4171739,ziti-tunnel-sdk-c_diff90.json,v0.15.25,2022-02-16T16:57:58Z,v0.17.24,2022-03-02T16:21:44Z
1c21c95bed8c5a1f60862d6412c6447f841aa05a,f905e6df694a6cace41496e578c29bfd4f718e36,ziti-tunnel-sdk-c_diff98.json,v0.15.21,2021-12-07T17:54:56Z,v0.17.20,2021-12-08T20:33:00Z
efb8993b38680e3f202c2a67e9956cb7209fdf33,5324a045f4d40f9ec6b8f85d3b41855e866604b7,ziti-tunnel-sdk-c_diff100.json,v0.15.20,2021-11-11T10:35:58Z,v0.17.19,2021-12-01T00:36:48Z
7df191113689399541838e745495d85b106ac1a2,74d99970f9462b5d6136030dc6e40d57802d05b4,ziti-tunnel-sdk-c_diff103.json,v0.15.19,2021-10-20T18:39:07Z,v0.17.17,2021-10-21T20:22:17Z
bc6c6ba9bdf6646e96dfbe483bbf4c6134afcac9,fe7d7b6db55714327bb2fce237ab1f7236c8c8cf,ziti-tunnel-sdk-c_diff110.json,v0.15.14,2021-08-27T18:56:25Z,v0.17.15,2021-08-31T13:02:10Z
fdc5e624f978f0bed60e8eb06d738943cd05bc65,e1e435272a71d9cfcc8fb13cf293744a74479594,ziti-tunnel-sdk-c_diff114.json,v0.15.11,2021-07-29T17:35:34Z,v0.17.14,2021-07-30T09:27:14Z
ebd7092a717ce32ad47a1b74d196d8146e20ffb4,26bff13b2c6f39c32d7bbf034dee9026329bdcba,ziti-tunnel-sdk-c_diff117.json,v0.15.9,2021-07-20T15:26:52Z,v0.17.13,2021-07-16T14:44:24Z
90b95de8f83bd69e3d6b77bf95f856b79cafe336,0fcd0ce48df47dfe88b4b1424fcd572d1d3af042,ziti-tunnel-sdk-c_diff119.json,v0.15.8,2021-06-24T09:59:46Z,v0.17.12,2021-07-09T16:09:00Z
27e809df54f1559665c6441a56cc3a88c37bad35,aad90f683251996f3a029da4aabf0bc71d685cdf,ziti-tunnel-sdk-c_diff124.json,v0.15.7,2021-06-04T10:26:57Z,v0.17.8,2021-06-07T02:37:21Z
52627229cbd12e17b72256f05f568bad4f7a1744,3a31328ec848e0999f85bb4b5b0efbc77bfe59a4,ziti-tunnel-sdk-c_diff126.json,v0.15.6,2021-05-01T01:41:09Z,v0.17.7,2021-05-01T01:11:44Z
1e15bdd25ad4a6a83db183daca5daca8e1e50668,db9a53f12b684ef5f9310ecb842153a0169f8aea,ziti-tunnel-sdk-c_diff128.json,v0.15.5,2021-04-30T18:43:26Z,v0.17.6,2021-04-30T18:32:41Z
7e97862e54f0c2ac1877caa44253c864cb4b8c03,d508cf353e829e5ce6ff43f723aed237f6b74301,ziti-tunnel-sdk-c_diff135.json,v0.15.4,2021-04-26T21:42:29Z,v0.17.0,2021-04-26T21:41:18Z
