Base,Head,Filename,Base Tag,Base Date,Head Tag,Head Date
2dfb9dc3cb1d6182c844d783fffbaebab0f3dca2,fe64cd474d42f930ede31ac8d2809751f340b944,zpl_diff22.json,18.0.0,2022-06-12T13:51:32Z,18.0.1,2022-09-11T05:43:49Z
e1eebd786a01f1d7b841de45ffb884f97e824b62,69688e174f38535b02020737f4aad5d2a6dfceb8,zpl_diff31.json,14.1.7,2021-09-26T17:47:29Z,15.0.0,2021-10-04T09:49:59Z
520aef3e3a707ffe4cc132fb1d3c0625e4df33fc,f45136aff8de87863bc1c033ad84b8dcc7a779a2,zpl_diff103.json,11.0.0,2021-01-19T18:10:10Z,11.0.2,2021-02-16T08:32:29Z
b45b42c2fb70d247b49d1247947ac2c7c637a546,cf216e68f9a8a922f161fb77c4ae0918f09e8404,zpl_diff110.json,10.11.0,2021-01-05T18:37:47Z,10.11.1,2021-01-10T15:12:38Z
4508f96b40eeb304d7cf01c23f28a96eb723afba,e465889f06e532e83fb747e0ee30eaf566206e10,zpl_diff117.json,10.9.0,2021-01-01T16:13:58Z,10.9.1,2021-01-01T18:23:51Z
996a37522abe89870e698dd9e54c0392bfb3b731,dd351bd360684170f7ee5b8f3b2717436ba93102,zpl_diff128.json,10.6.5,2020-06-04T11:30:51Z,10.7.0,2020-06-05T10:44:22Z
2bc5f85217af8ac0d2993260dd72cbe1273ce670,996a37522abe89870e698dd9e54c0392bfb3b731,zpl_diff129.json,10.6.4,2020-06-04T11:26:22Z,10.6.5,2020-06-04T11:30:51Z
d6bfe3b4d9fa1a9bc6a7184fc8371d27d4176a37,1f955ba5bf7aa0769c10187a37994236e4c7a16a,zpl_diff134.json,10.5.8,2020-06-04T10:28:31Z,10.6.0,2020-06-04T10:53:07Z
ce489126e1caeb66ce5ed14bad5f302b143802a6,9c49990cbaaf83a5d9c4ae143dd71696e723dfd2,zpl_diff137.json,10.5.5,2020-06-03T15:40:22Z,10.5.6,2020-06-03T19:22:59Z
da01caa2ee5cb62cd00a5209808791c90a388fa4,82adb98bddabfca86d9ccfa30c2f8214b15ff721,zpl_diff142.json,10.5.0,2020-06-02T11:02:32Z,10.5.1,2020-06-02T19:49:19Z
afe8bde415d8094f454f064d55b7d080c63d124a,c26a30a38e92de715078e81b06570de22f9cb55d,zpl_diff164.json,v9.8.5,2019-10-17T06:22:35Z,10.0.0-pre.0,2020-01-17T19:22:41Z
2fccef82b87d32f87bc9afea0354baa36fb21dca,afe8bde415d8094f454f064d55b7d080c63d124a,zpl_diff165.json,v9.8.0,2019-08-03T10:41:47Z,v9.8.5,2019-10-17T06:22:35Z
