Base,Head,Filename,Base Tag,Base Date,Head Tag,Head Date
9ad696e105d7d776b5789e96901c5869e4875ba0,915670436dd1134673b0554b117b75f57a61973a,ZQuestClassic_diff2.json,3.0.0-prerelease.19+2023-12-23,2023-12-23T10:05:45Z,nightly-2024-01-01,2024-01-01T12:11:46Z
3f56dc889a466b1aaa51ce28a47f46411b27a83b,42b94c78549d55fb42bbe8114bbd55679ae00b7f,ZQuestClassic_diff6.json,3.0.0-prerelease.17+2023-12-21,2023-12-21T10:08:20Z,nightly-2023-12-23,2023-12-23T06:49:07Z
f3a0991d62921f96c24c5f77c66d759e433625d5,e21ba53d04b291e2e63b5172766d34bdff1e4ab5,ZQuestClassic_diff9.json,3.0.0-prerelease.15+2023-12-17,2023-12-17T21:56:16Z,nightly-2023-12-20,2023-12-20T05:56:37Z
9e192b590201dca7e6564b4ebb6861f0e033faca,9c5c2e18753b0f6da42ddd48672df0cd9e41e82d,ZQuestClassic_diff16.json,3.0.0-prerelease.12+2023-12-13,2023-12-13T19:09:55Z,nightly-2023-12-14,2023-12-14T09:11:17Z
61d038072fff15585db5e67f47cc952c212db6e4,92c1902557b27a6c320f3d59d345d16be8266a08,ZQuestClassic_diff20.json,3.0.0-prerelease.9+2023-11-29,2023-11-29T06:24:42Z,nightly-2023-12-02,2023-12-02T23:38:40Z
d9ced40435b09f46527bac5d7ca87b69077caaac,437c27b25c2812a9dc498db85afb867bf7321346,ZQuestClassic_diff22.json,3.0.0-prerelease.8+2023-11-26,2023-11-26T15:30:36Z,nightly-2023-11-29,2023-11-29T06:57:44Z
f77b41cb17ffe5503676ba33ebb7a8d7b31b1c95,f9852b3f6e3155e1c86ee11a8d1c0db9fa5d773f,ZQuestClassic_diff24.json,3.0.0-prerelease.7+2023-11-24,2023-11-24T02:00:30Z,nightly-2023-11-26,2023-11-26T16:30:56Z
03339654bbe98f3769a55b81960fa7fdc619681f,05188bddfa86fdc1df919eec412f4066a54e4f6c,ZQuestClassic_diff26.json,3.0.0-prerelease.6+2023-11-21,2023-11-21T23:58:40Z,nightly-2023-11-24,2023-11-24T22:22:58Z
d46eee890e3592dae06c79c4ce6a9ea3afc77bf5,8a798d0dda8d4d509e11bf5558151d7d592ac6f0,ZQuestClassic_diff29.json,3.0.0-prerelease.5+2023-11-18,2023-11-18T04:22:41Z,nightly-2023-11-19,2023-11-19T03:54:05Z
9f94de5ca02ea6dd79a1ca73a00a0e43b80c8734,3747bb27162d62200e4b48257ef1a2fbe731b66e,ZQuestClassic_diff32.json,3.0.0-prerelease.3+2023-11-17,2023-11-17T02:10:33Z,nightly-2023-11-18,2023-11-18T03:44:26Z
9b84f38021b05de69dc4a2fb100d66cfeec7091a,0b9bad2a61a88e2a4587405a094a7b2a7f85eb56,ZQuestClassic_diff34.json,3.0.0-prerelease.2+2023-11-15,2023-11-15T20:12:57Z,nightly-2023-11-16,2023-11-16T04:47:16Z
483f39c10d1dc54259adf7273068d2ed10859028,f728f50dcc80783908e3ae6fb2ac5240bdf3f772,ZQuestClassic_diff36.json,3.0.0-prerelease.1+2023-11-12,2023-11-12T02:08:23Z,nightly-2023-11-13,2023-11-13T20:33:49Z
6d47e8136264a4a216ebac0fcff6963a8211a4c7,acb7c848170c77210c385586d38bd2b0d2e8fd0b,ZQuestClassic_diff56.json,nightly-2023-10-22-3,2023-10-22T22:12:52Z,nightly-2023-10-27,2023-10-27T18:44:47Z
696657428488dd3497836f527a6ce0b6255ab1db,3ebdba27fb80545025bfca95ad6cb6fac18aa9e6,ZQuestClassic_diff63.json,nightly-2023-10-11,2023-10-11T07:07:05Z,nightly-2023-10-11-2,2023-10-11T11:18:15Z
