Repo Name,Count,Mean,Std Dev,Min,Q1,Median (Q2),Q3,Max,IQR
Santroller,5,91.0,61.518289963229634,4.0,47.5,91.0,134.5,178.0,87.0
adafruit_learning_system_guides,5,103.5,63.99316369738255,13.0,58.25,103.5,148.75,194.0,90.5
advancedfx,5,22.25,17.815723392554116,2.0,9.5,16.0,31.75,52.0,22.25
allegro5,5,1.5,0.3535533905932738,1.0,1.25,1.5,1.75,2.0,0.5
altv-js-module,5,49.8,55.43879508070138,2.0,8.5,19.0,69.5,150.0,61.0
androidktx,5,166.0,0.0,166.0,166.0,166.0,166.0,166.0,0.0
angband,4,42.0,45.72711176096737,1.0,10.1875,24.375,56.1875,118.25,46.0
appscope,4,2.125,0.8926785535678563,1.0,1.75,2.0,2.375,3.5,0.625
arduinojson,4,1.8125,1.1370878374162658,1.0,1.0,1.25,2.0625,3.75,1.0625
ardwiino,5,91.0,61.518289963229634,4.0,47.5,91.0,134.5,178.0,87.0
ark-4,4,22.0,25.787593916455254,1.0,2.5,11.0,30.5,65.0,28.0
asset-tracker-cloud-firmware-aws,4,1.5,0.5,1.0,1.0,1.5,2.0,2.0,1.0
aws-c-common,4,3.0,1.5811388300841898,1.0,1.75,3.0,4.25,5.0,2.5
aws-c-http,5,10.8,8.322259308625274,1.0,3.5,9.0,17.5,23.0,14.0
aws-c-io,4,4.75,3.4141250709369158,1.0,2.6875,3.875,5.9375,10.25,3.25
babylonreactnative,4,1.6875,0.7368641326594747,1.0,1.0,1.5,2.1875,2.75,1.1875
barebox,5,8.0,0.0,8.0,8.0,8.0,8.0,8.0,0.0
betaflight,5,3.8,2.9257477676655586,1.0,2.0,2.0,5.0,9.0,3.0
bpi-router-linux,5,2.6,1.8547236990991407,1.0,1.0,2.0,3.0,6.0,2.0
browedit3,5,207.0,0.0,207.0,207.0,207.0,207.0,207.0,0.0
brunch-unstable,5,26.0,0.0,26.0,26.0,26.0,26.0,26.0,0.0
cbmc,4,2.0,1.224744871391589,1.0,1.0,1.5,2.5,4.0,1.5
cbsd,4,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
cctools,4,4.875,4.392820847701395,1.0,1.375,3.25,6.75,12.0,5.375
chaos-controller,4,1.75,0.82915619758885,1.0,1.0,1.5,2.25,3.0,1.25
citra-canary,4,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
classic-rbdoom-3-bfg,5,14.5,9.545941546018392,1.0,7.75,14.5,21.25,28.0,13.5
clink,5,33.0,0.0,33.0,33.0,33.0,33.0,33.0,0.0
clk,5,17.6,11.534296684236972,4.0,9.0,14.0,25.0,36.0,16.0
core,4,2.5,1.6583123951777,1.0,1.0,2.0,3.5,5.0,2.5
corona,5,21.5,17.181385275931625,2.0,8.0,17.0,30.5,50.0,22.5
cppwinrt,4,3.5,3.278719262151,1.0,1.0,2.0,4.5,9.0,3.5
cse,4,7.8125,5.861353832520265,2.0,3.5,6.0,10.3125,17.25,6.8125
cups,4,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
cyberenginetweaks,5,47.0,0.0,47.0,47.0,47.0,47.0,47.0,0.0
cyrus-imapd,4,1.25,0.4330127018922193,1.0,1.0,1.0,1.25,2.0,0.25
daw_json_link,5,5.6,4.0669398815325515,1.0,1.5,6.0,7.5,12.0,6.0
deconz-rest-plugin,5,16.0,8.753570700005799,3.0,11.25,16.0,20.75,29.0,9.5
defold,4,3.875,3.9111219617905038,1.0,1.0,2.0,4.875,10.5,3.875
device-os,4,2.625,1.2930100540985752,1.0,1.75,2.5,3.375,4.5,1.625
doomretro,5,57.0,39.59797974644666,1.0,29.0,57.0,85.0,113.0,56.0
dosbox-x,4,1.25,0.4330127018922193,1.0,1.0,1.0,1.25,2.0,0.25
dynamorio,4,6.4375,6.104237769779287,1.0,1.1875,4.375,9.625,16.0,8.4375
elasticsearch-sql-odbc,4,3.125,0.739509972887452,2.0,2.75,3.25,3.625,4.0,0.875
envoy-gloo,5,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0
esp-homekit-devices,4,34.625,37.16790450106113,4.0,10.1875,18.375,42.8125,97.75,32.625
esp-idf,4,1.25,0.4330127018922193,1.0,1.0,1.0,1.25,2.0,0.25
esp-mail-client,5,118.0,0.0,118.0,118.0,118.0,118.0,118.0,0.0
esp8266_milight_hub,4,3.5625,3.308960372987262,1.0,1.75,2.0,3.8125,9.25,2.0625
espresense,4,2.5625,2.167768149503078,1.0,1.0,1.5,3.0625,6.25,2.0625
explorerpatcher,5,75.8,33.99794111413219,18.0,56.5,95.0,101.5,108.0,45.0
faangband,4,7.0,5.338539126015656,3.0,3.0,4.5,8.5,16.0,5.5
fatal,5,170.0,0.0,170.0,170.0,170.0,170.0,170.0,0.0
file-commander,5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
firebase-esp-client,5,98.0,0.0,98.0,98.0,98.0,98.0,98.0,0.0
firebase-esp32,5,88.0,0.0,88.0,88.0,88.0,88.0,88.0,0.0
firebase-esp8266,5,87.0,0.0,87.0,87.0,87.0,87.0,87.0,0.0
firmware,4,5.5,4.031128874149275,1.0,1.75,5.5,9.25,10.0,7.5
firmware-update,5,154.0,0.0,154.0,154.0,154.0,154.0,154.0,0.0
flatpak,4,3.125,2.301494079940246,1.0,1.0,2.5,4.625,6.5,3.625
fluent-bit,4,1.75,0.82915619758885,1.0,1.0,1.5,2.25,3.0,1.25
ftl,5,2.3,1.2489995996796797,1.0,1.0,2.0,3.5,4.0,2.5
goldendict-ng,4,2.75,2.0463381929681126,1.0,1.0,2.0,3.75,6.0,2.75
hi-nginx,4,8.875,5.3895152843275245,1.0,6.25,9.25,11.875,16.0,5.625
imagemagick,5,15.95,13.813399291991816,1.0,3.5,12.5,24.75,38.0,21.25
ing918xx_sdk_source,5,4.0,0.0,4.0,4.0,4.0,4.0,4.0,0.0
iree,4,6.0,4.58257569495584,1.0,2.5,5.0,8.5,13.0,6.0
kain2,5,171.0,0.0,171.0,171.0,171.0,171.0,171.0,0.0
