0,1,2,3,4,5,6
group1,group2,meandiff,p-adj,lower,upper,reject
Santroller,ZQuestClassic,44.0,nan,nan,nan,False
Santroller,accelbyte-unreal-sdk-plugin,-3.0,nan,nan,nan,False
Santroller,acts,-3.0,nan,nan,nan,False
Santroller,adafruit_learning_system_guides,0.0,nan,nan,nan,False
Santroller,advancedfx,6.0,nan,nan,nan,False
Santroller,advancedfx-prop,-3.0,nan,nan,nan,False
Santroller,aerospike-server,-3.0,nan,nan,nan,False
Santroller,ags,-3.0,nan,nan,nan,False
Santroller,alienfx-tools,-3.0,nan,nan,nan,False
Santroller,aliphysics,-3.0,nan,nan,nan,False
Santroller,aliyun-openapi-cpp-sdk,-3.0,nan,nan,nan,False
Santroller,allegro5,0.0,nan,nan,nan,False
Santroller,altv-js-module,5.0,nan,nan,nan,False
Santroller,androidktx,-2.0,nan,nan,nan,False
Santroller,angband,6.0,nan,nan,nan,False
Santroller,appscope,33.0,nan,nan,nan,False
Santroller,arduinojson,2.0,nan,nan,nan,False
Santroller,ardwiino,0.0,nan,nan,nan,False
Santroller,arena-tracker,-3.0,nan,nan,nan,False
Santroller,ark-4,11.0,nan,nan,nan,False
Santroller,asset-tracker-cloud-firmware-aws,67.0,nan,nan,nan,False
Santroller,aws-c-common,11.0,nan,nan,nan,False
Santroller,aws-c-http,5.0,nan,nan,nan,False
Santroller,aws-c-io,8.0,nan,nan,nan,False
Santroller,aws-crt-cpp,-3.0,nan,nan,nan,False
Santroller,aws-iot-device-sdk-cpp-v2,-3.0,nan,nan,nan,False
Santroller,azure-sdk-for-cpp,-3.0,nan,nan,nan,False
Santroller,azure-sphere-samples,-3.0,nan,nan,nan,False
Santroller,babylonreactnative,52.0,nan,nan,nan,False
Santroller,barebox,-2.0,nan,nan,nan,False
Santroller,bedrock,-3.0,nan,nan,nan,False
Santroller,betaflight,3.0,nan,nan,nan,False
Santroller,bitcoin-abc,-3.0,nan,nan,nan,False
Santroller,bpi-router-linux,91.0,nan,nan,nan,False
Santroller,browedit3,-1.0,nan,nan,nan,False
Santroller,brunch-unstable,-1.0,nan,nan,nan,False
Santroller,buildroot,-3.0,nan,nan,nan,False
Santroller,butano,-3.0,nan,nan,nan,False
Santroller,c15,-3.0,nan,nan,nan,False
Santroller,calamares,-3.0,nan,nan,nan,False
Santroller,cataclysm-bn,-3.0,nan,nan,nan,False
Santroller,cataclysm-dda,-3.0,nan,nan,nan,False
Santroller,cbmc,25.0,nan,nan,nan,False
Santroller,cbsd,29.0,nan,nan,nan,False
Santroller,ccapi,-3.0,nan,nan,nan,False
Santroller,ccf,-3.0,nan,nan,nan,False
Santroller,cctools,5.0,nan,nan,nan,False
Santroller,cdecl,-3.0,nan,nan,nan,False
Santroller,chaos-controller,47.0,nan,nan,nan,False
Santroller,chromium-gost,-3.0,nan,nan,nan,False
Santroller,citra-canary,66.0,nan,nan,nan,False
Santroller,citra-nightly,-3.0,nan,nan,nan,False
Santroller,classic-rbdoom-3-bfg,0.0,nan,nan,nan,False
Santroller,clementine,-3.0,nan,nan,nan,False
Santroller,clickhouse,-3.0,nan,nan,nan,False
Santroller,clink,-1.0,nan,nan,nan,False
Santroller,clk,1.0,nan,nan,nan,False
Santroller,cmssw,-3.0,nan,nan,nan,False
Santroller,cocos-engine-external,-3.0,nan,nan,nan,False
Santroller,compute-runtime,-3.0,nan,nan,nan,False
Santroller,core,23.0,nan,nan,nan,False
Santroller,corona,2.0,nan,nan,nan,False
Santroller,cortex,-3.0,nan,nan,nan,False
Santroller,cpp-httplib,-3.0,nan,nan,nan,False
Santroller,cppwinrt,11.0,nan,nan,nan,False
Santroller,cpuminer-opt,-3.0,nan,nan,nan,False
Santroller,cse,4.0,nan,nan,nan,False
Santroller,ctranslate2,-3.0,nan,nan,nan,False
Santroller,cups,8.0,nan,nan,nan,False
Santroller,cxbx-reloaded,-3.0,nan,nan,nan,False
Santroller,cyberenginetweaks,-1.0,nan,nan,nan,False
Santroller,cyrus-imapd,3.0,nan,nan,nan,False
Santroller,daw_json_link,9.0,nan,nan,nan,False
Santroller,ddobuilder,-3.0,nan,nan,nan,False
Santroller,deconz-rest-plugin,2.0,nan,nan,nan,False
Santroller,defold,10.0,nan,nan,nan,False
Santroller,device-os,17.0,nan,nan,nan,False
Santroller,dfhack,-3.0,nan,nan,nan,False
Santroller,dmf,-3.0,nan,nan,nan,False
Santroller,dna,-3.0,nan,nan,nan,False
Santroller,dnslibs,-3.0,nan,nan,nan,False
Santroller,doomretro,0.0,nan,nan,nan,False
Santroller,dosbox-x,9.0,nan,nan,nan,False
Santroller,dynamorio,4.0,nan,nan,nan,False
Santroller,elasticsearch-sql-odbc,4.0,nan,nan,nan,False
Santroller,energyplus,-3.0,nan,nan,nan,False
Santroller,envoy,-3.0,nan,nan,nan,False
Santroller,envoy-gloo,-2.0,nan,nan,nan,False
Santroller,esp-homekit-devices,2.0,nan,nan,nan,False
Santroller,esp-idf,71.0,nan,nan,nan,False
Santroller,esp-mail-client,-2.0,nan,nan,nan,False
Santroller,esp8266_milight_hub,8.0,nan,nan,nan,False
Santroller,espeasy,-3.0,nan,nan,nan,False
Santroller,esphome,-3.0,nan,nan,nan,False
Santroller,espresense,23.0,nan,nan,nan,False
Santroller,etl,-3.0,nan,nan,nan,False
Santroller,explorerpatcher,1.0,nan,nan,nan,False
Santroller,exult,-3.0,nan,nan,nan,False
Santroller,faangband,3.0,nan,nan,nan,False
Santroller,farmanager,-3.0,nan,nan,nan,False
Santroller,fatal,-2.0,nan,nan,nan,False
Santroller,filament,-3.0,nan,nan,nan,False
Santroller,file-commander,-1.0,nan,nan,nan,False
Santroller,firebase-esp-client,-2.0,nan,nan,nan,False
Santroller,firebase-esp32,-2.0,nan,nan,nan,False
Santroller,firebase-esp8266,-2.0,nan,nan,nan,False
Santroller,firmware,15.0,nan,nan,nan,False
Santroller,firmware-update,-2.0,nan,nan,nan,False
Santroller,fizz,-3.0,nan,nan,nan,False
Santroller,flatpak,9.0,nan,nan,nan,False
Santroller,fluent-bit,37.0,nan,nan,nan,False
Santroller,folly,-3.0,nan,nan,nan,False
Santroller,foundationdb,-3.0,nan,nan,nan,False
Santroller,freebsd-electron,-3.0,nan,nan,nan,False
Santroller,ftl,9.0,nan,nan,nan,False
Santroller,genozip,-3.0,nan,nan,nan,False
Santroller,gideros,-3.0,nan,nan,nan,False
Santroller,goldendict-ng,49.0,nan,nan,nan,False
Santroller,gporca,-3.0,nan,nan,nan,False
Santroller,grpc,-3.0,nan,nan,nan,False
Santroller,gsequencer,-3.0,nan,nan,nan,False
Santroller,harfbuzz,-3.0,nan,nan,nan,False
Santroller,hentoid,-3.0,nan,nan,nan,False
Santroller,hi-nginx,10.0,nan,nan,nan,False
Santroller,host-sflow,-3.0,nan,nan,nan,False
Santroller,hpcc-platform,-3.0,nan,nan,nan,False
Santroller,icinga2,-3.0,nan,nan,nan,False
Santroller,icu,-3.0,nan,nan,nan,False
Santroller,ifcopenshell,-3.0,nan,nan,nan,False
Santroller,imagemagick,10.0,nan,nan,nan,False
Santroller,ing918xx_sdk_source,0.0,nan,nan,nan,False
Santroller,intel-graphics-compiler,-3.0,nan,nan,nan,False
Santroller,iree,82.0,nan,nan,nan,False
Santroller,itk-wasm,-3.0,nan,nan,nan,False
Santroller,kain2,-2.0,nan,nan,nan,False
Santroller,kram,-3.0,nan,nan,nan,False
Santroller,lammps,-3.0,nan,nan,nan,False
Santroller,lbstanza,-3.0,nan,nan,nan,False
Santroller,ldp,-3.0,nan,nan,nan,False
Santroller,libbulletjme,10.0,nan,nan,nan,False
Santroller,libki-client,-3.0,nan,nan,nan,False
Santroller,libmem,2.0,nan,nan,nan,False
Santroller,libmongocrypt,37.0,nan,nan,nan,False
Santroller,libosdp-conformance,-3.0,nan,nan,nan,False
Santroller,libphonenumber,-3.0,nan,nan,nan,False
Santroller,libpressio,-3.0,nan,nan,nan,False
Santroller,libredwg,15.0,nan,nan,nan,False
Santroller,libuseful,-3.0,nan,nan,nan,False
Santroller,libvma,-3.0,nan,nan,nan,False
Santroller,libxlsxwriter,-2.0,nan,nan,nan,False
Santroller,lima,-3.0,nan,nan,nan,False
Santroller,limine,51.0,nan,nan,nan,False
Santroller,link-grammar,-1.0,nan,nan,nan,False
Santroller,linux,154.0,nan,nan,nan,False
Santroller,linux-mainline-and-mali-generic-stable-kernel,-3.0,nan,nan,nan,False
Santroller,lith,-3.0,nan,nan,nan,False
Santroller,llama.cpp,31.0,nan,nan,nan,False
Santroller,longtail,5.0,nan,nan,nan,False
Santroller,lsquic,-2.0,nan,nan,nan,False
Santroller,lyre,-3.0,nan,nan,nan,False
Santroller,maaassistantarknights,-3.0,nan,nan,nan,False
Santroller,magic,-2.0,nan,nan,nan,False
Santroller,magisk,4.0,nan,nan,nan,False
Santroller,mame,-3.0,nan,nan,nan,False
Santroller,maven,-3.0,nan,nan,nan,False
Santroller,mb-system,-3.0,nan,nan,nan,False
Santroller,mbed-os,39.0,nan,nan,nan,False
Santroller,megachat,-3.0,nan,nan,nan,False
Santroller,megasync,-3.0,nan,nan,nan,False
Santroller,minic,-1.0,nan,nan,nan,False
Santroller,minisatip,5.0,nan,nan,nan,False
Santroller,moarvm,-3.0,nan,nan,nan,False
Santroller,mod_h2,-3.0,nan,nan,nan,False
Santroller,mod_md,-3.0,nan,nan,nan,False
Santroller,mongo-c-driver,1.0,nan,nan,nan,False
Santroller,moolticute,-3.0,nan,nan,nan,False
Santroller,moonlight-android,-3.0,nan,nan,nan,False
Santroller,moonlight-tv,22.0,nan,nan,nan,False
Santroller,moosefs,-3.0,nan,nan,nan,False
Santroller,mympd,17.0,nan,nan,nan,False
Santroller,nano-node,8.0,nan,nan,nan,False
Santroller,nassp,-3.0,nan,nan,nan,False
Santroller,nco,-3.0,nan,nan,nan,False
Santroller,neosphere,13.0,nan,nan,nan,False
Santroller,nghttp2,5.0,nan,nan,nan,False
Santroller,nimblephysics,-3.0,nan,nan,nan,False
Santroller,nodegui,43.0,nan,nan,nan,False
Santroller,notcurses,50.0,nan,nan,nan,False
Santroller,notepad-plus-plus,-3.0,nan,nan,nan,False
Santroller,npcap,-3.0,nan,nan,nan,False
Santroller,nuttx-star64,-3.0,nan,nan,nan,False
Santroller,nvenc,4.0,nan,nan,nan,False
Santroller,obs-studio,21.0,nan,nan,nan,False
Santroller,obs-studio-node,-3.0,nan,nan,nan,False
Santroller,omnimidi,16.0,nan,nan,nan,False
Santroller,onednn,-3.0,nan,nan,nan,False
Santroller,oneplus9pro,-1.0,nan,nan,nan,False
Santroller,oot3d_randomizer,-3.0,nan,nan,nan,False
Santroller,opengeode,28.0,nan,nan,nan,False
Santroller,opengeode-geosciences,-3.0,nan,nan,nan,False
Santroller,openjkdf2,-1.0,nan,nan,nan,False
Santroller,openlitespeed,-3.0,nan,nan,nan,False
Santroller,openpmix,14.0,nan,nan,nan,False
Santroller,openstudio,10.0,nan,nan,nan,False
Santroller,openttd-patches,11.0,nan,nan,nan,False
Santroller,openvisus,6.0,nan,nan,nan,False
Santroller,oscar64,-3.0,nan,nan,nan,False
Santroller,osquery,-3.0,nan,nan,nan,False
Santroller,outcome,6.0,nan,nan,nan,False
Santroller,patchersupportpkg,1.0,nan,nan,nan,False
Santroller,pcsx2,-3.0,nan,nan,nan,False
Santroller,pgbackrest,2.0,nan,nan,nan,False
Santroller,pineapple-src,-3.0,nan,nan,nan,False
Santroller,pmdsky-debug,3.0,nan,nan,nan,False
Santroller,ponyc,17.0,nan,nan,nan,False
